AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
11.4,52.6142,1.30198,2/26/2020,1,UK
19.1,52.4116,-1.56023,3/3/2020,1,UK
9.8,55.0028,-7.33118,3/3/2020,1,UK
3.9,55.0028,-7.33118,3/12/2020,1,UK
2.4,50.8058,0.271611,2/11/2020,1,UK
18.4,52.6198,-1.12731,4/3/2020,1,UK
14.1,53.3786,-1.4781,2/21/2020,1,UK
9.5,53.9675,-1.08651,2/29/2020,1,UK
6.9,53.2441,-1.45495,4/3/2020,1,UK
14.6,52.4116,-1.56023,4/3/2020,1,UK
4.5,55.0028,-7.33118,2/4/2020,1,UK
5.9,55.0028,-7.33118,2/19/2020,1,UK
4.5,55.0028,-7.33118,4/3/2020,1,UK
1.8,50.8058,0.271611,2/18/2020,1,UK
3.2,50.8058,0.271611,2/20/2020,1,UK
7.7,50.8058,0.271611,4/3/2020,1,UK
10.3,55.8658,-4.24363,4/3/2020,1,UK
13.0,51.5841,-0.125254,4/3/2020,1,UK
13.0,51.5841,-0.125254,4/3/2020,1,UK
7.6,52.6142,1.30198,4/3/2020,1,UK
17.5,53.3786,-1.4781,1/30/2020,1,UK
11.7,53.3786,-1.4781,4/3/2020,1,UK
8.6,52.4372,-1.83,4/3/2020,1,UK
5.7,52.6056,-2.03052,4/3/2020,1,UK
4.7,53.9675,-1.08651,4/3/2020,1,UK
8.0,50.8058,0.271611,2/28/2020,1,UK
25.9,52.6198,-1.12731,2/25/2020,1,UK
27.1,52.4372,-1.83,2/7/2020,1,UK
4.3,52.4116,-1.56023,2/9/2020,1,UK
12.3,52.4116,-1.56023,2/18/2020,1,UK
1.1,50.8058,0.271611,2/10/2020,1,UK
1.6,50.8058,0.271611,2/16/2020,1,UK
1.5,50.8058,0.271611,2/29/2020,1,UK
27.9,55.8658,-4.24363,1/21/2020,1,UK
54.8,52.6198,-1.12731,2/5/2020,2,UK
21.4,51.5841,-0.125254,1/29/2020,1,UK
26.4,51.5841,-0.125254,2/28/2020,1,UK
21.4,51.5841,-0.125254,1/29/2020,1,UK
26.4,51.5841,-0.125254,2/28/2020,1,UK
7.8,52.6142,1.30198,2/20/2020,1,UK
16.1,53.3786,-1.4781,1/11/2020,1,UK
51.8,53.3786,-1.4781,2/5/2020,2,UK
27.8,52.6056,-2.03052,2/5/2020,1,UK
25.1,53.9675,-1.08651,1/8/2020,1,UK
20.2,53.2441,-1.45495,2/5/2020,1,UK
16.1,52.4116,-1.56023,1/6/2020,1,UK
19.3,52.4116,-1.56023,1/16/2020,1,UK
24.2,52.4116,-1.56023,1/18/2020,1,UK
48.1,52.4116,-1.56023,1/20/2020,1,UK
22.3,52.4116,-1.56023,1/25/2020,1,UK
48.3,52.4116,-1.56023,2/6/2020,1,UK
13.6,52.4116,-1.56023,2/8/2020,1,UK
10.1,52.4116,-1.56023,2/10/2020,1,UK
17.9,52.4116,-1.56023,3/15/2020,1,UK
9.7,52.4116,-1.56023,3/31/2020,1,UK
5.2,55.0028,-7.33118,1/16/2020,1,UK
7.2,55.0028,-7.33118,1/17/2020,1,UK
10.7,55.0028,-7.33118,2/12/2020,1,UK
8.7,50.8058,0.271611,1/3/2020,1,UK
12.6,50.8058,0.271611,1/4/2020,1,UK
13.7,50.8058,0.271611,1/10/2020,1,UK
4.1,50.8058,0.271611,1/31/2020,1,UK
16.1,50.8058,0.271611,2/7/2020,1,UK
1.3,50.8058,0.271611,2/17/2020,1,UK
4.9,50.8058,0.271611,2/23/2020,1,UK
7.2,50.8058,0.271611,2/27/2020,1,UK
4.1,50.8058,0.271611,3/13/2020,1,UK
9.0,50.8058,0.271611,3/21/2020,1,UK
20.3,50.8058,0.271611,3/24/2020,1,UK
7.5,50.8058,0.271611,3/28/2020,1,UK
4.0,50.8058,0.271611,3/29/2020,1,UK
8.6,53.4601,-2.47206,1/16/2020,1,UK
5.2,53.4601,-2.47206,4/3/2020,1,UK
13.0,53.4601,-2.47206,1/1/2020,1,UK
8.3,53.4601,-2.47206,1/2/2020,1,UK
11.3,53.4601,-2.47206,1/3/2020,1,UK
12.5,53.4601,-2.47206,1/4/2020,1,UK
10.3,53.4601,-2.47206,1/5/2020,1,UK
9.6,53.4601,-2.47206,1/6/2020,1,UK
9.4,53.4601,-2.47206,1/7/2020,1,UK
22.3,53.4601,-2.47206,1/8/2020,1,UK
13.1,53.4601,-2.47206,1/9/2020,1,UK
19.8,53.4601,-2.47206,1/10/2020,1,UK
4.6,53.4601,-2.47206,1/11/2020,1,UK
10.9,53.4601,-2.47206,1/12/2020,1,UK
7.0,53.4601,-2.47206,1/13/2020,1,UK
10.6,53.4601,-2.47206,1/14/2020,1,UK
11.3,53.4601,-2.47206,1/15/2020,1,UK
21.5,53.4601,-2.47206,1/17/2020,1,UK
16.5,53.4601,-2.47206,1/18/2020,1,UK
42.0,53.4601,-2.47206,1/19/2020,1,UK
43.1,53.4601,-2.47206,1/20/2020,1,UK
34.2,53.4601,-2.47206,1/21/2020,1,UK
22.2,53.4601,-2.47206,1/22/2020,1,UK
33.8,53.4601,-2.47206,1/23/2020,1,UK
19.3,53.4601,-2.47206,1/24/2020,1,UK
13.2,53.4601,-2.47206,1/25/2020,1,UK
15.3,53.4601,-2.47206,1/26/2020,1,UK
13.1,53.4601,-2.47206,1/27/2020,1,UK
12.0,53.4601,-2.47206,1/28/2020,1,UK
7.8,53.4601,-2.47206,1/31/2020,1,UK
7.9,53.4601,-2.47206,2/1/2020,1,UK
10.0,53.4601,-2.47206,2/2/2020,1,UK
5.5,53.4601,-2.47206,2/3/2020,1,UK
5.8,53.4601,-2.47206,2/4/2020,1,UK
31.5,53.4601,-2.47206,2/5/2020,1,UK
41.4,53.4601,-2.47206,2/6/2020,1,UK
28.5,53.4601,-2.47206,2/7/2020,1,UK
5.3,53.4601,-2.47206,2/8/2020,1,UK
3.9,53.4601,-2.47206,2/9/2020,1,UK
5.6,53.4601,-2.47206,2/10/2020,1,UK
3.5,53.4601,-2.47206,2/11/2020,1,UK
10.9,53.4601,-2.47206,2/12/2020,1,UK
17.8,53.4601,-2.47206,2/13/2020,1,UK
17.1,53.4601,-2.47206,2/14/2020,1,UK
5.0,53.4601,-2.47206,2/15/2020,1,UK
8.9,53.4601,-2.47206,2/16/2020,1,UK
8.2,53.4601,-2.47206,2/17/2020,1,UK
10.9,53.4601,-2.47206,2/18/2020,1,UK
10.5,53.4601,-2.47206,2/19/2020,1,UK
3.8,53.4601,-2.47206,2/20/2020,1,UK
12.9,53.4601,-2.47206,2/21/2020,1,UK
4.9,53.4601,-2.47206,2/22/2020,1,UK
6.7,53.4601,-2.47206,2/23/2020,1,UK
6.6,53.4601,-2.47206,2/24/2020,1,UK
7.2,53.4601,-2.47206,2/25/2020,1,UK
11.7,53.4601,-2.47206,2/27/2020,1,UK
9.9,53.4601,-2.47206,2/28/2020,1,UK
5.2,53.4601,-2.47206,2/29/2020,1,UK
10.5,53.4601,-2.47206,3/1/2020,1,UK
13.7,53.4601,-2.47206,3/2/2020,1,UK
14.0,53.4601,-2.47206,3/3/2020,1,UK
25.8,53.4601,-2.47206,3/4/2020,1,UK
28.7,53.4601,-2.47206,3/5/2020,1,UK
35.7,53.4601,-2.47206,3/6/2020,1,UK
5.8,53.4601,-2.47206,3/7/2020,1,UK
7.0,53.4601,-2.47206,3/8/2020,1,UK
6.1,53.4601,-2.47206,3/9/2020,1,UK
8.6,53.4601,-2.47206,3/10/2020,1,UK
9.3,53.4601,-2.47206,3/11/2020,1,UK
5.3,53.4601,-2.47206,3/12/2020,1,UK
9.3,53.6931,-1.63711,4/3/2020,1,UK
6.8,56.4754,-2.95986,2/12/2020,1,UK
15.9,56.4754,-2.95986,2/15/2020,1,UK
4.5,56.4754,-2.95986,4/3/2020,1,UK
6.9,52.821,-1.63572,4/3/2020,1,UK
3.0,54.6832,-1.20384,4/3/2020,1,UK
16.6,53.6931,-1.63711,1/24/2020,1,UK
39.6,51.5223,-0.125889,4/3/2020,1,UK
10.4,53.6192,-0.213324,4/3/2020,1,UK
10.1,52.2723,-0.916605,4/3/2020,1,UK
7.0,51.5581,-1.76568,4/3/2020,1,UK
31.8,52.6735,-2.43669,2/6/2020,1,UK
3.1,52.6735,-2.43669,4/3/2020,1,UK
8.1,52.4813,-1.91823,4/3/2020,1,UK
12.4,52.5083,-1.98601,4/3/2020,1,UK
38.4,53.6931,-1.63711,1/23/2020,1,UK
20.9,51.5223,-0.125889,1/13/2020,1,UK
12.4,51.5581,-1.76568,1/9/2020,1,UK
4.9,52.6735,-2.43669,2/20/2020,1,UK
23.5,52.4813,-1.91823,2/27/2020,1,UK
12.2,52.5083,-1.98601,1/16/2020,1,UK
11.6,56.4754,-2.95986,2/25/2020,1,UK
53.7,52.821,-1.63572,2/6/2020,2,UK
14.3,54.6832,-1.20384,1/16/2020,1,UK
11.8,54.6832,-1.20384,2/12/2020,1,UK
49.8,53.6931,-1.63711,3/5/2020,1,UK
13.0,53.6192,-0.213324,2/4/2020,1,UK
9.9,53.6192,-0.213324,3/18/2020,1,UK
18.5,52.2723,-0.916605,1/8/2020,1,UK
4.7,52.2723,-0.916605,2/17/2020,1,UK
37.6,52.4813,-1.91823,2/7/2020,1,UK
40.3,52.5083,-1.98601,2/5/2020,1,UK
14.5,52.821,-1.63572,3/17/2020,1,UK
14.4,52.821,-1.63572,3/31/2020,1,UK
14.4,54.6832,-1.20384,2/13/2020,1,UK
19.6,53.6931,-1.63711,1/30/2020,1,UK
13.5,53.6931,-1.63711,3/18/2020,1,UK
34.4,51.5223,-0.125889,1/8/2020,1,UK
27.9,51.5223,-0.125889,3/19/2020,1,UK
30.2,53.6192,-0.213324,1/23/2020,1,UK
7.6,53.6192,-0.213324,3/11/2020,1,UK
7.6,52.2723,-0.916605,1/2/2020,1,UK
9.3,52.2723,-0.916605,1/26/2020,1,UK
31.4,52.2723,-0.916605,2/5/2020,1,UK
10.3,52.2723,-0.916605,2/19/2020,1,UK
15.1,52.2723,-0.916605,3/3/2020,1,UK
8.4,52.2723,-0.916605,3/14/2020,1,UK
6.5,52.2723,-0.916605,3/31/2020,1,UK
14.1,52.2723,-0.916605,4/1/2020,1,UK
10.8,52.6735,-2.43669,3/31/2020,1,UK
6.6,56.4754,-2.95986,1/1/2020,1,UK
4.7,56.4754,-2.95986,1/2/2020,1,UK
5.5,56.4754,-2.95986,1/3/2020,1,UK
6.1,56.4754,-2.95986,1/4/2020,1,UK
4.2,56.4754,-2.95986,1/5/2020,1,UK
6.4,56.4754,-2.95986,1/6/2020,1,UK
5.3,56.4754,-2.95986,1/7/2020,1,UK
9.0,56.4754,-2.95986,1/8/2020,1,UK
21.9,56.4754,-2.95986,1/9/2020,1,UK
16.2,56.4754,-2.95986,1/10/2020,1,UK
4.4,56.4754,-2.95986,1/11/2020,1,UK
6.7,56.4754,-2.95986,1/12/2020,1,UK
9.4,56.4754,-2.95986,1/13/2020,1,UK
10.3,56.4754,-2.95986,1/14/2020,1,UK
5.6,56.4754,-2.95986,1/15/2020,1,UK
14.1,56.4754,-2.95986,1/16/2020,1,UK
12.8,56.4754,-2.95986,1/17/2020,1,UK
9.3,56.4754,-2.95986,1/18/2020,1,UK
9.0,56.4754,-2.95986,1/19/2020,1,UK
7.2,56.4754,-2.95986,1/20/2020,1,UK
8.7,53.4601,-2.47206,3/13/2020,1,UK
4.4,53.4601,-2.47206,3/14/2020,1,UK
2.6,53.4601,-2.47206,3/15/2020,1,UK
7.6,53.4601,-2.47206,3/16/2020,1,UK
6.2,53.4601,-2.47206,3/17/2020,1,UK
7.3,53.4601,-2.47206,3/18/2020,1,UK
21.3,53.4601,-2.47206,3/19/2020,1,UK
11.5,53.4601,-2.47206,3/20/2020,1,UK
6.5,53.4601,-2.47206,3/21/2020,1,UK
10.4,53.4601,-2.47206,3/22/2020,1,UK
16.8,53.4601,-2.47206,3/23/2020,1,UK
11.4,53.4601,-2.47206,3/24/2020,1,UK
19.7,53.4601,-2.47206,3/25/2020,1,UK
33.4,53.4601,-2.47206,3/26/2020,1,UK
15.9,53.4601,-2.47206,3/27/2020,1,UK
6.1,53.4601,-2.47206,3/28/2020,1,UK
4.9,53.4601,-2.47206,3/29/2020,1,UK
8.7,53.4601,-2.47206,3/30/2020,1,UK
7.1,53.4601,-2.47206,3/31/2020,1,UK
6.0,53.4601,-2.47206,4/1/2020,1,UK
3.6,53.4601,-2.47206,4/2/2020,1,UK
14.4,51.4526,0.070766,1/29/2020,1,UK
14.4,51.4526,0.070766,4/3/2020,1,UK
23.2,51.466,0.184806,4/3/2020,1,UK
13.6,51.466,0.184806,1/16/2020,1,UK
34.7,51.466,0.184806,3/26/2020,1,UK
40.6,51.466,0.184806,1/23/2020,1,UK
40.5,51.466,0.184806,3/24/2020,1,UK
20.5,51.4526,0.070766,1/10/2020,1,UK
3.6,51.4526,0.070766,2/15/2020,1,UK
17.4,51.4526,0.070766,2/28/2020,1,UK
16.1,51.4526,0.070766,3/3/2020,1,UK
7.0,51.4526,0.070766,3/12/2020,1,UK
15.9,51.4526,0.070766,3/24/2020,1,UK
36.0,51.466,0.184806,1/1/2020,1,UK
12.2,51.466,0.184806,1/2/2020,1,UK
23.2,51.466,0.184806,1/3/2020,1,UK
23.2,51.466,0.184806,1/4/2020,1,UK
12.1,51.466,0.184806,1/5/2020,1,UK
12.2,51.466,0.184806,1/6/2020,1,UK
12.8,51.466,0.184806,1/7/2020,1,UK
22.4,51.466,0.184806,1/8/2020,1,UK
9.0,51.466,0.184806,1/9/2020,1,UK
27.2,51.466,0.184806,1/10/2020,1,UK
5.3,51.466,0.184806,1/11/2020,1,UK
8.3,51.466,0.184806,1/12/2020,1,UK
8.6,51.466,0.184806,1/13/2020,1,UK
6.2,51.466,0.184806,1/14/2020,1,UK
16.7,51.466,0.184806,1/15/2020,1,UK
15.1,51.466,0.184806,1/17/2020,1,UK
31.7,51.466,0.184806,1/18/2020,1,UK
35.7,51.466,0.184806,1/19/2020,1,UK
57.6,51.466,0.184806,1/20/2020,2,UK
59.7,51.466,0.184806,1/21/2020,2,UK
46.2,51.466,0.184806,1/22/2020,1,UK
18.2,51.466,0.184806,1/29/2020,1,UK
17.0,51.466,0.184806,1/30/2020,1,UK
13.9,51.466,0.184806,1/31/2020,1,UK
9.5,51.466,0.184806,2/1/2020,1,UK
11.4,51.466,0.184806,2/2/2020,1,UK
16.4,51.466,0.184806,2/3/2020,1,UK
24.6,51.466,0.184806,2/4/2020,1,UK
51.5,51.466,0.184806,2/5/2020,2,UK
52.4,51.466,0.184806,2/6/2020,2,UK
37.4,51.466,0.184806,2/7/2020,1,UK
15.8,51.466,0.184806,2/8/2020,1,UK
5.5,51.466,0.184806,2/9/2020,1,UK
10.2,51.466,0.184806,2/10/2020,1,UK
12.2,51.466,0.184806,2/11/2020,1,UK
19.9,51.466,0.184806,2/12/2020,1,UK
20.8,51.466,0.184806,2/13/2020,1,UK
25.0,51.466,0.184806,2/14/2020,1,UK
6.7,51.466,0.184806,2/15/2020,1,UK
4.1,51.466,0.184806,2/16/2020,1,UK
8.6,51.466,0.184806,2/17/2020,1,UK
9.5,51.466,0.184806,2/18/2020,1,UK
17.2,51.466,0.184806,2/19/2020,1,UK
13.2,51.466,0.184806,2/20/2020,1,UK
9.2,51.466,0.184806,2/21/2020,1,UK
4.5,51.466,0.184806,2/22/2020,1,UK
12.7,51.466,0.184806,2/23/2020,1,UK
12.0,51.466,0.184806,2/24/2020,1,UK
11.7,51.466,0.184806,2/25/2020,1,UK
23.4,51.466,0.184806,2/26/2020,1,UK
28.2,51.466,0.184806,2/27/2020,1,UK
21.2,51.466,0.184806,2/28/2020,1,UK
4.7,51.466,0.184806,2/29/2020,1,UK
5.4,51.466,0.184806,3/1/2020,1,UK
22.6,51.466,0.184806,3/2/2020,1,UK
36.1,51.466,0.184806,3/3/2020,1,UK
35.9,51.466,0.184806,3/4/2020,1,UK
21.7,51.466,0.184806,3/5/2020,1,UK
39.1,51.466,0.184806,3/6/2020,1,UK
24.4,51.466,0.184806,3/7/2020,1,UK
9.7,51.466,0.184806,3/8/2020,1,UK
13.7,51.466,0.184806,3/9/2020,1,UK
10.3,51.466,0.184806,3/10/2020,1,UK
12.0,51.466,0.184806,3/11/2020,1,UK
10.1,51.466,0.184806,3/12/2020,1,UK
21.8,51.466,0.184806,3/13/2020,1,UK
12.4,51.466,0.184806,3/14/2020,1,UK
15.1,51.466,0.184806,3/15/2020,1,UK
29.9,51.466,0.184806,3/16/2020,1,UK
16.0,51.466,0.184806,3/17/2020,1,UK
13.7,51.466,0.184806,3/18/2020,1,UK
18.0,51.466,0.184806,3/19/2020,1,UK
11.6,51.466,0.184806,3/20/2020,1,UK
12.6,51.466,0.184806,3/21/2020,1,UK
17.2,51.466,0.184806,3/22/2020,1,UK
36.9,51.466,0.184806,3/23/2020,1,UK
46.4,51.466,0.184806,3/25/2020,1,UK
25.7,51.466,0.184806,3/27/2020,1,UK
14.7,51.466,0.184806,3/28/2020,1,UK
10.5,51.466,0.184806,3/29/2020,1,UK
19.9,51.466,0.184806,3/30/2020,1,UK
20.9,51.466,0.184806,3/31/2020,1,UK
37.6,51.466,0.184806,4/1/2020,1,UK
25.3,51.466,0.184806,4/2/2020,1,UK
8.5,51.4526,0.070766,1/9/2020,1,UK
4.9,51.4526,0.070766,1/11/2020,1,UK
7.2,51.4526,0.070766,1/12/2020,1,UK
4.7,51.4526,0.070766,1/13/2020,1,UK
3.6,51.4526,0.070766,1/14/2020,1,UK
10.9,51.4526,0.070766,1/15/2020,1,UK
6.7,51.4526,0.070766,1/16/2020,1,UK
9.8,51.4526,0.070766,1/17/2020,1,UK
25.4,51.4526,0.070766,1/18/2020,1,UK
28.9,51.4526,0.070766,1/19/2020,1,UK
46.7,51.4526,0.070766,1/20/2020,1,UK
46.6,51.4526,0.070766,1/21/2020,1,UK
39.3,51.4526,0.070766,1/22/2020,1,UK
33.0,51.4526,0.070766,1/23/2020,1,UK
30.3,51.4526,0.070766,1/24/2020,1,UK
17.1,51.4526,0.070766,1/25/2020,1,UK
9.1,51.4526,0.070766,1/26/2020,1,UK
15.4,51.4526,0.070766,1/27/2020,1,UK
15.1,51.4526,0.070766,1/28/2020,1,UK
11.6,51.4526,0.070766,1/30/2020,1,UK
8.0,51.4526,0.070766,1/31/2020,1,UK
7.7,51.4526,0.070766,2/1/2020,1,UK
7.0,51.4526,0.070766,2/2/2020,1,UK
11.5,51.4526,0.070766,2/3/2020,1,UK
12.1,51.4526,0.070766,2/4/2020,1,UK
34.0,51.4526,0.070766,2/5/2020,1,UK
38.8,55.8658,-4.24363,3/4/2020,1,UK
17.9,55.8658,-4.24363,3/11/2020,1,UK
20.6,52.6198,-1.12731,1/7/2020,1,UK
15.9,52.6198,-1.12731,1/13/2020,1,UK
21.5,52.6198,-1.12731,2/10/2020,1,UK
28.3,52.6198,-1.12731,2/27/2020,1,UK
39.2,52.6198,-1.12731,3/3/2020,1,UK
18.7,52.6198,-1.12731,3/11/2020,1,UK
