AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
14.1,47.0944,15.4151,4/3/2020,1,austria
28.2,47.0694,15.4044,4/3/2020,1,austria
36.3,47.0944,15.4151,1/27/2020,1,austria
22.6,47.0944,15.4151,3/13/2020,1,austria
44.5,47.0694,15.4044,1/30/2020,1,austria
28.7,47.0694,15.4044,2/4/2020,1,austria
25.9,47.0944,15.4151,1/19/2020,1,austria
33.0,47.0944,15.4151,2/17/2020,1,austria
13.3,47.0944,15.4151,2/24/2020,1,austria
31.0,47.0944,15.4151,3/6/2020,1,austria
41.6,47.0694,15.4044,2/9/2020,1,austria
21.5,47.0694,15.4044,3/27/2020,1,austria
28.4,47.0944,15.4151,1/1/2020,1,austria
39.4,47.0944,15.4151,1/2/2020,1,austria
43.2,47.0944,15.4151,1/3/2020,1,austria
35.8,47.0944,15.4151,1/4/2020,1,austria
13.9,47.0944,15.4151,1/5/2020,1,austria
30.6,47.0944,15.4151,1/6/2020,1,austria
45.2,47.0944,15.4151,1/7/2020,1,austria
44.9,47.0944,15.4151,1/8/2020,1,austria
49.6,47.0944,15.4151,1/9/2020,1,austria
42.8,47.0944,15.4151,1/10/2020,1,austria
30.9,47.0944,15.4151,1/11/2020,1,austria
31.5,47.0944,15.4151,1/12/2020,1,austria
47.2,47.0944,15.4151,1/13/2020,1,austria
43.2,47.0944,15.4151,1/14/2020,1,austria
45.6,47.0944,15.4151,1/15/2020,1,austria
53.7,47.0944,15.4151,1/16/2020,2,austria
36.4,47.0944,15.4151,1/17/2020,1,austria
30.4,47.0944,15.4151,1/18/2020,1,austria
37.5,47.0944,15.4151,1/20/2020,1,austria
40.6,47.0944,15.4151,1/21/2020,1,austria
34.3,47.0944,15.4151,1/22/2020,1,austria
40.7,47.0944,15.4151,1/23/2020,1,austria
39.1,47.0944,15.4151,1/24/2020,1,austria
39.8,47.0944,15.4151,1/25/2020,1,austria
30.5,47.0944,15.4151,1/26/2020,1,austria
32.8,47.0944,15.4151,1/28/2020,1,austria
30.5,47.0944,15.4151,1/29/2020,1,austria
38.4,47.0944,15.4151,1/30/2020,1,austria
51.6,47.0944,15.4151,1/31/2020,2,austria
33.3,47.0944,15.4151,2/1/2020,1,austria
26.0,47.0944,15.4151,2/2/2020,1,austria
23.6,47.0944,15.4151,2/3/2020,1,austria
19.8,47.0944,15.4151,2/4/2020,1,austria
3.2,47.0944,15.4151,2/5/2020,1,austria
22.7,47.0944,15.4151,2/6/2020,1,austria
39.5,47.0944,15.4151,2/7/2020,1,austria
34.2,47.0944,15.4151,2/8/2020,1,austria
30.9,47.0944,15.4151,2/9/2020,1,austria
24.0,47.0944,15.4151,2/10/2020,1,austria
10.6,47.0944,15.4151,2/11/2020,1,austria
31.2,47.0944,15.4151,2/12/2020,1,austria
