AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
17.1,50.8567,4.42576,4/3/2020,1,belgium
18.6,50.8567,4.42576,1/3/2020,1,belgium
36.0,50.8567,4.42576,1/24/2020,1,belgium
21.3,50.8567,4.42576,1/30/2020,1,belgium
21.4,50.8567,4.42576,3/9/2020,1,belgium
20.3,50.8567,4.42576,3/31/2020,1,belgium
32.1,50.8567,4.42576,1/6/2020,1,belgium
13.6,50.8567,4.42576,1/9/2020,1,belgium
11.1,50.8567,4.42576,1/12/2020,1,belgium
18.7,50.8567,4.42576,1/15/2020,1,belgium
34.7,50.8567,4.42576,1/18/2020,1,belgium
20.9,50.8567,4.42576,1/27/2020,1,belgium
11.2,50.8567,4.42576,2/2/2020,1,belgium
48.7,50.8567,4.42576,2/5/2020,1,belgium
4.6,50.8567,4.42576,2/9/2020,1,belgium
24.9,50.8567,4.42576,2/12/2020,1,belgium
10.2,50.8567,4.42576,2/15/2020,1,belgium
15.2,50.8567,4.42576,2/18/2020,1,belgium
19.8,50.8567,4.42576,2/21/2020,1,belgium
19.9,50.8567,4.42576,2/24/2020,1,belgium
31.7,50.8567,4.42576,2/27/2020,1,belgium
10.2,50.8567,4.42576,3/1/2020,1,belgium
25.9,50.8567,4.42576,3/4/2020,1,belgium
21.2,50.8567,4.42576,3/7/2020,1,belgium
15.7,50.8567,4.42576,3/10/2020,1,belgium
30.9,50.8567,4.42576,3/13/2020,1,belgium
42.9,50.8567,4.42576,3/16/2020,1,belgium
42.4,50.8567,4.42576,3/19/2020,1,belgium
5.1,50.8567,4.42576,3/22/2020,1,belgium
31.5,50.8567,4.42576,3/25/2020,1,belgium
17.0,50.8567,4.42576,3/28/2020,1,belgium
23.5,50.8567,4.42576,1/1/2020,1,belgium
20.6,50.8567,4.42576,1/2/2020,1,belgium
32.1,50.8567,4.42576,1/4/2020,1,belgium
28.6,50.8567,4.42576,1/5/2020,1,belgium
23.0,50.8567,4.42576,1/7/2020,1,belgium
25.6,50.8567,4.42576,1/8/2020,1,belgium
35.3,50.8567,4.42576,1/10/2020,1,belgium
20.0,50.8567,4.42576,1/11/2020,1,belgium
18.8,50.8567,4.42576,1/13/2020,1,belgium
10.5,50.8567,4.42576,1/14/2020,1,belgium
29.1,50.8567,4.42576,1/16/2020,1,belgium
