AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
12.8,42.0019,23.0978,3/24/2020,1,bulgaria
43.6,42.0019,23.0978,1/9/2020,1,bulgaria
34.1,42.0019,23.0978,1/24/2020,1,bulgaria
4.7,42.0019,23.0978,3/2/2020,1,bulgaria
5.0,42.0019,23.0978,3/4/2020,1,bulgaria
38.5,42.0019,23.0978,1/15/2020,1,bulgaria
38.9,42.0019,23.0978,1/31/2020,1,bulgaria
9.0,42.0019,23.0978,2/6/2020,1,bulgaria
26.0,42.0019,23.0978,2/13/2020,1,bulgaria
29.5,42.0019,23.0978,2/14/2020,1,bulgaria
20.4,42.0019,23.0978,3/11/2020,1,bulgaria
30.4,42.0019,23.0978,1/8/2020,1,bulgaria
51.7,42.0019,23.0978,1/10/2020,2,bulgaria
39.3,42.0019,23.0978,1/11/2020,1,bulgaria
30.0,42.0019,23.0978,1/12/2020,1,bulgaria
27.3,42.0019,23.0978,1/13/2020,1,bulgaria
24.3,42.0019,23.0978,1/14/2020,1,bulgaria
38.7,42.0019,23.0978,1/16/2020,1,bulgaria
39.8,42.0019,23.0978,1/17/2020,1,bulgaria
32.1,42.0019,23.0978,1/18/2020,1,bulgaria
18.7,42.0019,23.0978,1/19/2020,1,bulgaria
18.0,42.0019,23.0978,1/20/2020,1,bulgaria
32.1,42.0019,23.0978,1/23/2020,1,bulgaria
43.1,42.0019,23.0978,1/25/2020,1,bulgaria
32.4,42.0019,23.0978,1/26/2020,1,bulgaria
20.2,42.0019,23.0978,1/29/2020,1,bulgaria
26.6,42.0019,23.0978,1/30/2020,1,bulgaria
34.6,42.0019,23.0978,2/1/2020,1,bulgaria
24.1,42.0019,23.0978,2/2/2020,1,bulgaria
31.4,42.0019,23.0978,2/3/2020,1,bulgaria
11.3,42.0019,23.0978,2/5/2020,1,bulgaria
19.9,42.0019,23.0978,2/7/2020,1,bulgaria
20.5,42.0019,23.0978,2/8/2020,1,bulgaria
27.0,42.0019,23.0978,2/9/2020,1,bulgaria
32.0,42.0019,23.0978,2/10/2020,1,bulgaria
13.1,42.0019,23.0978,2/25/2020,1,bulgaria
11.9,42.0019,23.0978,2/29/2020,1,bulgaria
12.8,42.0019,23.0978,3/6/2020,1,bulgaria
14.5,42.0019,23.0978,3/9/2020,1,bulgaria
23.5,42.0019,23.0978,3/12/2020,1,bulgaria
7.2,42.0019,23.0978,3/15/2020,1,bulgaria
14.9,42.0019,23.0978,3/18/2020,1,bulgaria
11.7,42.0019,23.0978,3/21/2020,1,bulgaria
11.9,42.0019,23.0978,3/27/2020,1,bulgaria
14.0,42.0019,23.0978,3/30/2020,1,bulgaria
8.7,42.0019,23.0978,3/31/2020,1,bulgaria
10.8,42.0019,23.0978,2/15/2020,1,bulgaria
21.1,42.0019,23.0978,2/16/2020,1,bulgaria
28.2,42.0019,23.0978,2/17/2020,1,bulgaria
21.7,42.0019,23.0978,2/18/2020,1,bulgaria
25.3,42.0019,23.0978,2/19/2020,1,bulgaria
16.4,42.0019,23.0978,2/20/2020,1,bulgaria
14.0,42.0019,23.0978,2/21/2020,1,bulgaria
11.7,42.0019,23.0978,2/22/2020,1,bulgaria
19.2,42.0019,23.0978,2/23/2020,1,bulgaria
21.1,42.0019,23.0978,2/24/2020,1,bulgaria
6.3,42.0019,23.0978,2/26/2020,1,bulgaria
11.1,42.0019,23.0978,2/27/2020,1,bulgaria
13.4,42.0019,23.0978,2/28/2020,1,bulgaria
15.4,42.0019,23.0978,3/1/2020,1,bulgaria
1.9,42.0019,23.0978,3/3/2020,1,bulgaria
14.0,42.0019,23.0978,3/5/2020,1,bulgaria
7.1,42.0019,23.0978,3/7/2020,1,bulgaria
13.1,42.0019,23.0978,3/8/2020,1,bulgaria
13.1,42.0019,23.0978,3/10/2020,1,bulgaria
23.0,42.0019,23.0978,3/13/2020,1,bulgaria
9.3,42.0019,23.0978,3/14/2020,1,bulgaria
9.5,42.0019,23.0978,3/16/2020,1,bulgaria
15.8,42.0019,23.0978,3/17/2020,1,bulgaria
14.8,42.0019,23.0978,3/19/2020,1,bulgaria
17.3,42.0019,23.0978,3/20/2020,1,bulgaria
8.8,42.0019,23.0978,3/22/2020,1,bulgaria
8.4,42.0019,23.0978,3/23/2020,1,bulgaria
5.5,42.0019,23.0978,3/25/2020,1,bulgaria
11.6,42.0019,23.0978,3/26/2020,1,bulgaria
8.1,42.0019,23.0978,3/28/2020,1,bulgaria
11.9,42.0019,23.0978,3/29/2020,1,bulgaria
32.1,42.4566,27.421,2/14/2020,1,bulgaria
14.3,42.4566,27.421,2/25/2020,1,bulgaria
15.6,42.4566,27.421,3/2/2020,1,bulgaria
28.2,42.4566,27.421,1/9/2020,1,bulgaria
12.7,42.4566,27.421,2/11/2020,1,bulgaria
29.4,42.4566,27.421,1/10/2020,1,bulgaria
11.9,42.4566,27.421,1/18/2020,1,bulgaria
18.3,42.4566,27.421,1/21/2020,1,bulgaria
11.8,42.4566,27.421,2/5/2020,1,bulgaria
17.1,42.4566,27.421,2/21/2020,1,bulgaria
13.2,42.4566,27.421,2/29/2020,1,bulgaria
9.9,42.4566,27.421,3/6/2020,1,bulgaria
16.5,42.4566,27.421,3/20/2020,1,bulgaria
6.4,42.4566,27.421,3/24/2020,1,bulgaria
9.5,42.4566,27.421,3/27/2020,1,bulgaria
10.9,42.4566,27.421,3/30/2020,1,bulgaria
7.6,42.4566,27.421,3/31/2020,1,bulgaria
15.8,42.4566,27.421,1/8/2020,1,bulgaria
22.6,42.4566,27.421,1/11/2020,1,bulgaria
19.9,42.4566,27.421,1/12/2020,1,bulgaria
23.6,42.4566,27.421,1/13/2020,1,bulgaria
22.4,42.4566,27.421,1/14/2020,1,bulgaria
16.7,42.4566,27.421,1/16/2020,1,bulgaria
11.3,42.4566,27.421,1/17/2020,1,bulgaria
