AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
14.1,45.1595,17.9951,4/3/2020,1,croatia
31.0,45.1595,17.9951,2/13/2020,1,croatia
21.6,45.1595,17.9951,2/14/2020,1,croatia
22.4,45.1595,17.9951,2/15/2020,1,croatia
27.3,45.1595,17.9951,2/16/2020,1,croatia
25.6,45.1595,17.9951,2/17/2020,1,croatia
32.3,45.1595,17.9951,2/18/2020,1,croatia
21.6,45.1595,17.9951,2/19/2020,1,croatia
16.5,45.1595,17.9951,2/20/2020,1,croatia
19.5,45.1595,17.9951,2/21/2020,1,croatia
19.9,45.1595,17.9951,2/22/2020,1,croatia
18.5,45.1595,17.9951,2/23/2020,1,croatia
18.5,45.1595,17.9951,2/24/2020,1,croatia
28.1,45.1595,17.9951,2/25/2020,1,croatia
18.1,45.1595,17.9951,2/26/2020,1,croatia
6.9,45.1595,17.9951,2/27/2020,1,croatia
8.2,45.1595,17.9951,2/28/2020,1,croatia
27.7,45.1595,17.9951,2/29/2020,1,croatia
23.8,45.1595,17.9951,3/1/2020,1,croatia
11.6,45.1595,17.9951,3/2/2020,1,croatia
24.5,45.1595,17.9951,3/3/2020,1,croatia
14.5,45.1595,17.9951,3/4/2020,1,croatia
17.7,45.1595,17.9951,3/5/2020,1,croatia
26.6,45.1595,17.9951,3/6/2020,1,croatia
16.9,45.1595,17.9951,3/7/2020,1,croatia
12.8,45.1595,17.9951,3/8/2020,1,croatia
23.9,45.1595,17.9951,3/9/2020,1,croatia
18.1,45.1595,17.9951,3/10/2020,1,croatia
25.3,45.1595,17.9951,3/11/2020,1,croatia
21.8,45.1595,17.9951,3/12/2020,1,croatia
15.3,45.1595,17.9951,3/13/2020,1,croatia
15.7,45.1595,17.9951,3/14/2020,1,croatia
11.9,45.1595,17.9951,3/15/2020,1,croatia
20.5,45.1595,17.9951,3/16/2020,1,croatia
21.5,45.1595,17.9951,3/17/2020,1,croatia
24.2,45.1595,17.9951,3/18/2020,1,croatia
23.7,45.1595,17.9951,3/19/2020,1,croatia
22.5,45.1595,17.9951,3/20/2020,1,croatia
9.0,45.1595,17.9951,3/21/2020,1,croatia
5.6,45.1595,17.9951,3/22/2020,1,croatia
5.6,45.1595,17.9951,3/23/2020,1,croatia
7.5,45.1595,17.9951,3/24/2020,1,croatia
7.8,45.1595,17.9951,3/25/2020,1,croatia
8.0,45.1595,17.9951,3/26/2020,1,croatia
13.5,45.1595,17.9951,3/27/2020,1,croatia
14.6,45.1595,17.9951,3/28/2020,1,croatia
6.1,45.1595,17.9951,3/29/2020,1,croatia
4.7,45.1595,17.9951,3/30/2020,1,croatia
7.0,45.1595,17.9951,3/31/2020,1,croatia
16.3,45.1595,17.9951,4/1/2020,1,croatia
17.7,45.1595,17.9951,4/2/2020,1,croatia
25.3,45.7649,16.0065,4/3/2020,1,croatia
7.0,45.3208,14.4835,4/3/2020,1,croatia
41.9,45.7649,16.0065,1/21/2020,1,croatia
42.3,45.7649,16.0065,1/22/2020,1,croatia
40.8,45.7649,16.0065,2/13/2020,1,croatia
38.3,45.7649,16.0065,3/9/2020,1,croatia
19.5,45.3208,14.4835,1/2/2020,1,croatia
11.8,45.3208,14.4835,1/8/2020,1,croatia
1.6,45.3208,14.4835,1/11/2020,1,croatia
18.2,45.3208,14.4835,1/14/2020,1,croatia
5.1,45.3208,14.4835,1/18/2020,1,croatia
13.8,45.3208,14.4835,1/21/2020,1,croatia
15.4,45.3208,14.4835,1/24/2020,1,croatia
13.0,45.3208,14.4835,1/27/2020,1,croatia
10.2,45.3208,14.4835,1/30/2020,1,croatia
11.0,45.3208,14.4835,2/2/2020,1,croatia
5.9,45.3208,14.4835,2/8/2020,1,croatia
7.0,45.3208,14.4835,2/11/2020,1,croatia
5.7,45.3208,14.4835,2/14/2020,1,croatia
13.0,45.3208,14.4835,2/17/2020,1,croatia
8.3,45.3208,14.4835,2/20/2020,1,croatia
12.8,45.3208,14.4835,2/23/2020,1,croatia
2.9,45.3208,14.4835,2/26/2020,1,croatia
0.7,45.3208,14.4835,2/29/2020,1,croatia
4.1,45.3208,14.4835,3/3/2020,1,croatia
8.1,45.3208,14.4835,3/6/2020,1,croatia
12.9,45.3208,14.4835,3/9/2020,1,croatia
17.2,45.3208,14.4835,3/12/2020,1,croatia
1.4,45.3208,14.4835,3/18/2020,1,croatia
3.6,45.3208,14.4835,3/21/2020,1,croatia
1.3,45.3208,14.4835,4/2/2020,1,croatia
41.5,45.7649,16.0065,1/6/2020,1,croatia
61.5,45.7649,16.0065,1/9/2020,2,croatia
