AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
42.9,35.1269,33.3317,1/25/2020,1,cyprus
11.2,35.1269,33.3317,3/24/2020,1,cyprus
39.2,35.1269,33.3317,1/29/2020,1,cyprus
24.8,35.1269,33.3317,2/1/2020,1,cyprus
32.8,35.1269,33.3317,3/12/2020,1,cyprus
23.2,35.1269,33.3317,1/17/2020,1,cyprus
46.0,35.1269,33.3317,1/28/2020,1,cyprus
33.1,35.1269,33.3317,2/20/2020,1,cyprus
27.8,35.1269,33.3317,2/5/2020,1,cyprus
36.0,35.1269,33.3317,2/11/2020,1,cyprus
31.1,35.1269,33.3317,2/27/2020,1,cyprus
20.0,35.1269,33.3317,3/6/2020,1,cyprus
9.6,35.1269,33.3317,3/20/2020,1,cyprus
15.5,35.1269,33.3317,3/27/2020,1,cyprus
29.1,35.1269,33.3317,1/1/2020,1,cyprus
29.0,35.1269,33.3317,1/2/2020,1,cyprus
31.1,35.1269,33.3317,1/3/2020,1,cyprus
26.0,35.1269,33.3317,1/4/2020,1,cyprus
31.6,35.1269,33.3317,1/5/2020,1,cyprus
11.6,35.1269,33.3317,1/6/2020,1,cyprus
33.8,35.1269,33.3317,1/7/2020,1,cyprus
31.0,35.1269,33.3317,1/8/2020,1,cyprus
28.6,35.1269,33.3317,1/9/2020,1,cyprus
34.9,35.1269,33.3317,1/10/2020,1,cyprus
30.3,35.1269,33.3317,1/11/2020,1,cyprus
25.0,35.1269,33.3317,1/12/2020,1,cyprus
42.0,35.1269,33.3317,1/13/2020,1,cyprus
43.1,35.1269,33.3317,1/14/2020,1,cyprus
47.4,35.1269,33.3317,1/15/2020,1,cyprus
38.0,35.1269,33.3317,1/16/2020,1,cyprus
32.3,35.1269,33.3317,1/18/2020,1,cyprus
28.7,35.1269,33.3317,1/19/2020,1,cyprus
30.1,35.1269,33.3317,1/20/2020,1,cyprus
9.1,35.1269,33.3317,1/21/2020,1,cyprus
25.3,35.1269,33.3317,1/22/2020,1,cyprus
31.5,35.1269,33.3317,1/23/2020,1,cyprus
28.6,35.1269,33.3317,1/26/2020,1,cyprus
40.8,35.1269,33.3317,1/30/2020,1,cyprus
9.7,35.1269,33.3317,1/31/2020,1,cyprus
