AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
2.6,59.3762,28.1792,1/1/2020,1,estonia
4.3,59.3762,28.1792,1/2/2020,1,estonia
4.3,59.3762,28.1792,1/3/2020,1,estonia
2.5,59.3762,28.1792,1/4/2020,1,estonia
4.4,59.3762,28.1792,1/5/2020,1,estonia
5.1,59.3762,28.1792,1/6/2020,1,estonia
4.7,59.3762,28.1792,1/7/2020,1,estonia
2.4,59.3762,28.1792,1/8/2020,1,estonia
5.2,59.3762,28.1792,1/9/2020,1,estonia
16.5,59.3762,28.1792,1/10/2020,1,estonia
5.0,59.3762,28.1792,1/11/2020,1,estonia
2.9,59.3762,28.1792,1/12/2020,1,estonia
5.8,59.3762,28.1792,1/13/2020,1,estonia
5.3,59.3762,28.1792,1/14/2020,1,estonia
4.6,59.3762,28.1792,1/15/2020,1,estonia
5.6,59.3762,28.1792,1/16/2020,1,estonia
4.3,59.3762,28.1792,1/17/2020,1,estonia
4.2,59.3762,28.1792,1/18/2020,1,estonia
3.4,59.3762,28.1792,1/19/2020,1,estonia
3.5,59.3762,28.1792,1/20/2020,1,estonia
3.4,59.3762,28.1792,1/21/2020,1,estonia
2.5,59.3762,28.1792,1/22/2020,1,estonia
3.9,59.3762,28.1792,1/23/2020,1,estonia
7.2,59.3762,28.1792,1/24/2020,1,estonia
3.0,59.3762,28.1792,1/25/2020,1,estonia
3.9,59.3762,28.1792,1/26/2020,1,estonia
8.4,59.3762,28.1792,1/27/2020,1,estonia
9.2,59.3762,28.1792,1/28/2020,1,estonia
8.2,59.3762,28.1792,1/29/2020,1,estonia
11.9,59.3762,28.1792,1/30/2020,1,estonia
11.5,59.3762,28.1792,1/31/2020,1,estonia
6.3,59.3762,28.1792,2/1/2020,1,estonia
3.5,59.3762,28.1792,2/2/2020,1,estonia
3.4,59.3762,28.1792,2/3/2020,1,estonia
3.4,59.3762,28.1792,2/4/2020,1,estonia
7.5,59.3762,28.1792,2/5/2020,1,estonia
3.3,59.3762,28.1792,2/6/2020,1,estonia
6.7,59.3762,28.1792,2/7/2020,1,estonia
5.1,59.3762,28.1792,2/8/2020,1,estonia
3.2,59.3762,28.1792,2/9/2020,1,estonia
6.1,59.3762,28.1792,2/10/2020,1,estonia
2.4,59.3762,28.1792,2/11/2020,1,estonia
6.6,59.3762,28.1792,2/12/2020,1,estonia
6.8,59.3762,28.1792,2/13/2020,1,estonia
8.1,59.3762,28.1792,2/14/2020,1,estonia
3.1,59.3762,28.1792,2/15/2020,1,estonia
4.9,59.3762,28.1792,2/16/2020,1,estonia
4.4,59.3762,28.1792,2/17/2020,1,estonia
3.6,59.3762,28.1792,2/18/2020,1,estonia
4.1,59.3762,28.1792,2/19/2020,1,estonia
8.8,59.3762,28.1792,2/20/2020,1,estonia
3.9,59.3762,28.1792,2/21/2020,1,estonia
2.3,59.3762,28.1792,2/22/2020,1,estonia
4.6,59.3762,28.1792,2/23/2020,1,estonia
2.7,59.3762,28.1792,2/24/2020,1,estonia
11.0,59.3762,28.1792,2/25/2020,1,estonia
