AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
16.1,48.9964,1.7033,2/11/2020,1,france
15.1,48.9964,1.7033,1/8/2020,1,france
22.5,48.9964,1.7033,1/26/2020,1,france
42.1,48.9964,1.7033,2/6/2020,1,france
28.7,48.9964,1.7033,3/3/2020,1,france
6.9,48.9964,1.7033,3/22/2020,1,france
5.1,48.9964,1.7033,3/29/2020,1,france
21.4,48.9964,1.7033,1/1/2020,1,france
21.3,48.9964,1.7033,1/2/2020,1,france
15.2,48.9964,1.7033,1/3/2020,1,france
26.4,48.9964,1.7033,1/4/2020,1,france
27.2,48.9964,1.7033,1/5/2020,1,france
31.2,48.9964,1.7033,1/6/2020,1,france
22.6,48.9964,1.7033,1/7/2020,1,france
9.5,48.9964,1.7033,1/9/2020,1,france
25.7,48.9964,1.7033,1/10/2020,1,france
24.0,48.9964,1.7033,1/11/2020,1,france
13.1,48.9964,1.7033,1/12/2020,1,france
11.7,48.9964,1.7033,1/13/2020,1,france
8.9,48.9964,1.7033,1/14/2020,1,france
23.9,48.9964,1.7033,1/15/2020,1,france
25.6,48.9964,1.7033,1/16/2020,1,france
16.9,48.9964,1.7033,1/17/2020,1,france
30.8,48.9964,1.7033,1/18/2020,1,france
21.0,48.9964,1.7033,1/19/2020,1,france
27.8,48.9964,1.7033,1/20/2020,1,france
36.3,48.9964,1.7033,1/21/2020,1,france
38.9,48.9964,1.7033,1/22/2020,1,france
23.1,48.9964,1.7033,1/23/2020,1,france
33.5,48.9964,1.7033,1/24/2020,1,france
48.0,48.9964,1.7033,1/25/2020,1,france
16.4,48.9964,1.7033,1/27/2020,1,france
12.6,48.9964,1.7033,1/28/2020,1,france
24.5,48.9964,1.7033,1/29/2020,1,france
17.9,48.9964,1.7033,1/30/2020,1,france
13.7,48.9964,1.7033,1/31/2020,1,france
12.5,48.9964,1.7033,2/1/2020,1,france
9.1,48.9964,1.7033,2/2/2020,1,france
14.8,48.9964,1.7033,2/3/2020,1,france
10.4,48.9964,1.7033,2/4/2020,1,france
37.7,48.9964,1.7033,2/5/2020,1,france
37.3,48.9964,1.7033,2/7/2020,1,france
19.8,48.9964,1.7033,2/8/2020,1,france
7.4,48.9964,1.7033,2/9/2020,1,france
9.9,48.9964,1.7033,2/10/2020,1,france
24.8,48.9964,1.7033,2/12/2020,1,france
8.5,48.9964,1.7033,2/13/2020,1,france
22.7,48.9964,1.7033,2/14/2020,1,france
9.3,48.9964,1.7033,2/15/2020,1,france
5.8,48.9964,1.7033,2/16/2020,1,france
12.5,48.9964,1.7033,2/17/2020,1,france
14.9,48.9964,1.7033,2/18/2020,1,france
16.8,48.9964,1.7033,2/19/2020,1,france
12.0,48.9964,1.7033,2/20/2020,1,france
21.8,48.9964,1.7033,2/21/2020,1,france
12.4,48.9964,1.7033,2/22/2020,1,france
7.3,48.9964,1.7033,2/23/2020,1,france
9.4,48.9964,1.7033,2/24/2020,1,france
11.2,48.9964,1.7033,2/25/2020,1,france
13.7,48.9964,1.7033,2/26/2020,1,france
13.6,48.9964,1.7033,2/27/2020,1,france
22.9,48.9964,1.7033,2/28/2020,1,france
8.1,48.9964,1.7033,2/29/2020,1,france
13.2,48.9964,1.7033,3/1/2020,1,france
15.3,48.9964,1.7033,3/2/2020,1,france
23.9,48.9964,1.7033,3/4/2020,1,france
18.5,48.9964,1.7033,3/5/2020,1,france
26.7,48.9964,1.7033,3/6/2020,1,france
24.6,48.9964,1.7033,3/7/2020,1,france
12.9,48.9964,1.7033,3/8/2020,1,france
15.8,48.9964,1.7033,3/9/2020,1,france
10.6,48.9964,1.7033,3/10/2020,1,france
8.3,48.9964,1.7033,3/11/2020,1,france
9.3,48.9964,1.7033,3/12/2020,1,france
19.4,48.9964,1.7033,3/13/2020,1,france
15.6,48.9964,1.7033,3/14/2020,1,france
20.3,48.9964,1.7033,3/15/2020,1,france
20.5,48.9964,1.7033,3/16/2020,1,france
23.1,48.9964,1.7033,3/17/2020,1,france
23.1,48.9964,1.7033,3/18/2020,1,france
17.8,48.9964,1.7033,3/19/2020,1,france
12.8,48.9964,1.7033,3/20/2020,1,france
6.4,48.9964,1.7033,3/21/2020,1,france
16.4,48.9964,1.7033,3/23/2020,1,france
19.5,48.9964,1.7033,3/24/2020,1,france
14.2,48.9964,1.7033,3/25/2020,1,france
12.8,48.9964,1.7033,3/26/2020,1,france
17.8,48.9964,1.7033,3/27/2020,1,france
13.2,48.9964,1.7033,3/28/2020,1,france
7.2,48.9964,1.7033,3/30/2020,1,france
9.5,48.9964,1.7033,3/31/2020,1,france
19.1,48.9964,1.7033,4/1/2020,1,france
13.6,48.9964,1.7033,4/2/2020,1,france
36.2,48.9556,2.57528,2/5/2020,1,france
36.6,48.9556,2.57528,3/6/2020,1,france
21.6,48.9556,2.57528,2/4/2020,1,france
16.3,48.9556,2.57528,2/24/2020,1,france
21.3,48.9556,2.57528,1/1/2020,1,france
27.6,48.9556,2.57528,1/2/2020,1,france
22.6,48.9556,2.57528,1/3/2020,1,france
42.1,48.9556,2.57528,1/4/2020,1,france
45.0,48.9556,2.57528,1/5/2020,1,france
38.0,48.9556,2.57528,1/6/2020,1,france
36.4,48.9556,2.57528,1/7/2020,1,france
33.9,48.9556,2.57528,1/8/2020,1,france
17.0,48.9556,2.57528,1/9/2020,1,france
34.8,48.9556,2.57528,1/10/2020,1,france
48.9,48.9556,2.57528,1/11/2020,1,france
22.7,48.9556,2.57528,1/12/2020,1,france
18.7,48.9556,2.57528,1/13/2020,1,france
16.0,48.9556,2.57528,1/14/2020,1,france
30.9,48.9556,2.57528,1/15/2020,1,france
26.0,48.9556,2.57528,1/16/2020,1,france
28.8,48.9556,2.57528,1/17/2020,1,france
41.3,48.9556,2.57528,1/18/2020,1,france
32.8,48.9556,2.57528,1/19/2020,1,france
31.7,48.9556,2.57528,1/20/2020,1,france
42.4,48.9556,2.57528,1/21/2020,1,france
40.6,48.9556,2.57528,1/22/2020,1,france
31.6,48.9556,2.57528,1/23/2020,1,france
31.5,48.9556,2.57528,1/24/2020,1,france
32.3,48.9556,2.57528,1/25/2020,1,france
27.8,48.9556,2.57528,1/26/2020,1,france
20.5,48.9556,2.57528,1/27/2020,1,france
20.9,48.9556,2.57528,1/28/2020,1,france
39.6,48.9556,2.57528,1/29/2020,1,france
28.9,48.9556,2.57528,1/30/2020,1,france
22.3,48.9556,2.57528,1/31/2020,1,france
17.6,48.9556,2.57528,2/1/2020,1,france
17.5,48.9556,2.57528,2/2/2020,1,france
25.7,48.9556,2.57528,2/3/2020,1,france
38.3,48.9556,2.57528,2/6/2020,1,france
39.4,48.9556,2.57528,2/7/2020,1,france
30.4,48.9556,2.57528,2/8/2020,1,france
8.6,48.9556,2.57528,2/9/2020,1,france
13.3,48.9556,2.57528,2/10/2020,1,france
19.9,48.9556,2.57528,2/11/2020,1,france
34.2,48.9556,2.57528,2/12/2020,1,france
15.6,48.9556,2.57528,2/13/2020,1,france
31.1,48.9556,2.57528,2/14/2020,1,france
13.4,48.9556,2.57528,2/15/2020,1,france
8.2,48.9556,2.57528,2/16/2020,1,france
18.1,48.9556,2.57528,2/17/2020,1,france
22.3,48.9556,2.57528,2/18/2020,1,france
27.4,48.9556,2.57528,2/19/2020,1,france
22.4,48.9556,2.57528,2/20/2020,1,france
36.3,48.9556,2.57528,2/21/2020,1,france
20.0,48.9556,2.57528,2/22/2020,1,france
13.2,48.9556,2.57528,2/23/2020,1,france
22.2,48.9556,2.57528,2/25/2020,1,france
25.8,48.9556,2.57528,2/26/2020,1,france
27.2,48.9556,2.57528,2/27/2020,1,france
31.7,48.9556,2.57528,2/28/2020,1,france
12.0,48.9556,2.57528,2/29/2020,1,france
19.4,48.9556,2.57528,3/1/2020,1,france
23.8,48.9556,2.57528,3/2/2020,1,france
48.8,48.9556,2.57528,3/3/2020,1,france
32.1,48.9556,2.57528,3/4/2020,1,france
20.8,48.9556,2.57528,3/5/2020,1,france
41.4,48.9556,2.57528,3/7/2020,1,france
22.0,48.9556,2.57528,3/8/2020,1,france
23.5,48.9556,2.57528,3/9/2020,1,france
19.8,48.9556,2.57528,3/10/2020,1,france
15.2,48.9556,2.57528,3/11/2020,1,france
17.7,48.9556,2.57528,3/12/2020,1,france
33.2,48.9556,2.57528,3/13/2020,1,france
21.2,48.9556,2.57528,3/14/2020,1,france
21.2,48.9556,2.57528,3/15/2020,1,france
39.6,48.9556,2.57528,3/16/2020,1,france
32.2,48.9556,2.57528,3/17/2020,1,france
33.6,48.9556,2.57528,3/18/2020,1,france
25.1,48.9556,2.57528,3/19/2020,1,france
14.4,48.9556,2.57528,3/20/2020,1,france
6.8,48.9556,2.57528,3/21/2020,1,france
6.0,48.9556,2.57528,3/22/2020,1,france
8.8,48.9556,2.57528,3/23/2020,1,france
15.9,48.9556,2.57528,3/24/2020,1,france
17.3,48.9556,2.57528,3/25/2020,1,france
14.3,48.9556,2.57528,3/26/2020,1,france
19.9,48.9556,2.57528,3/27/2020,1,france
18.0,48.9556,2.57528,3/28/2020,1,france
5.2,48.9556,2.57528,3/29/2020,1,france
8.0,48.9556,2.57528,3/30/2020,1,france
12.2,48.9556,2.57528,3/31/2020,1,france
19.2,48.9556,2.57528,4/1/2020,1,france
16.1,48.9556,2.57528,4/2/2020,1,france
41.0,43.5988,7.09315,1/6/2020,1,france
13.6,43.5988,7.09315,3/20/2020,1,france
21.5,43.5988,7.09315,2/17/2020,1,france
17.1,43.5988,7.09315,3/2/2020,1,france
36.1,43.5988,7.09315,1/7/2020,1,france
49.7,43.5988,7.09315,1/10/2020,1,france
8.8,43.5988,7.09315,3/23/2020,1,france
26.0,43.5988,7.09315,1/1/2020,1,france
27.9,43.5988,7.09315,1/2/2020,1,france
29.1,43.5988,7.09315,1/3/2020,1,france
25.8,43.5988,7.09315,1/4/2020,1,france
21.9,43.5988,7.09315,1/5/2020,1,france
56.0,43.5988,7.09315,1/8/2020,2,france
47.6,43.5988,7.09315,1/9/2020,1,france
43.8,43.5988,7.09315,1/11/2020,1,france
34.3,43.5988,7.09315,1/12/2020,1,france
52.6,43.5988,7.09315,1/13/2020,2,france
49.1,43.5988,7.09315,1/14/2020,1,france
62.2,43.5988,7.09315,1/15/2020,2,france
55.7,43.5988,7.09315,1/16/2020,2,france
50.6,43.5988,7.09315,1/17/2020,2,france
39.3,43.5988,7.09315,1/18/2020,1,france
31.4,43.5988,7.09315,1/19/2020,1,france
9.9,43.5988,7.09315,1/20/2020,1,france
12.5,43.5988,7.09315,1/21/2020,1,france
25.6,43.5988,7.09315,1/22/2020,1,france
20.8,43.5988,7.09315,1/23/2020,1,france
38.6,43.5988,7.09315,1/24/2020,1,france
33.8,43.5988,7.09315,1/25/2020,1,france
28.5,43.5988,7.09315,1/26/2020,1,france
36.6,43.5988,7.09315,1/27/2020,1,france
14.8,43.5988,7.09315,1/28/2020,1,france
27.3,43.5988,7.09315,1/29/2020,1,france
51.0,43.5988,7.09315,1/30/2020,2,france
46.9,43.5988,7.09315,1/31/2020,1,france
32.4,43.5988,7.09315,2/1/2020,1,france
26.1,43.5988,7.09315,2/2/2020,1,france
42.2,43.5988,7.09315,2/3/2020,1,france
12.8,43.5988,7.09315,2/4/2020,1,france
50.4,43.5988,7.09315,2/5/2020,2,france
59.3,43.5988,7.09315,2/6/2020,2,france
57.1,43.5988,7.09315,2/7/2020,2,france
44.5,43.5988,7.09315,2/8/2020,1,france
29.2,43.5988,7.09315,2/9/2020,1,france
8.1,43.5988,7.09315,2/10/2020,1,france
10.3,43.5988,7.09315,2/11/2020,1,france
57.0,43.5988,7.09315,2/12/2020,2,france
32.3,43.5988,7.09315,2/13/2020,1,france
39.7,43.5988,7.09315,2/14/2020,1,france
43.8,43.5988,7.09315,2/15/2020,1,france
34.1,43.5988,7.09315,2/16/2020,1,france
30.4,43.5988,7.09315,2/18/2020,1,france
43.2,43.5988,7.09315,2/19/2020,1,france
43.0,43.5988,7.09315,2/20/2020,1,france
38.1,43.5988,7.09315,2/21/2020,1,france
35.8,43.5988,7.09315,2/22/2020,1,france
23.6,43.5988,7.09315,2/23/2020,1,france
34.9,43.5988,7.09315,2/24/2020,1,france
29.5,43.5988,7.09315,2/25/2020,1,france
9.5,43.5988,7.09315,2/26/2020,1,france
21.0,43.5988,7.09315,2/27/2020,1,france
32.6,43.5988,7.09315,2/28/2020,1,france
30.7,43.5988,7.09315,2/29/2020,1,france
10.6,43.5988,7.09315,3/1/2020,1,france
38.7,43.5988,7.09315,3/4/2020,1,france
35.9,43.5988,7.09315,3/5/2020,1,france
25.5,43.5988,7.09315,3/6/2020,1,france
28.2,43.5988,7.09315,3/7/2020,1,france
28.9,43.5988,7.09315,3/8/2020,1,france
32.2,43.5988,7.09315,3/9/2020,1,france
32.3,43.5988,7.09315,3/10/2020,1,france
18.2,43.5988,7.09315,3/11/2020,1,france
15.0,43.5988,7.09315,3/12/2020,1,france
10.4,43.5988,7.09315,3/13/2020,1,france
23.5,43.5988,7.09315,3/14/2020,1,france
23.1,43.5988,7.09315,3/15/2020,1,france
23.4,43.5988,7.09315,3/16/2020,1,france
34.5,43.5988,7.09315,3/17/2020,1,france
24.4,43.5988,7.09315,3/18/2020,1,france
25.5,43.5988,7.09315,3/19/2020,1,france
13.8,43.5988,7.09315,3/21/2020,1,france
10.2,43.5988,7.09315,3/22/2020,1,france
8.6,43.5988,7.09315,3/24/2020,1,france
14.9,43.5988,7.09315,3/25/2020,1,france
14.0,43.5988,7.09315,3/26/2020,1,france
16.1,43.5988,7.09315,3/27/2020,1,france
12.5,43.5988,7.09315,3/28/2020,1,france
7.9,43.5988,7.09315,3/29/2020,1,france
12.0,45.4818,4.42967,2/11/2020,1,france
13.0,45.4818,4.42967,3/18/2020,1,france
28.7,45.4818,4.42967,1/1/2020,1,france
37.4,45.4818,4.42967,1/2/2020,1,france
33.1,45.4818,4.42967,1/3/2020,1,france
9.9,45.4818,4.42967,1/4/2020,1,france
15.6,45.4818,4.42967,1/5/2020,1,france
39.3,45.4818,4.42967,1/6/2020,1,france
34.6,45.4818,4.42967,1/7/2020,1,france
28.6,45.4818,4.42967,1/8/2020,1,france
16.5,45.4818,4.42967,1/9/2020,1,france
6.8,45.4818,4.42967,1/10/2020,1,france
5.3,45.4818,4.42967,1/11/2020,1,france
23.4,45.4818,4.42967,1/12/2020,1,france
34.4,45.4818,4.42967,1/13/2020,1,france
19.1,45.4818,4.42967,1/14/2020,1,france
12.8,45.4818,4.42967,1/15/2020,1,france
22.7,45.4818,4.42967,1/16/2020,1,france
15.8,45.4818,4.42967,1/17/2020,1,france
24.3,45.4818,4.42967,1/18/2020,1,france
7.7,45.4818,4.42967,1/19/2020,1,france
25.7,45.4818,4.42967,1/20/2020,1,france
37.8,45.4818,4.42967,1/21/2020,1,france
46.3,45.4818,4.42967,1/22/2020,1,france
