AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
6.7,52.4204,12.5523,4/3/2020,1,germany
21.8,52.4204,12.5523,1/7/2020,1,germany
8.1,52.4204,12.5523,3/31/2020,1,germany
16.8,52.4204,12.5523,1/1/2020,1,germany
29.9,52.4204,12.5523,1/2/2020,1,germany
10.5,52.4204,12.5523,1/3/2020,1,germany
6.6,52.4204,12.5523,1/4/2020,1,germany
12.1,52.4204,12.5523,1/5/2020,1,germany
11.8,52.4204,12.5523,1/6/2020,1,germany
12.6,52.4204,12.5523,1/8/2020,1,germany
15.5,52.4204,12.5523,1/9/2020,1,germany
8.8,52.4204,12.5523,1/10/2020,1,germany
8.6,52.4204,12.5523,1/11/2020,1,germany
7.1,52.4204,12.5523,1/12/2020,1,germany
14.7,52.4204,12.5523,1/13/2020,1,germany
13.1,52.4204,12.5523,1/14/2020,1,germany
10.1,52.4204,12.5523,1/15/2020,1,germany
21.2,52.4204,12.5523,1/16/2020,1,germany
23.7,52.4204,12.5523,1/17/2020,1,germany
10.2,52.4204,12.5523,1/18/2020,1,germany
10.2,52.4204,12.5523,1/19/2020,1,germany
20.5,52.4204,12.5523,1/20/2020,1,germany
21.8,52.4204,12.5523,1/21/2020,1,germany
24.2,52.4204,12.5523,1/22/2020,1,germany
20.3,52.4204,12.5523,1/23/2020,1,germany
26.8,52.4204,12.5523,1/24/2020,1,germany
15.3,52.4204,12.5523,1/25/2020,1,germany
16.5,52.4204,12.5523,1/26/2020,1,germany
21.4,52.4204,12.5523,1/27/2020,1,germany
11.8,52.4204,12.5523,1/28/2020,1,germany
11.6,52.4204,12.5523,1/29/2020,1,germany
10.7,52.4204,12.5523,1/30/2020,1,germany
11.2,52.4204,12.5523,1/31/2020,1,germany
7.0,52.4204,12.5523,2/1/2020,1,germany
7.7,52.4204,12.5523,2/2/2020,1,germany
11.1,52.4204,12.5523,2/3/2020,1,germany
8.3,52.4204,12.5523,2/4/2020,1,germany
9.8,52.4204,12.5523,2/5/2020,1,germany
12.7,52.4204,12.5523,2/6/2020,1,germany
15.3,52.4204,12.5523,2/7/2020,1,germany
14.4,52.4204,12.5523,2/8/2020,1,germany
8.4,52.4204,12.5523,2/9/2020,1,germany
6.3,52.4204,12.5523,2/10/2020,1,germany
7.3,52.4204,12.5523,2/11/2020,1,germany
9.3,52.4204,12.5523,2/12/2020,1,germany
12.3,52.4204,12.5523,2/13/2020,1,germany
22.7,52.4204,12.5523,2/14/2020,1,germany
12.4,52.4204,12.5523,2/15/2020,1,germany
5.9,52.4204,12.5523,2/16/2020,1,germany
6.2,52.4204,12.5523,2/17/2020,1,germany
8.4,52.4204,12.5523,2/18/2020,1,germany
7.5,52.4204,12.5523,2/19/2020,1,germany
12.7,52.4204,12.5523,2/20/2020,1,germany
8.0,52.4204,12.5523,2/21/2020,1,germany
5.4,52.4204,12.5523,2/22/2020,1,germany
6.6,52.4204,12.5523,2/23/2020,1,germany
7.8,52.4204,12.5523,2/24/2020,1,germany
9.5,52.4204,12.5523,2/25/2020,1,germany
11.8,52.4204,12.5523,2/26/2020,1,germany
12.0,52.4204,12.5523,2/27/2020,1,germany
10.4,52.4204,12.5523,2/28/2020,1,germany
7.3,52.4204,12.5523,2/29/2020,1,germany
4.9,52.4204,12.5523,3/1/2020,1,germany
10.0,52.4204,12.5523,3/2/2020,1,germany
13.7,52.4204,12.5523,3/3/2020,1,germany
14.8,52.4204,12.5523,3/4/2020,1,germany
14.6,52.4204,12.5523,3/5/2020,1,germany
15.5,52.4204,12.5523,3/6/2020,1,germany
10.7,52.4204,12.5523,3/7/2020,1,germany
10.3,52.4204,12.5523,3/8/2020,1,germany
13.4,52.4204,12.5523,3/9/2020,1,germany
9.9,52.4204,12.5523,3/10/2020,1,germany
7.8,52.4204,12.5523,3/11/2020,1,germany
6.6,52.4204,12.5523,3/12/2020,1,germany
6.9,52.4204,12.5523,3/13/2020,1,germany
10.3,52.4204,12.5523,3/14/2020,1,germany
7.3,52.4204,12.5523,3/15/2020,1,germany
17.3,52.4204,12.5523,3/16/2020,1,germany
18.8,52.4204,12.5523,3/17/2020,1,germany
17.3,48.5077,9.05118,4/3/2020,1,germany
34.5,48.5077,9.05118,1/13/2020,1,germany
24.0,48.5077,9.05118,2/15/2020,1,germany
24.8,48.5077,9.05118,3/9/2020,1,germany
29.5,48.5077,9.05118,1/27/2020,1,germany
9.9,48.5077,9.05118,2/12/2020,1,germany
20.6,48.5077,9.05118,2/24/2020,1,germany
13.1,48.5077,9.05118,3/23/2020,1,germany
26.5,48.5077,9.05118,1/1/2020,1,germany
29.7,48.5077,9.05118,1/2/2020,1,germany
13.9,48.5077,9.05118,1/4/2020,1,germany
33.4,48.5077,9.05118,1/7/2020,1,germany
19.4,48.5077,9.05118,1/10/2020,1,germany
44.9,48.5077,9.05118,1/16/2020,1,germany
23.1,48.5077,9.05118,1/19/2020,1,germany
36.2,48.5077,9.05118,1/22/2020,1,germany
31.6,48.5077,9.05118,1/25/2020,1,germany
9.4,48.5077,9.05118,1/28/2020,1,germany
9.6,48.5077,9.05118,1/31/2020,1,germany
24.5,48.5077,9.05118,2/3/2020,1,germany
35.5,48.5077,9.05118,2/6/2020,1,germany
14.9,48.5077,9.05118,2/9/2020,1,germany
24.1,48.5077,9.05118,2/13/2020,1,germany
33.5,48.5077,9.05118,2/16/2020,1,germany
13.1,48.5077,9.05118,2/19/2020,1,germany
17.8,48.5077,9.05118,2/22/2020,1,germany
12.6,48.5077,9.05118,2/25/2020,1,germany
19.7,48.5077,9.05118,2/28/2020,1,germany
30.7,48.5077,9.05118,3/2/2020,1,germany
34.1,48.5077,9.05118,3/5/2020,1,germany
21.9,48.5077,9.05118,3/8/2020,1,germany
7.9,48.5077,9.05118,3/11/2020,1,germany
21.4,48.5077,9.05118,3/14/2020,1,germany
25.7,48.5077,9.05118,3/17/2020,1,germany
18.5,48.5077,9.05118,3/20/2020,1,germany
16.0,48.5077,9.05118,3/26/2020,1,germany
