AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
28.6,38.0696,23.7769,1/31/2020,1,greece
13.6,38.0696,23.7769,4/3/2020,1,greece
15.0,37.9951,23.8194,2/7/2020,1,greece
7.8,37.9951,23.8194,3/30/2020,1,greece
4.4,37.9951,23.8194,4/3/2020,1,greece
14.0,38.0696,23.7769,3/29/2020,1,greece
12.7,37.9951,23.8194,3/29/2020,1,greece
23.0,38.0696,23.7769,1/9/2020,1,greece
51.8,38.0696,23.7769,1/10/2020,2,greece
42.3,38.0696,23.7769,1/11/2020,1,greece
15.4,38.0696,23.7769,1/12/2020,1,greece
18.5,38.0696,23.7769,1/13/2020,1,greece
36.7,38.0696,23.7769,1/14/2020,1,greece
12.6,38.0696,23.7769,1/15/2020,1,greece
9.8,38.0696,23.7769,1/16/2020,1,greece
7.9,38.0696,23.7769,1/17/2020,1,greece
8.5,38.0696,23.7769,1/18/2020,1,greece
12.1,38.0696,23.7769,1/19/2020,1,greece
16.5,38.0696,23.7769,1/20/2020,1,greece
20.1,38.0696,23.7769,1/21/2020,1,greece
52.5,38.0696,23.7769,1/22/2020,2,greece
31.3,38.0696,23.7769,1/23/2020,1,greece
32.0,38.0696,23.7769,1/24/2020,1,greece
38.0,38.0696,23.7769,1/25/2020,1,greece
36.6,38.0696,23.7769,1/26/2020,1,greece
41.3,38.0696,23.7769,1/27/2020,1,greece
31.7,38.0696,23.7769,1/28/2020,1,greece
35.5,38.0696,23.7769,1/29/2020,1,greece
19.3,38.0696,23.7769,1/30/2020,1,greece
38.4,38.0696,23.7769,2/1/2020,1,greece
34.9,38.0696,23.7769,2/2/2020,1,greece
32.6,38.0696,23.7769,2/3/2020,1,greece
38.6,38.0696,23.7769,2/4/2020,1,greece
19.6,38.0696,23.7769,2/5/2020,1,greece
15.0,38.0696,23.7769,2/6/2020,1,greece
18.4,38.0696,23.7769,2/7/2020,1,greece
16.9,38.0696,23.7769,2/8/2020,1,greece
36.9,38.0696,23.7769,2/9/2020,1,greece
29.8,38.0696,23.7769,2/10/2020,1,greece
34.5,38.0696,23.7769,2/11/2020,1,greece
30.6,38.0696,23.7769,2/12/2020,1,greece
22.2,38.0696,23.7769,2/13/2020,1,greece
33.7,38.0696,23.7769,2/14/2020,1,greece
34.8,38.0696,23.7769,2/20/2020,1,greece
13.9,38.0696,23.7769,2/21/2020,1,greece
15.2,38.0696,23.7769,2/22/2020,1,greece
14.5,38.0696,23.7769,2/23/2020,1,greece
43.4,38.0696,23.7769,2/24/2020,1,greece
28.6,38.0696,23.7769,2/25/2020,1,greece
42.8,38.0696,23.7769,2/26/2020,1,greece
15.0,38.0696,23.7769,2/27/2020,1,greece
27.8,38.0696,23.7769,2/28/2020,1,greece
13.2,38.0696,23.7769,2/29/2020,1,greece
32.3,38.0696,23.7769,3/1/2020,1,greece
32.7,38.0696,23.7769,3/2/2020,1,greece
16.4,38.0696,23.7769,3/3/2020,1,greece
17.7,38.0696,23.7769,3/4/2020,1,greece
31.6,38.0696,23.7769,3/5/2020,1,greece
33.6,38.0696,23.7769,3/6/2020,1,greece
25.8,38.0696,23.7769,3/7/2020,1,greece
9.5,38.0696,23.7769,3/8/2020,1,greece
35.1,38.0696,23.7769,3/9/2020,1,greece
31.8,38.0696,23.7769,3/10/2020,1,greece
32.7,38.0696,23.7769,3/11/2020,1,greece
11.1,38.0696,23.7769,3/12/2020,1,greece
16.5,38.0696,23.7769,3/13/2020,1,greece
22.3,38.0696,23.7769,3/20/2020,1,greece
14.7,38.0696,23.7769,3/28/2020,1,greece
12.5,38.0696,23.7769,3/30/2020,1,greece
6.0,38.0696,23.7769,3/31/2020,1,greece
9.2,38.0696,23.7769,4/1/2020,1,greece
9.0,38.0696,23.7769,4/2/2020,1,greece
7.7,37.9951,23.8194,1/1/2020,1,greece
6.7,37.9951,23.8194,1/2/2020,1,greece
13.4,37.9951,23.8194,1/3/2020,1,greece
19.0,37.9951,23.8194,1/4/2020,1,greece
11.1,37.9951,23.8194,1/5/2020,1,greece
5.4,37.9951,23.8194,1/6/2020,1,greece
10.2,37.9951,23.8194,1/7/2020,1,greece
10.7,37.9951,23.8194,1/8/2020,1,greece
13.5,37.9951,23.8194,1/9/2020,1,greece
38.3,37.9951,23.8194,1/10/2020,1,greece
27.6,37.9951,23.8194,1/11/2020,1,greece
15.6,37.9951,23.8194,1/12/2020,1,greece
16.7,37.9951,23.8194,1/13/2020,1,greece
25.3,37.9951,23.8194,1/14/2020,1,greece
11.5,37.9951,23.8194,1/15/2020,1,greece
7.8,37.9951,23.8194,1/16/2020,1,greece
8.3,37.9951,23.8194,1/17/2020,1,greece
9.3,37.9951,23.8194,1/18/2020,1,greece
13.0,37.9951,23.8194,1/19/2020,1,greece
12.5,37.9951,23.8194,1/20/2020,1,greece
13.1,37.9951,23.8194,1/21/2020,1,greece
28.2,37.9951,23.8194,1/22/2020,1,greece
18.3,37.9951,23.8194,1/23/2020,1,greece
23.5,37.9951,23.8194,1/24/2020,1,greece
24.1,37.9951,23.8194,1/25/2020,1,greece
19.0,37.9951,23.8194,1/26/2020,1,greece
24.4,37.9951,23.8194,1/27/2020,1,greece
22.0,37.9951,23.8194,1/28/2020,1,greece
19.5,37.9951,23.8194,1/29/2020,1,greece
14.4,37.9951,23.8194,1/30/2020,1,greece
15.8,37.9951,23.8194,1/31/2020,1,greece
18.7,37.9951,23.8194,2/1/2020,1,greece
10.1,37.9951,23.8194,2/2/2020,1,greece
15.6,37.9951,23.8194,2/3/2020,1,greece
