AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
9.5,46.0803,18.2111,3/2/2020,1,hungary
16.5,46.0803,18.2111,4/3/2020,1,hungary
2.3,46.0803,18.2111,3/15/2020,1,hungary
21.6,46.0803,18.2111,3/9/2020,1,hungary
7.6,46.0803,18.2111,3/29/2020,1,hungary
9.7,46.0803,18.2111,1/1/2020,1,hungary
24.5,46.0803,18.2111,1/2/2020,1,hungary
23.8,46.0803,18.2111,1/3/2020,1,hungary
18.7,46.0803,18.2111,1/4/2020,1,hungary
3.6,46.0803,18.2111,1/5/2020,1,hungary
21.4,46.0803,18.2111,1/6/2020,1,hungary
26.3,46.0803,18.2111,1/7/2020,1,hungary
29.6,46.0803,18.2111,1/8/2020,1,hungary
20.7,46.0803,18.2111,1/9/2020,1,hungary
22.7,46.0803,18.2111,1/10/2020,1,hungary
13.7,46.0803,18.2111,1/11/2020,1,hungary
11.9,46.0803,18.2111,1/12/2020,1,hungary
21.7,46.0803,18.2111,1/13/2020,1,hungary
15.3,46.0803,18.2111,1/14/2020,1,hungary
21.4,46.0803,18.2111,1/15/2020,1,hungary
21.5,46.0803,18.2111,1/16/2020,1,hungary
12.5,46.0803,18.2111,1/17/2020,1,hungary
10.0,46.0803,18.2111,1/18/2020,1,hungary
8.4,46.0803,18.2111,1/19/2020,1,hungary
24.3,46.0803,18.2111,1/20/2020,1,hungary
23.2,46.0803,18.2111,1/21/2020,1,hungary
20.2,46.0803,18.2111,1/22/2020,1,hungary
22.3,46.0803,18.2111,1/23/2020,1,hungary
23.8,46.0803,18.2111,1/24/2020,1,hungary
26.9,46.0803,18.2111,1/25/2020,1,hungary
21.4,46.0803,18.2111,1/26/2020,1,hungary
16.8,46.0803,18.2111,1/27/2020,1,hungary
17.8,46.0803,18.2111,1/28/2020,1,hungary
19.7,46.0803,18.2111,1/29/2020,1,hungary
16.0,46.0803,18.2111,1/30/2020,1,hungary
7.1,46.0803,18.2111,1/31/2020,1,hungary
5.5,46.0803,18.2111,2/1/2020,1,hungary
6.4,46.0803,18.2111,2/2/2020,1,hungary
12.4,46.0803,18.2111,2/3/2020,1,hungary
9.8,46.0803,18.2111,2/4/2020,1,hungary
3.2,46.0803,18.2111,2/5/2020,1,hungary
4.2,46.0803,18.2111,2/6/2020,1,hungary
7.5,46.0803,18.2111,2/7/2020,1,hungary
6.2,46.0803,18.2111,2/8/2020,1,hungary
17.7,46.0803,18.2111,2/9/2020,1,hungary
6.3,46.0803,18.2111,2/10/2020,1,hungary
13.7,46.0803,18.2111,2/11/2020,1,hungary
15.1,46.0803,18.2111,2/12/2020,1,hungary
17.4,46.0803,18.2111,2/13/2020,1,hungary
17.6,46.0803,18.2111,2/14/2020,1,hungary
12.5,46.0803,18.2111,2/15/2020,1,hungary
7.4,46.0803,18.2111,2/18/2020,1,hungary
17.8,46.0803,18.2111,2/19/2020,1,hungary
10.0,46.0803,18.2111,2/20/2020,1,hungary
14.9,46.0803,18.2111,2/21/2020,1,hungary
