AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
8.9,64.105,-21.889,4/3/2020,1,iceland
6.9,64.105,-21.889,3/9/2020,1,iceland
5.1,64.105,-21.889,2/23/2020,1,iceland
18.0,64.105,-21.889,2/24/2020,1,iceland
3.3,64.105,-21.889,1/1/2020,1,iceland
9.9,64.105,-21.889,1/2/2020,1,iceland
25.8,64.105,-21.889,1/3/2020,1,iceland
2.9,64.105,-21.889,1/4/2020,1,iceland
8.4,64.105,-21.889,1/5/2020,1,iceland
7.6,64.105,-21.889,1/6/2020,1,iceland
4.3,64.105,-21.889,1/7/2020,1,iceland
4.0,64.105,-21.889,1/8/2020,1,iceland
5.1,64.105,-21.889,1/9/2020,1,iceland
5.8,64.105,-21.889,1/10/2020,1,iceland
11.4,64.105,-21.889,1/11/2020,1,iceland
3.5,64.105,-21.889,1/12/2020,1,iceland
10.2,64.105,-21.889,1/13/2020,1,iceland
2.1,64.105,-21.889,1/14/2020,1,iceland
42.6,64.105,-21.889,1/15/2020,1,iceland
16.5,64.105,-21.889,1/16/2020,1,iceland
41.1,64.105,-21.889,1/17/2020,1,iceland
25.1,64.105,-21.889,1/18/2020,1,iceland
1.8,64.105,-21.889,1/19/2020,1,iceland
3.4,64.105,-21.889,1/20/2020,1,iceland
15.6,64.105,-21.889,1/21/2020,1,iceland
3.7,64.105,-21.889,1/22/2020,1,iceland
1.6,64.105,-21.889,1/23/2020,1,iceland
15.1,64.105,-21.889,1/24/2020,1,iceland
7.8,64.105,-21.889,1/25/2020,1,iceland
4.3,64.105,-21.889,1/26/2020,1,iceland
9.0,64.105,-21.889,1/27/2020,1,iceland
25.1,64.105,-21.889,1/28/2020,1,iceland
33.4,64.105,-21.889,1/29/2020,1,iceland
51.7,64.105,-21.889,1/30/2020,2,iceland
46.5,64.105,-21.889,1/31/2020,1,iceland
36.4,64.105,-21.889,2/1/2020,1,iceland
15.0,64.105,-21.889,2/2/2020,1,iceland
29.6,64.105,-21.889,2/3/2020,1,iceland
10.5,64.105,-21.889,2/4/2020,1,iceland
3.4,64.105,-21.889,2/5/2020,1,iceland
4.9,64.105,-21.889,2/6/2020,1,iceland
3.2,64.105,-21.889,2/7/2020,1,iceland
8.0,64.105,-21.889,2/8/2020,1,iceland
27.9,64.105,-21.889,2/9/2020,1,iceland
3.1,64.105,-21.889,2/10/2020,1,iceland
20.0,64.105,-21.889,2/11/2020,1,iceland
28.1,64.105,-21.889,2/12/2020,1,iceland
7.3,64.105,-21.889,2/13/2020,1,iceland
2.7,64.105,-21.889,2/14/2020,1,iceland
3.2,64.105,-21.889,2/15/2020,1,iceland
3.7,64.105,-21.889,2/16/2020,1,iceland
11.9,64.105,-21.889,2/17/2020,1,iceland
26.1,64.105,-21.889,2/18/2020,1,iceland
6.4,64.105,-21.889,2/19/2020,1,iceland
13.1,64.105,-21.889,2/20/2020,1,iceland
23.7,64.105,-21.889,2/21/2020,1,iceland
24.6,64.105,-21.889,2/22/2020,1,iceland
28.8,64.105,-21.889,2/25/2020,1,iceland
10.1,64.105,-21.889,2/26/2020,1,iceland
7.5,64.105,-21.889,2/27/2020,1,iceland
20.3,64.105,-21.889,2/28/2020,1,iceland
32.9,64.105,-21.889,2/29/2020,1,iceland
4.2,64.105,-21.889,3/1/2020,1,iceland
5.2,64.105,-21.889,3/2/2020,1,iceland
15.2,64.105,-21.889,3/3/2020,1,iceland
18.7,64.105,-21.889,3/4/2020,1,iceland
25.6,64.105,-21.889,3/5/2020,1,iceland
14.8,64.105,-21.889,3/8/2020,1,iceland
8.3,64.105,-21.889,3/10/2020,1,iceland
6.2,64.105,-21.889,3/11/2020,1,iceland
19.0,64.105,-21.889,3/12/2020,1,iceland
12.0,64.105,-21.889,3/13/2020,1,iceland
19.2,64.105,-21.889,3/14/2020,1,iceland
7.9,64.105,-21.889,3/15/2020,1,iceland
13.9,64.105,-21.889,3/16/2020,1,iceland
9.2,64.105,-21.889,3/17/2020,1,iceland
4.7,64.105,-21.889,3/18/2020,1,iceland
15.1,64.105,-21.889,3/19/2020,1,iceland
4.3,64.105,-21.889,3/20/2020,1,iceland
5.8,64.105,-21.889,3/21/2020,1,iceland
