AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
6.7,53.2748,-6.22237,4/3/2020,1,ireland
5.7,53.3405,-6.35226,4/2/2020,1,ireland
7.7,53.3405,-6.35226,4/3/2020,1,ireland
10.5,53.2748,-6.22237,1/3/2020,1,ireland
16.1,53.2748,-6.22237,1/9/2020,1,ireland
12.8,53.2748,-6.22237,1/15/2020,1,ireland
17.0,53.2748,-6.22237,1/21/2020,1,ireland
8.3,53.2748,-6.22237,2/2/2020,1,ireland
38.7,53.2748,-6.22237,2/5/2020,1,ireland
8.2,53.2748,-6.22237,2/8/2020,1,ireland
18.5,53.2748,-6.22237,2/14/2020,1,ireland
7.0,53.2748,-6.22237,2/20/2020,1,ireland
11.3,53.2748,-6.22237,2/26/2020,1,ireland
14.7,53.2748,-6.22237,3/3/2020,1,ireland
12.4,53.2748,-6.22237,3/9/2020,1,ireland
4.9,53.2748,-6.22237,3/15/2020,1,ireland
9.0,53.2748,-6.22237,3/21/2020,1,ireland
9.4,53.2748,-6.22237,3/27/2020,1,ireland
4.4,53.2748,-6.22237,4/2/2020,1,ireland
40.6,53.3405,-6.35226,2/5/2020,1,ireland
24.5,53.3405,-6.35226,3/6/2020,1,ireland
27.3,53.3405,-6.35226,1/9/2020,1,ireland
4.6,53.3405,-6.35226,2/22/2020,1,ireland
4.1,53.3405,-6.35226,3/29/2020,1,ireland
29.9,53.2748,-6.22237,1/1/2020,1,ireland
14.6,53.2748,-6.22237,1/2/2020,1,ireland
11.8,53.2748,-6.22237,1/4/2020,1,ireland
8.6,53.2748,-6.22237,1/5/2020,1,ireland
10.9,53.2748,-6.22237,1/6/2020,1,ireland
8.1,53.2748,-6.22237,1/7/2020,1,ireland
23.8,53.2748,-6.22237,1/8/2020,1,ireland
17.9,53.2748,-6.22237,1/10/2020,1,ireland
7.3,53.2748,-6.22237,1/11/2020,1,ireland
15.6,53.2748,-6.22237,1/12/2020,1,ireland
10.7,53.2748,-6.22237,1/13/2020,1,ireland
18.8,53.2748,-6.22237,1/14/2020,1,ireland
13.6,53.2748,-6.22237,1/16/2020,1,ireland
13.9,53.2748,-6.22237,1/17/2020,1,ireland
21.0,53.2748,-6.22237,1/18/2020,1,ireland
27.8,53.2748,-6.22237,1/19/2020,1,ireland
27.0,53.2748,-6.22237,1/20/2020,1,ireland
23.4,53.2748,-6.22237,1/22/2020,1,ireland
22.5,53.2748,-6.22237,1/23/2020,1,ireland
17.7,53.2748,-6.22237,1/24/2020,1,ireland
17.9,53.2748,-6.22237,1/25/2020,1,ireland
13.6,53.2748,-6.22237,1/26/2020,1,ireland
10.7,53.2748,-6.22237,1/29/2020,1,ireland
9.5,53.2748,-6.22237,1/30/2020,1,ireland
9.9,53.2748,-6.22237,1/31/2020,1,ireland
12.1,53.2748,-6.22237,2/1/2020,1,ireland
6.8,53.2748,-6.22237,2/3/2020,1,ireland
11.6,53.2748,-6.22237,2/4/2020,1,ireland
34.2,53.2748,-6.22237,2/6/2020,1,ireland
17.4,53.2748,-6.22237,2/7/2020,1,ireland
3.0,53.2748,-6.22237,2/9/2020,1,ireland
7.5,53.2748,-6.22237,2/10/2020,1,ireland
6.9,53.2748,-6.22237,2/11/2020,1,ireland
14.6,53.2748,-6.22237,2/12/2020,1,ireland
22.0,53.2748,-6.22237,2/13/2020,1,ireland
9.6,53.2748,-6.22237,2/15/2020,1,ireland
4.8,53.2748,-6.22237,2/16/2020,1,ireland
6.4,53.2748,-6.22237,2/17/2020,1,ireland
8.9,53.2748,-6.22237,2/18/2020,1,ireland
16.5,53.2748,-6.22237,2/19/2020,1,ireland
7.2,53.2748,-6.22237,2/21/2020,1,ireland
4.4,53.2748,-6.22237,2/22/2020,1,ireland
14.0,53.2748,-6.22237,2/23/2020,1,ireland
6.7,53.2748,-6.22237,2/24/2020,1,ireland
7.7,53.2748,-6.22237,2/25/2020,1,ireland
19.6,53.2748,-6.22237,2/27/2020,1,ireland
15.0,53.2748,-6.22237,2/28/2020,1,ireland
4.4,53.2748,-6.22237,2/29/2020,1,ireland
5.5,53.2748,-6.22237,3/1/2020,1,ireland
9.1,53.2748,-6.22237,3/2/2020,1,ireland
35.0,53.2748,-6.22237,3/4/2020,1,ireland
29.7,53.2748,-6.22237,3/5/2020,1,ireland
20.4,53.2748,-6.22237,3/6/2020,1,ireland
6.8,53.2748,-6.22237,3/7/2020,1,ireland
4.1,53.2748,-6.22237,3/8/2020,1,ireland
6.0,53.2748,-6.22237,3/10/2020,1,ireland
8.0,53.2748,-6.22237,3/11/2020,1,ireland
5.9,53.2748,-6.22237,3/12/2020,1,ireland
11.1,53.2748,-6.22237,3/13/2020,1,ireland
10.0,53.2748,-6.22237,3/14/2020,1,ireland
11.6,53.2748,-6.22237,3/16/2020,1,ireland
6.1,53.2748,-6.22237,3/17/2020,1,ireland
12.3,53.2748,-6.22237,3/18/2020,1,ireland
12.6,53.2748,-6.22237,3/19/2020,1,ireland
8.7,53.2748,-6.22237,3/20/2020,1,ireland
18.6,53.2748,-6.22237,3/22/2020,1,ireland
25.7,53.2748,-6.22237,3/23/2020,1,ireland
13.7,53.2748,-6.22237,3/24/2020,1,ireland
26.0,53.2748,-6.22237,3/25/2020,1,ireland
11.9,53.2748,-6.22237,3/26/2020,1,ireland
3.2,53.2748,-6.22237,3/28/2020,1,ireland
2.8,53.2748,-6.22237,3/29/2020,1,ireland
5.7,53.2748,-6.22237,3/30/2020,1,ireland
6.3,53.2748,-6.22237,3/31/2020,1,ireland
5.1,53.2748,-6.22237,4/1/2020,1,ireland
28.1,53.3405,-6.35226,1/1/2020,1,ireland
7.4,53.3405,-6.35226,1/2/2020,1,ireland
12.9,53.3405,-6.35226,1/3/2020,1,ireland
8.4,53.3405,-6.35226,1/4/2020,1,ireland
4.1,53.3405,-6.35226,1/5/2020,1,ireland
10.2,53.3405,-6.35226,1/6/2020,1,ireland
6.2,53.3405,-6.35226,1/7/2020,1,ireland
27.9,53.3405,-6.35226,1/8/2020,1,ireland
18.7,53.3405,-6.35226,1/10/2020,1,ireland
6.6,53.3405,-6.35226,1/11/2020,1,ireland
12.6,53.3405,-6.35226,1/12/2020,1,ireland
8.7,53.3405,-6.35226,1/13/2020,1,ireland
17.9,53.3405,-6.35226,1/14/2020,1,ireland
11.2,53.3405,-6.35226,1/15/2020,1,ireland
13.4,53.3405,-6.35226,1/16/2020,1,ireland
17.5,53.3405,-6.35226,1/17/2020,1,ireland
38.7,53.3405,-6.35226,1/18/2020,1,ireland
31.5,53.3405,-6.35226,1/19/2020,1,ireland
21.8,53.3405,-6.35226,1/20/2020,1,ireland
24.2,53.3405,-6.35226,1/21/2020,1,ireland
35.0,53.3405,-6.35226,1/22/2020,1,ireland
28.9,53.3405,-6.35226,1/23/2020,1,ireland
19.4,53.3405,-6.35226,1/24/2020,1,ireland
10.5,53.3405,-6.35226,1/25/2020,1,ireland
10.4,53.3405,-6.35226,1/26/2020,1,ireland
14.2,53.3405,-6.35226,1/27/2020,1,ireland
9.1,53.3405,-6.35226,1/28/2020,1,ireland
9.0,53.3405,-6.35226,1/29/2020,1,ireland
9.4,53.3405,-6.35226,1/30/2020,1,ireland
8.9,53.3405,-6.35226,1/31/2020,1,ireland
10.8,53.3405,-6.35226,2/1/2020,1,ireland
7.9,53.3405,-6.35226,2/2/2020,1,ireland
9.2,53.3405,-6.35226,2/3/2020,1,ireland
23.0,53.3405,-6.35226,2/4/2020,1,ireland
38.6,53.3405,-6.35226,2/6/2020,1,ireland
12.3,53.3405,-6.35226,2/7/2020,1,ireland
4.9,53.3405,-6.35226,2/8/2020,1,ireland
3.5,53.3405,-6.35226,2/9/2020,1,ireland
7.4,53.3405,-6.35226,2/10/2020,1,ireland
9.2,53.3405,-6.35226,2/11/2020,1,ireland
13.3,53.3405,-6.35226,2/12/2020,1,ireland
24.9,53.3405,-6.35226,2/13/2020,1,ireland
18.2,53.3405,-6.35226,2/14/2020,1,ireland
6.3,53.3405,-6.35226,2/15/2020,1,ireland
3.5,53.3405,-6.35226,2/16/2020,1,ireland
6.5,53.3405,-6.35226,2/17/2020,1,ireland
8.6,53.3405,-6.35226,2/18/2020,1,ireland
10.6,53.3405,-6.35226,2/19/2020,1,ireland
7.1,53.3405,-6.35226,2/20/2020,1,ireland
5.6,53.3405,-6.35226,2/21/2020,1,ireland
12.7,53.3405,-6.35226,2/23/2020,1,ireland
6.5,53.3405,-6.35226,2/24/2020,1,ireland
8.1,53.3405,-6.35226,2/25/2020,1,ireland
9.9,53.3405,-6.35226,2/26/2020,1,ireland
17.0,53.3405,-6.35226,2/27/2020,1,ireland
12.2,53.3405,-6.35226,2/28/2020,1,ireland
3.8,53.3405,-6.35226,2/29/2020,1,ireland
4.6,53.3405,-6.35226,3/1/2020,1,ireland
8.7,53.3405,-6.35226,3/2/2020,1,ireland
18.5,53.3405,-6.35226,3/3/2020,1,ireland
47.8,53.3405,-6.35226,3/4/2020,1,ireland
43.1,53.3405,-6.35226,3/5/2020,1,ireland
5.4,53.3405,-6.35226,3/7/2020,1,ireland
3.7,53.3405,-6.35226,3/8/2020,1,ireland
10.4,53.3405,-6.35226,3/9/2020,1,ireland
6.7,53.3405,-6.35226,3/10/2020,1,ireland
7.8,53.3405,-6.35226,3/11/2020,1,ireland
5.4,53.3405,-6.35226,3/12/2020,1,ireland
8.5,53.3405,-6.35226,3/13/2020,1,ireland
6.5,53.3405,-6.35226,3/14/2020,1,ireland
5.9,53.3405,-6.35226,3/15/2020,1,ireland
11.5,53.3405,-6.35226,3/16/2020,1,ireland
3.5,53.3405,-6.35226,3/17/2020,1,ireland
