AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
9.4,37.094,15.2087,1/19/2020,1,italy
8.3,37.094,15.2087,1/20/2020,1,italy
15.0,37.094,15.2087,1/22/2020,1,italy
12.5,37.094,15.2087,2/14/2020,1,italy
4.7,37.094,15.2087,3/29/2020,1,italy
5.2,37.094,15.2087,4/1/2020,1,italy
20.2,37.094,15.2087,1/3/2020,1,italy
6.4,37.094,15.2087,1/5/2020,1,italy
16.4,37.094,15.2087,1/12/2020,1,italy
7.4,37.094,15.2087,1/13/2020,1,italy
16.4,37.094,15.2087,1/14/2020,1,italy
19.2,37.094,15.2087,1/15/2020,1,italy
19.7,37.094,15.2087,1/16/2020,1,italy
16.2,37.094,15.2087,1/17/2020,1,italy
12.6,37.094,15.2087,1/18/2020,1,italy
18.1,37.094,15.2087,1/23/2020,1,italy
20.3,37.094,15.2087,1/24/2020,1,italy
13.3,37.094,15.2087,1/25/2020,1,italy
8.9,37.094,15.2087,1/26/2020,1,italy
17.0,37.094,15.2087,1/27/2020,1,italy
14.9,37.094,15.2087,1/28/2020,1,italy
7.7,37.094,15.2087,1/29/2020,1,italy
7.8,37.094,15.2087,2/15/2020,1,italy
10.9,37.094,15.2087,2/16/2020,1,italy
14.9,37.094,15.2087,2/17/2020,1,italy
14.2,37.094,15.2087,2/18/2020,1,italy
2.9,37.094,15.2087,3/24/2020,1,italy
15.4,37.094,15.2087,2/19/2020,1,italy
9.9,37.094,15.2087,2/20/2020,1,italy
9.9,37.094,15.2087,2/22/2020,1,italy
10.9,37.094,15.2087,2/23/2020,1,italy
16.2,37.094,15.2087,2/24/2020,1,italy
21.4,37.094,15.2087,2/25/2020,1,italy
10.7,37.094,15.2087,2/26/2020,1,italy
7.3,37.094,15.2087,2/27/2020,1,italy
6.1,37.094,15.2087,2/28/2020,1,italy
9.1,37.094,15.2087,2/29/2020,1,italy
8.1,37.094,15.2087,3/1/2020,1,italy
16.5,37.094,15.2087,3/2/2020,1,italy
7.8,37.094,15.2087,3/3/2020,1,italy
9.6,37.094,15.2087,3/4/2020,1,italy
9.7,37.094,15.2087,3/5/2020,1,italy
10.3,37.094,15.2087,3/6/2020,1,italy
7.8,37.094,15.2087,3/7/2020,1,italy
3.5,37.094,15.2087,3/8/2020,1,italy
1.7,37.094,15.2087,3/16/2020,1,italy
3.2,37.094,15.2087,3/17/2020,1,italy
9.9,37.094,15.2087,3/18/2020,1,italy
10.1,37.094,15.2087,3/19/2020,1,italy
7.2,37.094,15.2087,3/20/2020,1,italy
5.4,37.094,15.2087,3/21/2020,1,italy
3.1,37.094,15.2087,3/22/2020,1,italy
4.6,37.094,15.2087,3/23/2020,1,italy
1.7,37.094,15.2087,3/25/2020,1,italy
3.3,37.094,15.2087,3/26/2020,1,italy
7.8,37.094,15.2087,3/27/2020,1,italy
5.5,37.094,15.2087,3/28/2020,1,italy
7.6,37.094,15.2087,3/30/2020,1,italy
6.9,37.094,15.2087,3/31/2020,1,italy
3.8,37.094,15.2087,4/2/2020,1,italy
51.0,45.5829,8.83449,1/14/2020,2,italy
49.7,45.5829,8.83449,1/25/2020,1,italy
25.7,45.5829,8.83449,4/3/2020,1,italy
42.3,45.5829,8.83449,1/12/2020,1,italy
56.4,45.5829,8.83449,1/13/2020,2,italy
56.7,45.5829,8.83449,1/16/2020,2,italy
41.4,45.5829,8.83449,1/18/2020,1,italy
65.1,45.5829,8.83449,1/23/2020,2,italy
40.8,45.5829,8.83449,1/26/2020,1,italy
34.5,45.5829,8.83449,1/28/2020,1,italy
60.6,45.5829,8.83449,1/3/2020,2,italy
43.3,45.5829,8.83449,1/5/2020,1,italy
53.7,45.5829,8.83449,1/17/2020,2,italy
34.5,45.5829,8.83449,1/19/2020,1,italy
46.6,45.5829,8.83449,1/22/2020,1,italy
22.4,41.9314,12.6592,4/3/2020,1,italy
49.4,41.9314,12.6592,2/17/2020,1,italy
14.3,41.9314,12.6592,2/26/2020,1,italy
15.4,41.9314,12.6592,3/6/2020,1,italy
25.4,41.9314,12.6592,2/27/2020,1,italy
10.0,41.9314,12.6592,3/29/2020,1,italy
26.9,41.9314,12.6592,3/26/2020,1,italy
34.0,41.9314,12.6592,2/13/2020,1,italy
21.5,41.9314,12.6592,2/14/2020,1,italy
36.6,41.9314,12.6592,2/15/2020,1,italy
35.1,41.9314,12.6592,2/16/2020,1,italy
39.7,41.9314,12.6592,2/18/2020,1,italy
33.9,41.9314,12.6592,2/19/2020,1,italy
35.9,41.9314,12.6592,2/20/2020,1,italy
34.2,41.9314,12.6592,2/22/2020,1,italy
33.3,41.9314,12.6592,2/23/2020,1,italy
22.9,41.9314,12.6592,2/24/2020,1,italy
30.9,41.9314,12.6592,2/25/2020,1,italy
16.4,41.9314,12.6592,2/29/2020,1,italy
8.6,41.9314,12.6592,3/1/2020,1,italy
9.1,41.9314,12.6592,3/2/2020,1,italy
12.0,41.9314,12.6592,3/3/2020,1,italy
25.1,41.9314,12.6592,3/4/2020,1,italy
20.8,41.9314,12.6592,3/5/2020,1,italy
15.9,41.9314,12.6592,3/7/2020,1,italy
16.0,41.9314,12.6592,3/8/2020,1,italy
22.5,41.9314,12.6592,3/16/2020,1,italy
27.9,41.9314,12.6592,3/17/2020,1,italy
25.7,41.9314,12.6592,3/18/2020,1,italy
26.0,41.9314,12.6592,3/19/2020,1,italy
27.7,41.9314,12.6592,3/20/2020,1,italy
21.6,41.9314,12.6592,3/21/2020,1,italy
16.7,41.9314,12.6592,3/22/2020,1,italy
7.5,41.9314,12.6592,3/23/2020,1,italy
7.3,41.9314,12.6592,3/24/2020,1,italy
12.0,41.9314,12.6592,3/25/2020,1,italy
24.7,41.9314,12.6592,3/27/2020,1,italy
18.0,41.9314,12.6592,3/28/2020,1,italy
14.8,41.9314,12.6592,3/30/2020,1,italy
12.5,41.9314,12.6592,3/31/2020,1,italy
8.7,41.9314,12.6592,4/1/2020,1,italy
18.5,41.9314,12.6592,4/2/2020,1,italy
22.4,41.9314,12.6592,2/28/2020,1,italy
51.5,40.9142,14.7856,1/22/2020,2,italy
33.6,40.9142,14.7856,2/20/2020,1,italy
10.7,40.9142,14.7856,3/29/2020,1,italy
4.9,40.9142,14.7856,4/1/2020,1,italy
12.7,40.9142,14.7856,1/5/2020,1,italy
33.9,40.9142,14.7856,1/27/2020,1,italy
17.4,40.9142,14.7856,2/24/2020,1,italy
15.8,40.9142,14.7856,3/17/2020,1,italy
6.5,40.9142,14.7856,3/24/2020,1,italy
11.3,40.9142,14.7856,4/2/2020,1,italy
64.6,40.9142,14.7856,1/3/2020,2,italy
6.7,40.9142,14.7856,1/6/2020,1,italy
16.2,40.9142,14.7856,1/12/2020,1,italy
45.7,40.9142,14.7856,1/13/2020,1,italy
60.6,40.9142,14.7856,1/14/2020,2,italy
65.0,40.9142,14.7856,1/15/2020,2,italy
42.9,40.9142,14.7856,1/16/2020,1,italy
57.3,40.9142,14.7856,1/17/2020,2,italy
42.9,40.9142,14.7856,1/18/2020,1,italy
17.6,40.9142,14.7856,1/19/2020,1,italy
14.8,40.9142,14.7856,1/20/2020,1,italy
38.4,40.9142,14.7856,1/23/2020,1,italy
40.9,40.9142,14.7856,1/24/2020,1,italy
27.6,40.9142,14.7856,1/25/2020,1,italy
39.8,40.9142,14.7856,1/26/2020,1,italy
11.8,40.9142,14.7856,1/28/2020,1,italy
15.9,40.9142,14.7856,1/29/2020,1,italy
16.6,40.9142,14.7856,2/15/2020,1,italy
41.4,40.9142,14.7856,2/16/2020,1,italy
39.2,40.9142,14.7856,2/17/2020,1,italy
38.0,40.9142,14.7856,2/18/2020,1,italy
29.8,40.9142,14.7856,2/19/2020,1,italy
19.7,40.9142,14.7856,2/22/2020,1,italy
38.8,45.6022,9.27611,1/18/2020,1,italy
96.6,45.6022,9.27611,1/22/2020,2,italy
75.7,45.6022,9.27611,1/27/2020,2,italy
14.6,45.6022,9.27611,4/3/2020,1,italy
43.0,45.6022,9.27611,1/12/2020,1,italy
89.2,45.6022,9.27611,1/14/2020,2,italy
80.3,45.6022,9.27611,1/15/2020,2,italy
102.7,45.6022,9.27611,1/17/2020,3,italy
28.6,45.6022,9.27611,1/19/2020,1,italy
58.6,45.6022,9.27611,1/26/2020,2,italy
26.0,45.6022,9.27611,1/29/2020,1,italy
84.8,45.6022,9.27611,1/3/2020,2,italy
37.1,45.6022,9.27611,1/5/2020,1,italy
27.8,45.6022,9.27611,1/6/2020,1,italy
57.5,45.6022,9.27611,1/13/2020,2,italy
81.3,45.6022,9.27611,1/16/2020,2,italy
59.1,45.6022,9.27611,1/23/2020,2,italy
76.1,45.6022,9.27611,1/24/2020,2,italy
62.8,45.6022,9.27611,1/25/2020,2,italy
38.4,45.6022,9.27611,1/28/2020,1,italy
13.5,45.6022,9.27611,3/29/2020,1,italy
31.3,45.6022,9.27611,2/13/2020,1,italy
36.1,45.6022,9.27611,2/14/2020,1,italy
34.9,45.6022,9.27611,2/15/2020,1,italy
32.4,45.6022,9.27611,2/16/2020,1,italy
34.0,45.6022,9.27611,2/17/2020,1,italy
34.9,45.6022,9.27611,2/18/2020,1,italy
29.0,45.6022,9.27611,2/19/2020,1,italy
31.0,45.6022,9.27611,2/20/2020,1,italy
44.4,45.6022,9.27611,2/21/2020,1,italy
32.9,45.6022,9.27611,2/22/2020,1,italy
31.0,45.6022,9.27611,2/23/2020,1,italy
23.8,45.6022,9.27611,2/24/2020,1,italy
23.5,45.6022,9.27611,2/25/2020,1,italy
21.6,45.6022,9.27611,2/26/2020,1,italy
21.7,45.6022,9.27611,2/27/2020,1,italy
15.6,45.6022,9.27611,2/28/2020,1,italy
21.9,45.6022,9.27611,2/29/2020,1,italy
15.4,45.6022,9.27611,3/1/2020,1,italy
19.4,45.6022,9.27611,3/2/2020,1,italy
23.4,45.6022,9.27611,3/3/2020,1,italy
27.5,45.6022,9.27611,3/4/2020,1,italy
18.1,45.6022,9.27611,3/5/2020,1,italy
22.8,45.6022,9.27611,3/6/2020,1,italy
24.0,45.6022,9.27611,3/7/2020,1,italy
18.1,45.6022,9.27611,3/8/2020,1,italy
16.3,45.6022,9.27611,3/16/2020,1,italy
20.1,45.6022,9.27611,3/17/2020,1,italy
17.8,45.6022,9.27611,3/18/2020,1,italy
20.0,45.6022,9.27611,3/19/2020,1,italy
19.5,45.6022,9.27611,3/20/2020,1,italy
12.6,45.6022,9.27611,3/21/2020,1,italy
9.5,45.6022,9.27611,3/22/2020,1,italy
7.7,45.6022,9.27611,3/23/2020,1,italy
11.8,45.6022,9.27611,3/24/2020,1,italy
9.1,45.6022,9.27611,3/25/2020,1,italy
12.8,45.6022,9.27611,3/26/2020,1,italy
13.5,45.6022,9.27611,3/27/2020,1,italy
13.2,45.6022,9.27611,3/28/2020,1,italy
9.7,45.6022,9.27611,3/30/2020,1,italy
