AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
7.4,56.9506,24.1159,4/2/2020,1,latvia
15.6,56.9506,24.1159,3/13/2020,1,latvia
22.2,56.9506,24.1159,1/23/2020,1,latvia
16.0,56.9506,24.1159,2/18/2020,1,latvia
18.3,56.9506,24.1159,3/30/2020,1,latvia
21.7,56.9506,24.1159,2/11/2020,1,latvia
20.6,56.9506,24.1159,2/19/2020,1,latvia
21.4,56.9506,24.1159,2/21/2020,1,latvia
14.7,56.9506,24.1159,3/12/2020,1,latvia
10.2,56.9506,24.1159,3/22/2020,1,latvia
7.7,56.9506,24.1159,4/3/2020,1,latvia
17.0,56.9506,24.1159,1/5/2020,1,latvia
12.2,56.9506,24.1159,2/3/2020,1,latvia
4.2,56.9506,24.1159,3/14/2020,1,latvia
9.2,56.9506,24.1159,3/18/2020,1,latvia
11.6,56.9506,24.1159,3/31/2020,1,latvia
29.4,56.9506,24.1159,1/6/2020,1,latvia
8.5,56.9506,24.1159,2/22/2020,1,latvia
16.3,56.9506,24.1159,2/24/2020,1,latvia
26.2,56.9506,24.1159,2/28/2020,1,latvia
28.2,56.9506,24.1159,3/2/2020,1,latvia
46.3,56.9506,24.1159,3/6/2020,1,latvia
13.5,56.9506,24.1159,1/1/2020,1,latvia
25.8,56.9506,24.1159,1/2/2020,1,latvia
15.9,56.9506,24.1159,1/3/2020,1,latvia
15.5,56.9506,24.1159,1/4/2020,1,latvia
21.6,56.9506,24.1159,1/7/2020,1,latvia
16.1,56.9506,24.1159,1/8/2020,1,latvia
29.6,56.9506,24.1159,1/9/2020,1,latvia
34.4,56.9506,24.1159,1/10/2020,1,latvia
16.2,56.9506,24.1159,1/11/2020,1,latvia
7.8,56.9506,24.1159,1/12/2020,1,latvia
33.5,56.9506,24.1159,1/13/2020,1,latvia
18.4,56.9506,24.1159,1/14/2020,1,latvia
17.9,56.9506,24.1159,1/15/2020,1,latvia
18.4,56.9506,24.1159,1/16/2020,1,latvia
22.9,56.9506,24.1159,1/17/2020,1,latvia
14.6,56.9506,24.1159,1/18/2020,1,latvia
19.9,56.9506,24.1159,1/19/2020,1,latvia
21.2,56.9506,24.1159,1/20/2020,1,latvia
13.1,56.9506,24.1159,1/21/2020,1,latvia
10.7,56.9506,24.1159,1/22/2020,1,latvia
18.6,56.9506,24.1159,1/24/2020,1,latvia
19.1,56.9506,24.1159,1/25/2020,1,latvia
16.5,56.9506,24.1159,1/26/2020,1,latvia
27.7,56.9506,24.1159,1/29/2020,1,latvia
30.2,56.9506,24.1159,1/30/2020,1,latvia
30.5,56.9506,24.1159,1/31/2020,1,latvia
16.4,56.9506,24.1159,2/1/2020,1,latvia
9.3,56.9506,24.1159,2/2/2020,1,latvia
38.8,56.9506,24.1159,2/4/2020,1,latvia
35.8,56.9506,24.1159,2/5/2020,1,latvia
16.9,56.9506,24.1159,2/6/2020,1,latvia
28.9,56.9506,24.1159,2/7/2020,1,latvia
21.4,56.9506,24.1159,2/8/2020,1,latvia
10.9,56.9506,24.1159,2/9/2020,1,latvia
9.6,56.9506,24.1159,2/10/2020,1,latvia
21.3,56.9506,24.1159,2/12/2020,1,latvia
23.5,56.9506,24.1159,2/13/2020,1,latvia
47.9,56.9506,24.1159,2/14/2020,1,latvia
28.9,56.9506,24.1159,2/15/2020,1,latvia
5.8,56.9506,24.1159,2/16/2020,1,latvia
7.4,56.9506,24.1159,2/17/2020,1,latvia
23.8,56.9506,24.1159,2/20/2020,1,latvia
7.0,56.9506,24.1159,2/23/2020,1,latvia
32.8,56.9506,24.1159,2/25/2020,1,latvia
18.2,56.9506,24.1159,2/26/2020,1,latvia
37.1,56.9506,24.1159,2/27/2020,1,latvia
23.3,56.9506,24.1159,2/29/2020,1,latvia
12.2,56.9506,24.1159,3/1/2020,1,latvia
29.3,56.9506,24.1159,3/3/2020,1,latvia
24.9,56.9506,24.1159,3/4/2020,1,latvia
32.9,56.9506,24.1159,3/5/2020,1,latvia
26.9,56.9506,24.1159,3/7/2020,1,latvia
28.0,56.9506,24.1159,3/8/2020,1,latvia
22.0,56.9506,24.1159,3/9/2020,1,latvia
22.8,56.9506,24.1159,3/10/2020,1,latvia
10.6,56.9506,24.1159,3/11/2020,1,latvia
6.5,56.9506,24.1159,3/15/2020,1,latvia
14.9,56.9506,24.1159,3/16/2020,1,latvia
15.1,56.9506,24.1159,3/17/2020,1,latvia
8.2,56.9506,24.1159,3/19/2020,1,latvia
16.4,56.9506,24.1159,3/20/2020,1,latvia
42.4,56.9506,24.1159,3/23/2020,1,latvia
22.3,56.9506,24.1159,3/24/2020,1,latvia
14.0,56.9506,24.1159,3/25/2020,1,latvia
27.1,56.9506,24.1159,3/26/2020,1,latvia
64.9,56.9506,24.1159,3/27/2020,2,latvia
35.3,56.9506,24.1159,3/28/2020,1,latvia
11.0,56.5232,21.0047,3/13/2020,1,latvia
