AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
11.1,55.725,24.3656,1/24/2020,1,lithuania
30.2,55.725,24.3656,1/29/2020,1,lithuania
10.1,55.725,24.3656,3/29/2020,1,lithuania
8.6,55.725,24.3656,4/1/2020,1,lithuania
23.7,55.725,24.3656,3/9/2020,1,lithuania
9.0,55.725,24.3656,1/1/2020,1,lithuania
12.9,55.725,24.3656,1/2/2020,1,lithuania
14.2,55.725,24.3656,1/3/2020,1,lithuania
12.3,55.725,24.3656,1/4/2020,1,lithuania
26.1,55.725,24.3656,1/5/2020,1,lithuania
16.2,55.725,24.3656,1/6/2020,1,lithuania
17.9,55.725,24.3656,1/7/2020,1,lithuania
16.5,55.725,24.3656,1/8/2020,1,lithuania
29.5,55.725,24.3656,1/9/2020,1,lithuania
24.0,55.725,24.3656,1/10/2020,1,lithuania
19.3,55.725,24.3656,1/11/2020,1,lithuania
6.5,55.725,24.3656,1/12/2020,1,lithuania
18.5,55.725,24.3656,1/13/2020,1,lithuania
19.3,55.725,24.3656,1/14/2020,1,lithuania
23.2,55.725,24.3656,1/15/2020,1,lithuania
16.4,55.725,24.3656,1/16/2020,1,lithuania
20.9,55.725,24.3656,1/17/2020,1,lithuania
20.0,55.725,24.3656,1/18/2020,1,lithuania
15.0,55.725,24.3656,1/19/2020,1,lithuania
17.4,55.725,24.3656,1/20/2020,1,lithuania
10.3,55.725,24.3656,1/21/2020,1,lithuania
15.7,55.725,24.3656,1/22/2020,1,lithuania
20.2,55.725,24.3656,1/23/2020,1,lithuania
26.5,55.725,24.3656,1/30/2020,1,lithuania
29.5,55.725,24.3656,1/31/2020,1,lithuania
16.0,55.725,24.3656,2/1/2020,1,lithuania
5.7,55.725,24.3656,2/2/2020,1,lithuania
22.0,55.725,24.3656,2/3/2020,1,lithuania
45.6,55.725,24.3656,2/4/2020,1,lithuania
26.1,55.725,24.3656,2/5/2020,1,lithuania
17.9,55.725,24.3656,2/6/2020,1,lithuania
29.9,55.725,24.3656,2/7/2020,1,lithuania
19.5,55.725,24.3656,2/8/2020,1,lithuania
21.9,55.725,24.3656,2/9/2020,1,lithuania
15.6,55.725,24.3656,2/10/2020,1,lithuania
12.8,55.725,24.3656,2/11/2020,1,lithuania
10.7,55.725,24.3656,2/12/2020,1,lithuania
12.2,55.725,24.3656,2/13/2020,1,lithuania
47.3,55.725,24.3656,2/14/2020,1,lithuania
30.8,55.725,24.3656,2/15/2020,1,lithuania
17.3,55.725,24.3656,2/16/2020,1,lithuania
10.5,55.725,24.3656,2/17/2020,1,lithuania
11.8,55.725,24.3656,2/18/2020,1,lithuania
12.1,55.725,24.3656,2/19/2020,1,lithuania
24.0,55.725,24.3656,2/20/2020,1,lithuania
18.8,55.725,24.3656,2/21/2020,1,lithuania
9.6,55.725,24.3656,2/22/2020,1,lithuania
5.6,55.725,24.3656,2/23/2020,1,lithuania
19.9,55.725,24.3656,2/24/2020,1,lithuania
28.3,55.725,24.3656,2/25/2020,1,lithuania
27.1,55.725,24.3656,2/26/2020,1,lithuania
15.3,55.725,24.3656,2/27/2020,1,lithuania
33.7,55.725,24.3656,2/28/2020,1,lithuania
17.0,55.725,24.3656,2/29/2020,1,lithuania
11.1,55.725,24.3656,3/1/2020,1,lithuania
23.4,55.725,24.3656,3/2/2020,1,lithuania
19.9,55.725,24.3656,3/3/2020,1,lithuania
20.9,55.725,24.3656,3/4/2020,1,lithuania
27.0,55.725,24.3656,3/5/2020,1,lithuania
26.6,55.725,24.3656,3/6/2020,1,lithuania
18.9,55.725,24.3656,3/7/2020,1,lithuania
20.5,55.725,24.3656,3/8/2020,1,lithuania
24.2,55.725,24.3656,3/10/2020,1,lithuania
7.9,55.725,24.3656,3/11/2020,1,lithuania
9.4,55.725,24.3656,3/12/2020,1,lithuania
11.2,55.725,24.3656,3/13/2020,1,lithuania
14.8,55.725,24.3656,3/16/2020,1,lithuania
10.0,55.725,24.3656,3/17/2020,1,lithuania
8.6,55.725,24.3656,3/18/2020,1,lithuania
10.0,55.725,24.3656,3/19/2020,1,lithuania
38.3,55.725,24.3656,3/23/2020,1,lithuania
28.3,55.725,24.3656,3/24/2020,1,lithuania
