AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
40.5,49.5977,6.13759,2/4/2020,1,luxembourg
42.9,49.5977,6.13759,1/3/2020,1,luxembourg
37.1,49.5977,6.13759,1/8/2020,1,luxembourg
40.6,49.5977,6.13759,3/18/2020,1,luxembourg
18.4,49.5977,6.13759,3/26/2020,1,luxembourg
36.8,49.5977,6.13759,1/2/2020,1,luxembourg
47.5,49.5977,6.13759,1/4/2020,1,luxembourg
42.9,49.5977,6.13759,1/6/2020,1,luxembourg
47.6,49.5977,6.13759,1/9/2020,1,luxembourg
25.1,49.5977,6.13759,1/12/2020,1,luxembourg
35.3,49.5977,6.13759,1/14/2020,1,luxembourg
46.9,49.5977,6.13759,1/16/2020,1,luxembourg
41.5,49.5977,6.13759,1/18/2020,1,luxembourg
43.6,49.5977,6.13759,1/20/2020,1,luxembourg
56.0,49.5977,6.13759,1/22/2020,2,luxembourg
43.7,49.5977,6.13759,1/24/2020,1,luxembourg
43.6,49.5977,6.13759,1/26/2020,1,luxembourg
23.0,49.5977,6.13759,1/28/2020,1,luxembourg
33.6,49.5977,6.13759,1/29/2020,1,luxembourg
44.9,49.5977,6.13759,1/30/2020,1,luxembourg
15.9,49.5977,6.13759,2/1/2020,1,luxembourg
41.2,49.5977,6.13759,2/3/2020,1,luxembourg
52.2,49.5977,6.13759,2/5/2020,2,luxembourg
49.1,49.5977,6.13759,2/6/2020,1,luxembourg
46.0,49.5977,6.13759,2/7/2020,1,luxembourg
26.9,49.5977,6.13759,2/9/2020,1,luxembourg
21.2,49.5977,6.13759,2/10/2020,1,luxembourg
39.3,49.5977,6.13759,2/13/2020,1,luxembourg
35.0,49.5977,6.13759,2/15/2020,1,luxembourg
28.3,49.5977,6.13759,2/17/2020,1,luxembourg
32.9,49.5977,6.13759,2/19/2020,1,luxembourg
35.1,49.5977,6.13759,2/21/2020,1,luxembourg
13.4,49.5977,6.13759,2/23/2020,1,luxembourg
29.4,49.5977,6.13759,2/25/2020,1,luxembourg
38.5,49.5977,6.13759,2/27/2020,1,luxembourg
25.9,49.5977,6.13759,2/29/2020,1,luxembourg
35.6,49.5977,6.13759,3/2/2020,1,luxembourg
42.5,49.5977,6.13759,3/4/2020,1,luxembourg
34.1,49.5977,6.13759,3/6/2020,1,luxembourg
15.1,49.5977,6.13759,3/8/2020,1,luxembourg
19.0,49.5977,6.13759,3/10/2020,1,luxembourg
22.8,49.5977,6.13759,3/12/2020,1,luxembourg
32.1,49.5977,6.13759,3/14/2020,1,luxembourg
29.7,49.5977,6.13759,3/16/2020,1,luxembourg
24.1,49.5977,6.13759,3/20/2020,1,luxembourg
7.4,49.5977,6.13759,3/22/2020,1,luxembourg
11.1,49.5977,6.13759,3/23/2020,1,luxembourg
