AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
12.9,52.0397,4.36056,3/8/2020,1,netherlands
20.3,52.0397,4.36056,1/11/2020,1,netherlands
15.6,52.0397,4.36056,2/25/2020,1,netherlands
10.8,52.0397,4.36056,2/29/2020,1,netherlands
11.4,52.0397,4.36056,4/3/2020,1,netherlands
22.7,52.0397,4.36056,1/15/2020,1,netherlands
17.0,52.0397,4.36056,1/29/2020,1,netherlands
14.3,52.0397,4.36056,2/4/2020,1,netherlands
53.5,52.0397,4.36056,1/21/2020,2,netherlands
22.2,52.0397,4.36056,1/31/2020,1,netherlands
17.6,52.0397,4.36056,2/1/2020,1,netherlands
21.4,52.0397,4.36056,2/2/2020,1,netherlands
35.7,52.0397,4.36056,2/5/2020,1,netherlands
52.8,52.0397,4.36056,2/6/2020,2,netherlands
47.5,52.0397,4.36056,2/7/2020,1,netherlands
33.7,52.0397,4.36056,2/8/2020,1,netherlands
26.1,52.0397,4.36056,2/13/2020,1,netherlands
22.7,52.0397,4.36056,3/13/2020,1,netherlands
32.2,52.0397,4.36056,1/1/2020,1,netherlands
25.7,52.0397,4.36056,1/2/2020,1,netherlands
15.1,52.0397,4.36056,1/3/2020,1,netherlands
11.6,52.0397,4.36056,1/4/2020,1,netherlands
34.4,52.0397,4.36056,1/5/2020,1,netherlands
30.1,52.0397,4.36056,1/6/2020,1,netherlands
37.0,52.0397,4.36056,1/7/2020,1,netherlands
41.8,52.0397,4.36056,1/8/2020,1,netherlands
26.1,52.0397,4.36056,1/9/2020,1,netherlands
37.6,52.0397,4.36056,1/10/2020,1,netherlands
15.9,52.0397,4.36056,1/12/2020,1,netherlands
24.5,52.0397,4.36056,1/13/2020,1,netherlands
16.7,52.0397,4.36056,1/14/2020,1,netherlands
34.0,52.0397,4.36056,1/16/2020,1,netherlands
20.3,52.0397,4.36056,1/17/2020,1,netherlands
15.7,52.0397,4.36056,1/18/2020,1,netherlands
14.3,52.0397,4.36056,1/19/2020,1,netherlands
64.2,52.0397,4.36056,1/20/2020,2,netherlands
52.8,52.0397,4.36056,1/22/2020,2,netherlands
45.2,52.0397,4.36056,1/23/2020,1,netherlands
47.0,52.0397,4.36056,1/24/2020,1,netherlands
38.2,52.0397,4.36056,1/25/2020,1,netherlands
27.9,52.0397,4.36056,1/26/2020,1,netherlands
22.3,52.0397,4.36056,1/27/2020,1,netherlands
15.4,52.0397,4.36056,1/28/2020,1,netherlands
23.4,52.0397,4.36056,1/30/2020,1,netherlands
24.1,52.0397,4.36056,2/3/2020,1,netherlands
17.0,52.0397,4.36056,2/12/2020,1,netherlands
19.8,52.0397,4.36056,2/14/2020,1,netherlands
18.2,52.0397,4.36056,2/15/2020,1,netherlands
8.6,52.0397,4.36056,2/16/2020,1,netherlands
13.9,52.0397,4.36056,2/17/2020,1,netherlands
14.4,52.0397,4.36056,2/18/2020,1,netherlands
14.8,52.0397,4.36056,2/19/2020,1,netherlands
13.5,52.0397,4.36056,2/20/2020,1,netherlands
15.1,52.0397,4.36056,2/21/2020,1,netherlands
15.1,52.0397,4.36056,2/22/2020,1,netherlands
11.9,52.0397,4.36056,2/23/2020,1,netherlands
20.3,52.0397,4.36056,2/24/2020,1,netherlands
16.3,52.0397,4.36056,2/26/2020,1,netherlands
23.1,52.0397,4.36056,2/27/2020,1,netherlands
25.1,52.0397,4.36056,2/28/2020,1,netherlands
9.5,52.0397,4.36056,3/1/2020,1,netherlands
25.5,52.0397,4.36056,3/2/2020,1,netherlands
31.1,52.0397,4.36056,3/3/2020,1,netherlands
29.9,52.0397,4.36056,3/4/2020,1,netherlands
19.2,52.0397,4.36056,3/5/2020,1,netherlands
15.9,52.0397,4.36056,3/6/2020,1,netherlands
20.5,52.0397,4.36056,3/7/2020,1,netherlands
19.3,52.0397,4.36056,3/9/2020,1,netherlands
18.9,52.0397,4.36056,3/10/2020,1,netherlands
21.0,52.0397,4.36056,3/11/2020,1,netherlands
11.2,52.0397,4.36056,3/12/2020,1,netherlands
30.5,52.0397,4.36056,3/14/2020,1,netherlands
15.4,52.0397,4.36056,3/15/2020,1,netherlands
32.8,52.0397,4.36056,3/16/2020,1,netherlands
28.9,52.0397,4.36056,3/17/2020,1,netherlands
30.0,52.0397,4.36056,3/18/2020,1,netherlands
18.0,52.0397,4.36056,3/19/2020,1,netherlands
11.0,52.0397,4.36056,3/20/2020,1,netherlands
5.4,52.0397,4.36056,3/21/2020,1,netherlands
31.6,51.8389,5.85806,1/1/2020,1,netherlands
21.1,51.8389,5.85806,1/2/2020,1,netherlands
12.6,51.8389,5.85806,1/3/2020,1,netherlands
18.3,51.8389,5.85806,1/4/2020,1,netherlands
18.0,51.8389,5.85806,1/5/2020,1,netherlands
20.6,51.8389,5.85806,1/6/2020,1,netherlands
18.5,51.8389,5.85806,1/7/2020,1,netherlands
21.4,51.8389,5.85806,1/8/2020,1,netherlands
13.1,51.8389,5.85806,1/9/2020,1,netherlands
25.5,51.8389,5.85806,1/10/2020,1,netherlands
18.2,51.8389,5.85806,1/11/2020,1,netherlands
9.2,51.8389,5.85806,1/12/2020,1,netherlands
14.5,51.8389,5.85806,1/13/2020,1,netherlands
8.1,51.8389,5.85806,1/14/2020,1,netherlands
21.3,51.8389,5.85806,1/16/2020,1,netherlands
18.0,51.8389,5.85806,1/18/2020,1,netherlands
30.9,51.8389,5.85806,1/19/2020,1,netherlands
46.0,51.8389,5.85806,1/20/2020,1,netherlands
45.0,51.8389,5.85806,1/22/2020,1,netherlands
34.2,51.8389,5.85806,1/24/2020,1,netherlands
21.2,51.8389,5.85806,1/25/2020,1,netherlands
21.9,51.8389,5.85806,1/26/2020,1,netherlands
14.1,51.8389,5.85806,1/27/2020,1,netherlands
11.5,51.8389,5.85806,1/28/2020,1,netherlands
18.1,51.8389,5.85806,1/29/2020,1,netherlands
13.4,51.8389,5.85806,1/30/2020,1,netherlands
12.4,51.8389,5.85806,1/31/2020,1,netherlands
8.9,51.8389,5.85806,2/1/2020,1,netherlands
10.8,51.8389,5.85806,2/2/2020,1,netherlands
13.5,51.8389,5.85806,2/3/2020,1,netherlands
26.6,51.8389,5.85806,2/4/2020,1,netherlands
34.6,51.8389,5.85806,2/5/2020,1,netherlands
38.3,51.8389,5.85806,2/6/2020,1,netherlands
32.6,51.8389,5.85806,2/7/2020,1,netherlands
20.9,51.8389,5.85806,2/8/2020,1,netherlands
4.5,51.8389,5.85806,2/9/2020,1,netherlands
6.6,51.8389,5.85806,2/10/2020,1,netherlands
9.5,51.8389,5.85806,2/11/2020,1,netherlands
19.3,51.8389,5.85806,2/13/2020,1,netherlands
23.6,51.8389,5.85806,2/14/2020,1,netherlands
8.0,51.8389,5.85806,2/15/2020,1,netherlands
3.9,51.8389,5.85806,2/16/2020,1,netherlands
11.4,51.8389,5.85806,2/18/2020,1,netherlands
7.9,51.8389,5.85806,2/22/2020,1,netherlands
6.3,51.8389,5.85806,2/23/2020,1,netherlands
22.5,51.8389,5.85806,2/27/2020,1,netherlands
16.3,51.8389,5.85806,2/28/2020,1,netherlands
6.0,51.8389,5.85806,2/29/2020,1,netherlands
11.0,51.8389,5.85806,3/1/2020,1,netherlands
20.2,51.8389,5.85806,3/2/2020,1,netherlands
23.4,51.8389,5.85806,3/3/2020,1,netherlands
22.8,51.8389,5.85806,3/4/2020,1,netherlands
22.9,51.8389,5.85806,3/5/2020,1,netherlands
18.2,51.8389,5.85806,3/6/2020,1,netherlands
15.5,51.8389,5.85806,3/7/2020,1,netherlands
6.8,51.8389,5.85806,3/8/2020,1,netherlands
14.3,51.8389,5.85806,3/9/2020,1,netherlands
11.0,51.8389,5.85806,3/10/2020,1,netherlands
