AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
4.2,60.4627,5.33245,4/3/2020,1,norway
0.9,60.4627,5.33245,1/2/2020,1,norway
2.3,60.4627,5.33245,1/8/2020,1,norway
3.9,60.4627,5.33245,1/14/2020,1,norway
5.0,60.4627,5.33245,1/15/2020,1,norway
15.7,60.4627,5.33245,1/22/2020,1,norway
10.9,60.4627,5.33245,1/29/2020,1,norway
9.2,60.4627,5.33245,2/5/2020,1,norway
13.0,60.4627,5.33245,2/12/2020,1,norway
4.9,60.4627,5.33245,2/18/2020,1,norway
5.7,60.4627,5.33245,2/19/2020,1,norway
1.6,60.4627,5.33245,2/26/2020,1,norway
5.8,60.4627,5.33245,3/4/2020,1,norway
3.0,60.4627,5.33245,3/11/2020,1,norway
2.7,60.4627,5.33245,3/19/2020,1,norway
4.1,60.4627,5.33245,3/25/2020,1,norway
4.5,60.4627,5.33245,4/1/2020,1,norway
0.8,60.4627,5.33245,1/1/2020,1,norway
2.0,60.4627,5.33245,1/3/2020,1,norway
5.5,60.4627,5.33245,1/4/2020,1,norway
0.5,60.4627,5.33245,1/5/2020,1,norway
0.5,60.4627,5.33245,1/6/2020,1,norway
1.4,60.4627,5.33245,1/7/2020,1,norway
6.7,60.4627,5.33245,1/9/2020,1,norway
13.4,60.4627,5.33245,1/10/2020,1,norway
2.7,60.4627,5.33245,1/11/2020,1,norway
3.4,60.4627,5.33245,1/12/2020,1,norway
3.0,60.4627,5.33245,1/13/2020,1,norway
4.2,60.4627,5.33245,1/16/2020,1,norway
4.7,60.4627,5.33245,1/17/2020,1,norway
7.3,60.4627,5.33245,1/18/2020,1,norway
7.2,60.4627,5.33245,1/19/2020,1,norway
3.5,60.4627,5.33245,1/20/2020,1,norway
8.8,60.4627,5.33245,1/21/2020,1,norway
4.0,60.4627,5.33245,1/23/2020,1,norway
7.7,60.4627,5.33245,1/24/2020,1,norway
2.7,60.4627,5.33245,1/25/2020,1,norway
1.2,60.4627,5.33245,1/26/2020,1,norway
3.1,60.4627,5.33245,1/27/2020,1,norway
7.1,60.4627,5.33245,1/28/2020,1,norway
4.3,60.4627,5.33245,1/30/2020,1,norway
3.9,60.4627,5.33245,1/31/2020,1,norway
5.5,60.4627,5.33245,2/1/2020,1,norway
8.9,60.4627,5.33245,2/2/2020,1,norway
6.6,60.4627,5.33245,2/3/2020,1,norway
13.2,60.4627,5.33245,2/4/2020,1,norway
10.4,60.4627,5.33245,2/6/2020,1,norway
11.6,60.4627,5.33245,2/7/2020,1,norway
3.4,60.4627,5.33245,2/8/2020,1,norway
3.0,60.4627,5.33245,2/9/2020,1,norway
10.8,60.4627,5.33245,2/10/2020,1,norway
8.2,60.4627,5.33245,2/11/2020,1,norway
24.5,60.4627,5.33245,2/13/2020,1,norway
5.5,60.4627,5.33245,2/14/2020,1,norway
3.1,60.4627,5.33245,2/15/2020,1,norway
2.3,60.4627,5.33245,2/16/2020,1,norway
3.2,60.4627,5.33245,2/17/2020,1,norway
5.0,60.4627,5.33245,2/20/2020,1,norway
2.7,60.4627,5.33245,2/21/2020,1,norway
2.1,60.4627,5.33245,2/22/2020,1,norway
4.8,60.4627,5.33245,2/23/2020,1,norway
8.6,60.4627,5.33245,2/24/2020,1,norway
3.3,60.4627,5.33245,2/25/2020,1,norway
0.6,60.4627,5.33245,2/27/2020,1,norway
9.7,60.4627,5.33245,2/28/2020,1,norway
1.9,60.4627,5.33245,2/29/2020,1,norway
1.8,60.4627,5.33245,3/1/2020,1,norway
1.0,60.4627,5.33245,3/2/2020,1,norway
4.2,60.4627,5.33245,3/3/2020,1,norway
7.3,60.4627,5.33245,3/5/2020,1,norway
6.8,60.4627,5.33245,3/6/2020,1,norway
1.1,60.4627,5.33245,3/7/2020,1,norway
2.4,60.4627,5.33245,3/8/2020,1,norway
3.6,60.4627,5.33245,3/9/2020,1,norway
1.1,60.4627,5.33245,3/10/2020,1,norway
8.0,60.4627,5.33245,3/12/2020,1,norway
3.1,60.4627,5.33245,3/13/2020,1,norway
0.7,60.4627,5.33245,3/14/2020,1,norway
2.4,60.4627,5.33245,3/15/2020,1,norway
5.5,60.4627,5.33245,3/16/2020,1,norway
2.0,60.4627,5.33245,3/17/2020,1,norway
2.7,60.4627,5.33245,3/18/2020,1,norway
3.2,60.4627,5.33245,3/20/2020,1,norway
1.0,60.4627,5.33245,3/21/2020,1,norway
2.6,60.4627,5.33245,3/24/2020,1,norway
6.5,60.4627,5.33245,3/26/2020,1,norway
5.7,60.4627,5.33245,3/27/2020,1,norway
1.4,60.4627,5.33245,3/29/2020,1,norway
2.3,60.4627,5.33245,3/30/2020,1,norway
4.8,60.4627,5.33245,3/31/2020,1,norway
2.6,60.4627,5.33245,4/2/2020,1,norway
15.7,59.9325,10.6698,4/3/2020,1,norway
22.0,59.9256,10.8504,4/3/2020,1,norway
5.3,59.941,10.798,4/3/2020,1,norway
22.8,59.9256,10.8504,1/8/2020,1,norway
65.1,59.9256,10.8504,1/10/2020,2,norway
34.7,59.9256,10.8504,1/17/2020,1,norway
33.5,59.9325,10.6698,1/7/2020,1,norway
30.3,59.9325,10.6698,1/14/2020,1,norway
45.3,59.9325,10.6698,1/16/2020,1,norway
54.5,59.9325,10.6698,1/23/2020,2,norway
26.4,59.9325,10.6698,1/30/2020,1,norway
59.1,59.9325,10.6698,2/6/2020,2,norway
46.6,59.9325,10.6698,2/13/2020,1,norway
36.4,59.9325,10.6698,2/18/2020,1,norway
31.9,59.9325,10.6698,2/20/2020,1,norway
39.5,59.9325,10.6698,2/27/2020,1,norway
38.4,59.9325,10.6698,3/5/2020,1,norway
30.0,59.9325,10.6698,3/12/2020,1,norway
24.7,59.9325,10.6698,3/19/2020,1,norway
29.6,59.9325,10.6698,3/26/2020,1,norway
19.1,59.9325,10.6698,4/2/2020,1,norway
21.6,59.9256,10.8504,1/3/2020,1,norway
84.1,59.9256,10.8504,1/23/2020,2,norway
30.1,59.9256,10.8504,1/30/2020,1,norway
53.1,59.9256,10.8504,2/4/2020,2,norway
41.9,59.9256,10.8504,2/12/2020,1,norway
38.2,59.9256,10.8504,2/20/2020,1,norway
58.7,59.9256,10.8504,2/28/2020,2,norway
43.3,59.9256,10.8504,3/4/2020,1,norway
38.7,59.9256,10.8504,3/10/2020,1,norway
17.4,59.9256,10.8504,3/18/2020,1,norway
14.6,59.9256,10.8504,3/24/2020,1,norway
22.3,59.941,10.798,1/7/2020,1,norway
18.4,59.941,10.798,1/14/2020,1,norway
26.5,59.941,10.798,1/16/2020,1,norway
52.8,59.941,10.798,1/23/2020,2,norway
18.1,59.941,10.798,1/30/2020,1,norway
54.2,59.941,10.798,2/6/2020,2,norway
40.2,59.941,10.798,2/13/2020,1,norway
23.5,59.941,10.798,2/20/2020,1,norway
30.1,59.941,10.798,2/27/2020,1,norway
36.2,59.941,10.798,3/5/2020,1,norway
24.2,59.941,10.798,3/12/2020,1,norway
21.9,59.941,10.798,3/19/2020,1,norway
21.8,59.941,10.798,3/26/2020,1,norway
13.6,59.941,10.798,4/2/2020,1,norway
28.9,59.9325,10.6698,1/1/2020,1,norway
30.7,59.9325,10.6698,1/2/2020,1,norway
22.6,59.9325,10.6698,1/3/2020,1,norway
27.5,59.9325,10.6698,1/4/2020,1,norway
27.4,59.9325,10.6698,1/5/2020,1,norway
35.3,59.9325,10.6698,1/6/2020,1,norway
44.6,59.9325,10.6698,1/8/2020,1,norway
42.0,59.9325,10.6698,1/9/2020,1,norway
45.8,59.9325,10.6698,1/10/2020,1,norway
27.0,59.9325,10.6698,1/11/2020,1,norway
36.4,59.9325,10.6698,1/12/2020,1,norway
51.2,59.9325,10.6698,1/13/2020,2,norway
43.8,59.9325,10.6698,1/15/2020,1,norway
37.0,59.9325,10.6698,1/17/2020,1,norway
35.5,59.9325,10.6698,1/18/2020,1,norway
30.7,59.9325,10.6698,1/19/2020,1,norway
52.2,59.9325,10.6698,1/20/2020,2,norway
51.7,59.9325,10.6698,1/21/2020,2,norway
50.7,59.9325,10.6698,1/22/2020,2,norway
48.5,59.9325,10.6698,1/24/2020,1,norway
48.7,59.9325,10.6698,1/25/2020,1,norway
30.5,59.9325,10.6698,1/26/2020,1,norway
35.3,59.9325,10.6698,1/27/2020,1,norway
20.9,59.9325,10.6698,1/28/2020,1,norway
27.6,59.9325,10.6698,1/29/2020,1,norway
42.6,59.9325,10.6698,1/31/2020,1,norway
36.5,59.9325,10.6698,2/1/2020,1,norway
29.2,59.9325,10.6698,2/2/2020,1,norway
49.3,59.9325,10.6698,2/3/2020,1,norway
36.0,59.9325,10.6698,2/4/2020,1,norway
58.3,59.9325,10.6698,2/5/2020,2,norway
40.9,59.9325,10.6698,2/7/2020,1,norway
33.2,59.9325,10.6698,2/8/2020,1,norway
12.5,59.9325,10.6698,2/9/2020,1,norway
37.9,59.9325,10.6698,2/10/2020,1,norway
47.4,59.9325,10.6698,2/11/2020,1,norway
33.2,59.9325,10.6698,2/12/2020,1,norway
43.4,59.9325,10.6698,2/14/2020,1,norway
26.2,59.9325,10.6698,2/15/2020,1,norway
17.6,59.9325,10.6698,2/16/2020,1,norway
23.5,59.9325,10.6698,2/17/2020,1,norway
46.3,59.9325,10.6698,2/19/2020,1,norway
28.9,59.9325,10.6698,2/21/2020,1,norway
14.2,59.9325,10.6698,2/22/2020,1,norway
17.2,59.9325,10.6698,2/23/2020,1,norway
42.2,59.9325,10.6698,2/24/2020,1,norway
11.1,59.9325,10.6698,2/25/2020,1,norway
20.0,59.9325,10.6698,2/26/2020,1,norway
41.1,59.9325,10.6698,2/28/2020,1,norway
18.1,59.9325,10.6698,2/29/2020,1,norway
28.1,59.9325,10.6698,3/1/2020,1,norway
39.1,59.9325,10.6698,3/2/2020,1,norway
21.6,59.9325,10.6698,3/3/2020,1,norway
29.7,59.9325,10.6698,3/4/2020,1,norway
31.1,59.9325,10.6698,3/6/2020,1,norway
20.6,59.9325,10.6698,3/7/2020,1,norway
15.0,59.9325,10.6698,3/8/2020,1,norway
32.7,59.9325,10.6698,3/9/2020,1,norway
37.6,59.9325,10.6698,3/10/2020,1,norway
32.6,59.9325,10.6698,3/11/2020,1,norway
14.8,59.9325,10.6698,3/13/2020,1,norway
14.6,59.9325,10.6698,3/14/2020,1,norway
12.2,59.9325,10.6698,3/15/2020,1,norway
21.3,59.9325,10.6698,3/16/2020,1,norway
17.9,59.9325,10.6698,3/17/2020,1,norway
18.4,59.9325,10.6698,3/18/2020,1,norway
15.7,59.9325,10.6698,3/20/2020,1,norway
20.2,59.9325,10.6698,3/21/2020,1,norway
