AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
16.4,38.5292,-8.89417,3/10/2020,1,portugal
13.3,38.6975,-9.32333,4/3/2020,1,portugal
17.8,38.8961,-9.04028,2/1/2020,1,portugal
0.6,32.6497,-16.9183,4/3/2020,1,portugal
16.0,38.8297,-9.16444,4/3/2020,1,portugal
24.2,38.705,-9.21028,4/3/2020,1,portugal
16.3,38.785,-9.34722,4/3/2020,1,portugal
17.7,38.8961,-9.04028,4/3/2020,1,portugal
31.1,38.8297,-9.16444,1/26/2020,1,portugal
17.7,38.8297,-9.16444,1/25/2020,1,portugal
10.0,38.8297,-9.16444,3/9/2020,1,portugal
11.7,38.65,-9.04861,3/31/2020,1,portugal
11.5,38.7014,-9.42944,1/29/2020,1,portugal
26.1,38.785,-9.34722,1/24/2020,1,portugal
13.5,38.65,-9.04861,3/30/2020,1,portugal
8.7,38.7014,-9.42944,1/15/2020,1,portugal
31.2,38.6975,-9.32333,2/13/2020,1,portugal
6.9,38.5292,-8.89417,3/6/2020,1,portugal
36.0,38.785,-9.34722,1/13/2020,1,portugal
6.6,37.015,-7.92667,2/6/2020,1,portugal
11.6,32.6497,-16.9183,1/6/2020,1,portugal
13.3,32.6497,-16.9183,2/5/2020,1,portugal
6.1,32.6497,-16.9183,3/6/2020,1,portugal
27.9,38.8297,-9.16444,1/1/2020,1,portugal
36.5,38.8297,-9.16444,1/2/2020,1,portugal
39.4,38.8297,-9.16444,1/3/2020,1,portugal
28.1,38.8297,-9.16444,1/4/2020,1,portugal
19.6,38.8297,-9.16444,1/5/2020,1,portugal
36.1,38.8297,-9.16444,1/6/2020,1,portugal
33.7,38.8297,-9.16444,1/7/2020,1,portugal
13.5,38.8297,-9.16444,1/8/2020,1,portugal
19.9,38.8297,-9.16444,1/9/2020,1,portugal
25.1,38.8297,-9.16444,1/10/2020,1,portugal
25.9,38.8297,-9.16444,1/11/2020,1,portugal
29.0,38.8297,-9.16444,1/12/2020,1,portugal
51.7,38.8297,-9.16444,1/13/2020,2,portugal
31.2,38.8297,-9.16444,1/14/2020,1,portugal
14.9,38.8297,-9.16444,1/15/2020,1,portugal
27.7,38.8297,-9.16444,1/16/2020,1,portugal
45.9,38.8297,-9.16444,1/17/2020,1,portugal
8.5,38.8297,-9.16444,1/18/2020,1,portugal
4.9,38.8297,-9.16444,1/19/2020,1,portugal
9.0,38.8297,-9.16444,1/20/2020,1,portugal
20.2,38.8297,-9.16444,1/21/2020,1,portugal
19.9,38.8297,-9.16444,1/22/2020,1,portugal
