AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
16.4,45.6967,27.2116,3/18/2020,1,romania
13.3,45.6967,27.2116,1/7/2020,1,romania
16.3,45.6967,27.2116,1/30/2020,1,romania
11.2,45.6967,27.2116,2/10/2020,1,romania
12.9,45.6967,27.2116,2/19/2020,1,romania
5.0,45.6967,27.2116,4/3/2020,1,romania
5.6,45.6967,27.2116,1/1/2020,1,romania
21.4,45.6967,27.2116,1/2/2020,1,romania
30.6,45.6967,27.2116,1/3/2020,1,romania
34.5,45.6967,27.2116,1/4/2020,1,romania
9.9,45.6967,27.2116,1/5/2020,1,romania
6.1,45.6967,27.2116,1/6/2020,1,romania
23.3,45.6967,27.2116,1/8/2020,1,romania
19.8,45.6967,27.2116,1/9/2020,1,romania
20.8,45.6967,27.2116,1/10/2020,1,romania
16.6,45.6967,27.2116,1/11/2020,1,romania
9.0,45.6967,27.2116,1/12/2020,1,romania
16.4,45.6967,27.2116,1/13/2020,1,romania
22.1,45.6967,27.2116,1/14/2020,1,romania
12.3,45.6967,27.2116,1/15/2020,1,romania
10.0,45.6967,27.2116,1/16/2020,1,romania
12.8,45.6967,27.2116,1/17/2020,1,romania
9.8,45.6967,27.2116,1/19/2020,1,romania
8.6,45.6967,27.2116,1/20/2020,1,romania
18.6,45.6967,27.2116,1/21/2020,1,romania
14.7,45.6967,27.2116,1/22/2020,1,romania
17.7,45.6967,27.2116,1/23/2020,1,romania
19.1,45.6967,27.2116,1/24/2020,1,romania
20.9,45.6967,27.2116,1/25/2020,1,romania
18.3,45.6967,27.2116,1/26/2020,1,romania
29.7,45.6967,27.2116,1/27/2020,1,romania
23.1,45.6967,27.2116,1/28/2020,1,romania
21.2,45.6967,27.2116,1/29/2020,1,romania
15.8,45.6967,27.2116,1/31/2020,1,romania
17.7,45.6967,27.2116,2/1/2020,1,romania
16.1,45.6967,27.2116,2/2/2020,1,romania
13.3,45.6967,27.2116,2/3/2020,1,romania
14.1,45.6967,27.2116,2/4/2020,1,romania
8.7,45.6967,27.2116,2/5/2020,1,romania
10.1,45.6967,27.2116,2/6/2020,1,romania
6.9,45.6967,27.2116,2/7/2020,1,romania
9.7,45.6967,27.2116,2/8/2020,1,romania
7.7,45.6967,27.2116,2/9/2020,1,romania
