AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
8.4,48.1667,17.1167,2/21/2020,1,slovakia
10.0,48.1667,17.1167,3/2/2020,1,slovakia
10.3,48.1667,17.1167,4/3/2020,1,slovakia
25.7,48.1667,17.1167,1/23/2020,1,slovakia
22.4,48.1667,17.1167,1/27/2020,1,slovakia
6.7,48.1667,17.1167,2/3/2020,1,slovakia
4.2,48.1667,17.1167,2/5/2020,1,slovakia
10.0,48.1667,17.1167,3/1/2020,1,slovakia
9.8,48.1667,17.1167,3/3/2020,1,slovakia
14.2,48.1667,17.1167,2/20/2020,1,slovakia
6.2,48.1667,17.1167,2/28/2020,1,slovakia
13.9,48.1667,17.1167,2/29/2020,1,slovakia
14.8,48.1667,17.1167,3/18/2020,1,slovakia
9.6,48.1667,17.1167,1/1/2020,1,slovakia
22.4,48.1667,17.1167,1/2/2020,1,slovakia
21.5,48.1667,17.1167,1/3/2020,1,slovakia
15.2,48.1667,17.1167,1/4/2020,1,slovakia
4.7,48.1667,17.1167,1/5/2020,1,slovakia
15.9,48.1667,17.1167,1/6/2020,1,slovakia
19.4,48.1667,17.1167,1/7/2020,1,slovakia
25.7,48.1667,17.1167,1/8/2020,1,slovakia
26.9,48.1667,17.1167,1/9/2020,1,slovakia
27.7,48.1667,17.1167,1/10/2020,1,slovakia
13.7,48.1667,17.1167,1/11/2020,1,slovakia
16.7,48.1667,17.1167,1/12/2020,1,slovakia
21.3,48.1667,17.1167,1/13/2020,1,slovakia
19.2,48.1667,17.1167,1/14/2020,1,slovakia
21.2,48.1667,17.1167,1/15/2020,1,slovakia
28.6,48.1667,17.1167,1/16/2020,1,slovakia
25.9,48.1667,17.1167,1/17/2020,1,slovakia
12.6,48.1667,17.1167,1/19/2020,1,slovakia
9.6,48.1667,17.1167,1/20/2020,1,slovakia
33.0,48.1667,17.1167,1/21/2020,1,slovakia
16.1,48.1667,17.1167,1/22/2020,1,slovakia
19.7,48.1667,17.1167,1/28/2020,1,slovakia
14.9,48.1667,17.1167,1/29/2020,1,slovakia
17.5,48.1667,17.1167,1/30/2020,1,slovakia
15.5,48.1667,17.1167,1/31/2020,1,slovakia
14.3,48.1667,17.1167,2/1/2020,1,slovakia
8.1,48.1667,17.1167,2/2/2020,1,slovakia
7.5,48.1667,17.1167,2/6/2020,1,slovakia
9.8,48.1667,17.1167,2/7/2020,1,slovakia
13.3,48.1667,17.1167,2/8/2020,1,slovakia
13.2,48.1667,17.1167,2/9/2020,1,slovakia
11.8,48.1667,17.1167,2/10/2020,1,slovakia
7.7,48.1667,17.1167,2/11/2020,1,slovakia
8.6,48.1667,17.1167,2/12/2020,1,slovakia
13.2,48.1667,17.1167,2/13/2020,1,slovakia
9.3,48.1667,17.1167,2/14/2020,1,slovakia
15.2,48.1667,17.1167,2/15/2020,1,slovakia
12.2,48.1667,17.1167,2/16/2020,1,slovakia
13.3,48.1667,17.1167,2/17/2020,1,slovakia
12.2,48.1667,17.1167,2/18/2020,1,slovakia
15.2,48.1667,17.1167,2/19/2020,1,slovakia
11.6,48.1667,17.1167,2/22/2020,1,slovakia
7.5,48.1667,17.1167,2/23/2020,1,slovakia
8.3,48.1667,17.1167,2/24/2020,1,slovakia
15.6,48.1667,17.1167,2/25/2020,1,slovakia
11.9,48.1667,17.1167,2/26/2020,1,slovakia
9.2,48.1667,17.1167,2/27/2020,1,slovakia
7.3,48.1667,17.1167,3/4/2020,1,slovakia
18.4,48.1667,17.1167,3/5/2020,1,slovakia
15.6,48.1667,17.1167,3/6/2020,1,slovakia
6.9,48.1667,17.1167,3/7/2020,1,slovakia
7.1,48.1667,17.1167,3/8/2020,1,slovakia
19.1,48.1667,17.1167,3/9/2020,1,slovakia
10.9,48.1667,17.1167,3/10/2020,1,slovakia
13.4,48.1667,17.1167,3/11/2020,1,slovakia
9.5,48.1667,17.1167,3/12/2020,1,slovakia
6.8,48.1667,17.1167,3/13/2020,1,slovakia
5.3,48.1667,17.1167,3/14/2020,1,slovakia
8.7,48.1667,17.1167,3/15/2020,1,slovakia
13.8,48.1667,17.1167,3/16/2020,1,slovakia
16.1,48.1667,17.1167,3/17/2020,1,slovakia
13.5,48.1667,17.1167,3/19/2020,1,slovakia
11.9,48.1667,17.1167,3/20/2020,1,slovakia
7.1,48.1667,17.1167,3/21/2020,1,slovakia
4.6,48.1667,17.1167,3/22/2020,1,slovakia
30.6,48.735,19.155,4/3/2020,1,slovakia
51.2,48.735,19.155,1/31/2020,2,slovakia
48.5,48.735,19.155,3/3/2020,1,slovakia
27.5,48.735,19.155,1/1/2020,1,slovakia
43.3,48.735,19.155,1/3/2020,1,slovakia
24.0,48.735,19.155,1/4/2020,1,slovakia
11.9,48.735,19.155,1/5/2020,1,slovakia
34.6,48.735,19.155,1/6/2020,1,slovakia
49.2,48.735,19.155,1/7/2020,1,slovakia
46.5,48.735,19.155,1/8/2020,1,slovakia
42.4,48.735,19.155,1/9/2020,1,slovakia
34.8,48.735,19.155,1/10/2020,1,slovakia
28.0,48.735,19.155,1/11/2020,1,slovakia
