AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
29.5,46.0655,14.5127,1/27/2020,1,slovenia
27.2,46.0655,14.5127,3/17/2020,1,slovenia
21.1,46.0655,14.5127,3/18/2020,1,slovenia
16.6,46.0655,14.5127,3/20/2020,1,slovenia
22.6,46.0655,14.5127,4/3/2020,1,slovenia
29.0,46.0655,14.5127,2/28/2020,1,slovenia
7.6,46.0655,14.5127,3/26/2020,1,slovenia
69.4,46.0655,14.5127,1/9/2020,2,slovenia
48.4,46.0655,14.5127,1/10/2020,1,slovenia
50.8,46.0655,14.5127,1/11/2020,2,slovenia
36.2,46.0655,14.5127,1/12/2020,1,slovenia
48.6,46.0655,14.5127,1/13/2020,1,slovenia
38.5,46.0655,14.5127,1/14/2020,1,slovenia
35.7,46.0655,14.5127,1/15/2020,1,slovenia
50.2,46.0655,14.5127,1/16/2020,2,slovenia
36.6,46.0655,14.5127,1/17/2020,1,slovenia
21.6,46.0655,14.5127,1/18/2020,1,slovenia
21.8,46.0655,14.5127,1/19/2020,1,slovenia
29.0,46.0655,14.5127,1/20/2020,1,slovenia
40.0,46.0655,14.5127,1/21/2020,1,slovenia
44.1,46.0655,14.5127,1/22/2020,1,slovenia
45.2,46.0655,14.5127,1/23/2020,1,slovenia
47.4,46.0655,14.5127,1/24/2020,1,slovenia
49.0,46.0655,14.5127,1/25/2020,1,slovenia
31.3,46.0655,14.5127,1/26/2020,1,slovenia
33.1,46.0655,14.5127,1/28/2020,1,slovenia
33.6,46.0655,14.5127,1/29/2020,1,slovenia
42.8,46.0655,14.5127,1/30/2020,1,slovenia
23.1,46.0655,14.5127,1/31/2020,1,slovenia
19.0,46.0655,14.5127,2/1/2020,1,slovenia
10.6,46.0655,14.5127,2/2/2020,1,slovenia
27.7,46.0655,14.5127,2/3/2020,1,slovenia
23.9,46.0655,14.5127,2/4/2020,1,slovenia
12.2,46.0655,14.5127,2/5/2020,1,slovenia
41.6,46.0655,14.5127,2/6/2020,1,slovenia
41.8,46.0655,14.5127,2/7/2020,1,slovenia
43.6,46.0655,14.5127,2/8/2020,1,slovenia
