AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
8.9,40.42,-3.74917,4/3/2020,1,spain
8.4,40.465,-3.60889,4/3/2020,1,spain
9.0,40.5181,-3.77444,2/27/2020,1,spain
6.8,40.5181,-3.77444,4/3/2020,1,spain
7.9,40.42,-3.74917,3/15/2020,1,spain
61.6,40.42,-3.74917,1/15/2020,2,spain
7.7,40.42,-3.74917,1/31/2020,1,spain
5.0,40.42,-3.74917,3/3/2020,1,spain
34.6,40.42,-3.74917,3/12/2020,1,spain
30.6,40.465,-3.60889,1/10/2020,1,spain
56.4,40.465,-3.60889,1/13/2020,2,spain
25.7,40.465,-3.60889,1/31/2020,1,spain
46.0,40.465,-3.60889,2/12/2020,1,spain
31.7,40.5181,-3.77444,1/16/2020,1,spain
20.4,40.5181,-3.77444,1/23/2020,1,spain
32.2,40.5181,-3.77444,2/10/2020,1,spain
45.8,40.42,-3.74917,1/1/2020,1,spain
50.1,40.42,-3.74917,1/2/2020,2,spain
51.8,40.42,-3.74917,1/3/2020,2,spain
29.6,40.42,-3.74917,1/4/2020,1,spain
46.5,40.42,-3.74917,1/5/2020,1,spain
44.4,40.42,-3.74917,1/6/2020,1,spain
60.3,40.42,-3.74917,1/7/2020,2,spain
68.3,40.42,-3.74917,1/8/2020,2,spain
54.5,40.42,-3.74917,1/9/2020,2,spain
18.6,40.42,-3.74917,1/10/2020,1,spain
37.3,40.42,-3.74917,1/11/2020,1,spain
53.8,40.42,-3.74917,1/12/2020,2,spain
50.9,40.42,-3.74917,1/13/2020,2,spain
45.4,40.42,-3.74917,1/14/2020,1,spain
44.3,40.42,-3.74917,1/16/2020,1,spain
19.7,40.42,-3.74917,1/17/2020,1,spain
27.0,40.42,-3.74917,1/18/2020,1,spain
7.7,40.42,-3.74917,1/19/2020,1,spain
10.8,40.42,-3.74917,1/20/2020,1,spain
12.1,40.42,-3.74917,1/21/2020,1,spain
20.0,40.42,-3.74917,1/22/2020,1,spain
30.8,40.42,-3.74917,1/23/2020,1,spain
33.6,40.42,-3.74917,1/24/2020,1,spain
25.5,40.42,-3.74917,1/25/2020,1,spain
15.0,40.42,-3.74917,1/26/2020,1,spain
16.6,40.42,-3.74917,1/27/2020,1,spain
5.8,40.42,-3.74917,1/29/2020,1,spain
7.0,40.42,-3.74917,1/30/2020,1,spain
5.0,40.42,-3.74917,2/1/2020,1,spain
18.8,40.42,-3.74917,2/2/2020,1,spain
33.1,40.42,-3.74917,2/3/2020,1,spain
42.9,40.42,-3.74917,2/4/2020,1,spain
33.7,40.42,-3.74917,2/5/2020,1,spain
40.9,40.42,-3.74917,2/6/2020,1,spain
39.5,40.42,-3.74917,2/7/2020,1,spain
22.7,40.42,-3.74917,2/8/2020,1,spain
21.8,40.42,-3.74917,2/9/2020,1,spain
35.5,40.42,-3.74917,2/10/2020,1,spain
39.8,40.42,-3.74917,2/11/2020,1,spain
43.0,40.42,-3.74917,2/12/2020,1,spain
21.0,40.42,-3.74917,2/13/2020,1,spain
38.7,40.42,-3.74917,2/14/2020,1,spain
27.8,40.42,-3.74917,2/15/2020,1,spain
20.3,40.42,-3.74917,2/16/2020,1,spain
17.4,40.42,-3.74917,2/17/2020,1,spain
25.4,40.42,-3.74917,2/18/2020,1,spain
39.3,40.42,-3.74917,2/19/2020,1,spain
55.3,40.42,-3.74917,2/20/2020,2,spain
44.0,40.42,-3.74917,2/21/2020,1,spain
49.3,40.42,-3.74917,2/22/2020,1,spain
36.0,40.42,-3.74917,2/23/2020,1,spain
45.2,40.42,-3.74917,2/24/2020,1,spain
28.0,40.42,-3.74917,2/25/2020,1,spain
5.7,40.42,-3.74917,2/26/2020,1,spain
6.7,40.42,-3.74917,2/27/2020,1,spain
35.3,40.42,-3.74917,2/28/2020,1,spain
10.1,40.42,-3.74917,2/29/2020,1,spain
2.9,40.42,-3.74917,3/1/2020,1,spain
2.8,40.42,-3.74917,3/2/2020,1,spain
5.4,40.42,-3.74917,3/4/2020,1,spain
3.5,40.42,-3.74917,3/5/2020,1,spain
3.5,40.42,-3.74917,3/6/2020,1,spain
12.6,40.42,-3.74917,3/7/2020,1,spain
18.3,40.42,-3.74917,3/8/2020,1,spain
12.8,40.42,-3.74917,3/9/2020,1,spain
32.4,40.42,-3.74917,3/10/2020,1,spain
44.3,40.42,-3.74917,3/11/2020,1,spain
24.0,40.42,-3.74917,3/13/2020,1,spain
11.5,40.42,-3.74917,3/14/2020,1,spain
10.8,40.42,-3.74917,3/17/2020,1,spain
26.8,40.42,-3.74917,3/18/2020,1,spain
14.4,40.42,-3.74917,3/19/2020,1,spain
7.6,40.42,-3.74917,3/20/2020,1,spain
6.0,40.42,-3.74917,3/21/2020,1,spain
4.5,40.42,-3.74917,3/22/2020,1,spain
11.6,40.42,-3.74917,3/23/2020,1,spain
13.3,37.3983,-5.95165,3/7/2020,1,spain
13.3,37.3983,-5.95165,4/3/2020,1,spain
17.6,37.3983,-5.95165,2/3/2020,1,spain
9.2,37.3983,-5.95165,3/18/2020,1,spain
27.8,37.3983,-5.95165,2/10/2020,1,spain
17.7,37.3983,-5.95165,2/20/2020,1,spain
19.9,37.3983,-5.95165,2/21/2020,1,spain
9.5,37.3983,-5.95165,3/25/2020,1,spain
7.8,37.3983,-5.95165,1/5/2020,1,spain
26.9,37.3983,-5.95165,1/29/2020,1,spain
11.0,37.3983,-5.95165,1/4/2020,1,spain
31.5,37.3983,-5.95165,3/11/2020,1,spain
12.9,37.3983,-5.95165,1/2/2020,1,spain
12.4,37.3983,-5.95165,1/3/2020,1,spain
31.6,37.3983,-5.95165,1/11/2020,1,spain
29.0,37.3983,-5.95165,1/12/2020,1,spain
38.2,37.3983,-5.95165,1/15/2020,1,spain
19.0,37.3983,-5.95165,1/18/2020,1,spain
8.2,37.3983,-5.95165,1/19/2020,1,spain
24.3,37.3983,-5.95165,1/21/2020,1,spain
34.5,37.3983,-5.95165,1/22/2020,1,spain
39.1,37.3983,-5.95165,1/23/2020,1,spain
40.2,37.3983,-5.95165,1/24/2020,1,spain
29.5,37.3983,-5.95165,1/25/2020,1,spain
31.8,37.3983,-5.95165,1/26/2020,1,spain
31.7,37.3983,-5.95165,1/30/2020,1,spain
25.9,37.3983,-5.95165,1/31/2020,1,spain
18.0,37.3983,-5.95165,2/6/2020,1,spain
23.0,37.3983,-5.95165,2/7/2020,1,spain
13.4,37.3983,-5.95165,2/8/2020,1,spain
15.5,37.3983,-5.95165,2/9/2020,1,spain
28.7,37.3983,-5.95165,2/11/2020,1,spain
20.7,37.3983,-5.95165,2/13/2020,1,spain
28.7,37.3983,-5.95165,2/15/2020,1,spain
23.6,37.3983,-5.95165,2/16/2020,1,spain
23.3,37.3983,-5.95165,2/17/2020,1,spain
21.3,37.3983,-5.95165,2/18/2020,1,spain
17.8,37.3983,-5.95165,2/22/2020,1,spain
18.1,37.3983,-5.95165,2/23/2020,1,spain
27.3,37.3983,-5.95165,2/25/2020,1,spain
26.9,37.3983,-5.95165,2/27/2020,1,spain
15.3,37.3983,-5.95165,2/28/2020,1,spain
9.4,37.3983,-5.95165,2/29/2020,1,spain
8.7,37.3983,-5.95165,3/1/2020,1,spain
11.1,37.3983,-5.95165,3/2/2020,1,spain
25.3,37.3983,-5.95165,3/3/2020,1,spain
26.9,37.3983,-5.95165,3/4/2020,1,spain
22.1,37.3983,-5.95165,3/5/2020,1,spain
13.1,37.3983,-5.95165,3/6/2020,1,spain
15.8,37.3983,-5.95165,3/8/2020,1,spain
25.1,37.3983,-5.95165,3/9/2020,1,spain
34.0,37.3983,-5.95165,3/10/2020,1,spain
13.2,37.3983,-5.95165,3/13/2020,1,spain
18.2,37.3983,-5.95165,3/14/2020,1,spain
11.0,37.3983,-5.95165,3/15/2020,1,spain
6.8,37.3983,-5.95165,3/16/2020,1,spain
11.6,37.3983,-5.95165,3/17/2020,1,spain
10.8,37.3983,-5.95165,3/21/2020,1,spain
8.5,37.3983,-5.95165,3/22/2020,1,spain
15.0,37.3983,-5.95165,3/24/2020,1,spain
8.0,37.3983,-5.95165,3/26/2020,1,spain
9.7,37.3983,-5.95165,3/27/2020,1,spain
6.0,37.3983,-5.95165,3/28/2020,1,spain
7.2,37.3983,-5.95165,3/29/2020,1,spain
14.6,37.3983,-5.95165,3/30/2020,1,spain
6.0,37.3983,-5.95165,3/31/2020,1,spain
10.7,37.3983,-5.95165,4/1/2020,1,spain
11.8,37.3983,-5.95165,4/2/2020,1,spain
11.7,43.5229,-5.6895,4/3/2020,1,spain
23.4,43.5229,-5.6895,2/21/2020,1,spain
14.5,43.5229,-5.6895,2/4/2020,1,spain
10.9,43.5229,-5.6895,4/1/2020,1,spain
32.1,43.5229,-5.6895,1/7/2020,1,spain
25.5,43.5229,-5.6895,1/21/2020,1,spain
17.0,43.5229,-5.6895,3/3/2020,1,spain
18.7,43.5229,-5.6895,1/1/2020,1,spain
33.5,43.5229,-5.6895,1/2/2020,1,spain
35.5,43.5229,-5.6895,1/3/2020,1,spain
27.0,43.5229,-5.6895,1/4/2020,1,spain
20.8,43.5229,-5.6895,1/5/2020,1,spain
23.9,43.5229,-5.6895,1/6/2020,1,spain
41.0,43.5229,-5.6895,1/8/2020,1,spain
26.3,43.5229,-5.6895,1/9/2020,1,spain
22.7,43.5229,-5.6895,1/10/2020,1,spain
32.5,43.5229,-5.6895,1/11/2020,1,spain
29.2,43.5229,-5.6895,1/12/2020,1,spain
41.5,43.5229,-5.6895,1/13/2020,1,spain
26.0,43.5229,-5.6895,1/14/2020,1,spain
21.3,43.5229,-5.6895,1/15/2020,1,spain
15.2,43.5229,-5.6895,1/16/2020,1,spain
25.3,43.5229,-5.6895,1/17/2020,1,spain
20.0,43.5229,-5.6895,1/18/2020,1,spain
8.5,37.9027,-4.77958,3/7/2020,1,spain
6.3,37.9027,-4.77958,3/25/2020,1,spain
5.4,37.9027,-4.77958,4/3/2020,1,spain
5.5,37.7844,-3.81032,3/7/2020,1,spain
6.1,37.7844,-3.81032,4/3/2020,1,spain
7.8,36.4606,-6.20307,3/7/2020,1,spain
5.9,36.4606,-6.20307,1/23/2020,1,spain
10.8,36.4606,-6.20307,3/10/2020,1,spain
4.3,36.4606,-6.20307,3/23/2020,1,spain
1.7,36.4606,-6.20307,4/3/2020,1,spain
12.7,37.9027,-4.77958,2/3/2020,1,spain
18.8,37.7844,-3.81032,2/3/2020,1,spain
13.6,36.4606,-6.20307,2/3/2020,1,spain
16.0,37.9027,-4.77958,1/2/2020,1,spain
11.2,37.9027,-4.77958,2/20/2020,1,spain
14.9,37.9027,-4.77958,2/21/2020,1,spain
20.8,37.9027,-4.77958,2/27/2020,1,spain
34.1,37.7844,-3.81032,1/8/2020,1,spain
11.0,37.7844,-3.81032,2/20/2020,1,spain
13.3,37.7844,-3.81032,2/21/2020,1,spain
8.9,37.7844,-3.81032,3/9/2020,1,spain
4.5,37.7844,-3.81032,3/25/2020,1,spain
1.0,36.4606,-6.20307,2/20/2020,1,spain
1.4,36.4606,-6.20307,2/21/2020,1,spain
2.5,36.4606,-6.20307,3/25/2020,1,spain
8.5,37.9027,-4.77958,1/5/2020,1,spain
18.5,37.7844,-3.81032,1/5/2020,1,spain
17.2,37.7844,-3.81032,2/10/2020,1,spain
9.2,37.7844,-3.81032,2/18/2020,1,spain
6.0,37.7844,-3.81032,3/5/2020,1,spain
2.2,37.7844,-3.81032,3/19/2020,1,spain
2.9,37.7844,-3.81032,3/24/2020,1,spain
9.0,36.4606,-6.20307,1/5/2020,1,spain
31.0,36.4606,-6.20307,1/9/2020,1,spain
15.5,36.4606,-6.20307,3/3/2020,1,spain
10.0,37.9027,-4.77958,1/4/2020,1,spain
13.8,37.9027,-4.77958,3/11/2020,1,spain
3.4,37.9027,-4.77958,4/1/2020,1,spain
22.7,37.7844,-3.81032,1/2/2020,1,spain
16.5,37.7844,-3.81032,1/4/2020,1,spain
7.8,37.7844,-3.81032,1/21/2020,1,spain
16.5,37.7844,-3.81032,3/11/2020,1,spain
23.0,36.4606,-6.20307,1/4/2020,1,spain
0.7,36.4606,-6.20307,2/22/2020,1,spain
7.8,36.4606,-6.20307,3/11/2020,1,spain
18.5,37.9027,-4.77958,1/3/2020,1,spain
14.6,37.9027,-4.77958,1/7/2020,1,spain
22.0,37.9027,-4.77958,1/8/2020,1,spain
24.8,37.9027,-4.77958,1/9/2020,1,spain
16.2,37.9027,-4.77958,1/11/2020,1,spain
10.8,37.9027,-4.77958,1/12/2020,1,spain
19.0,37.9027,-4.77958,1/15/2020,1,spain
28.4,37.9027,-4.77958,1/16/2020,1,spain
20.0,37.9027,-4.77958,1/17/2020,1,spain
16.0,37.9027,-4.77958,1/18/2020,1,spain
4.4,37.9027,-4.77958,1/19/2020,1,spain
7.0,37.9027,-4.77958,1/21/2020,1,spain
14.3,37.9027,-4.77958,1/22/2020,1,spain
12.0,37.9027,-4.77958,1/23/2020,1,spain
12.8,37.9027,-4.77958,1/24/2020,1,spain
10.3,37.9027,-4.77958,1/25/2020,1,spain
9.1,37.9027,-4.77958,1/26/2020,1,spain
19.5,37.9027,-4.77958,1/29/2020,1,spain
19.5,37.9027,-4.77958,1/30/2020,1,spain
13.5,37.9027,-4.77958,1/31/2020,1,spain
9.6,37.9027,-4.77958,2/2/2020,1,spain
13.1,37.9027,-4.77958,2/6/2020,1,spain
17.3,37.9027,-4.77958,2/7/2020,1,spain
14.8,37.9027,-4.77958,2/8/2020,1,spain
9.7,37.9027,-4.77958,2/9/2020,1,spain
13.2,37.9027,-4.77958,2/11/2020,1,spain
12.8,37.9027,-4.77958,2/13/2020,1,spain
12.2,37.9027,-4.77958,2/15/2020,1,spain
16.4,37.9027,-4.77958,2/16/2020,1,spain
13.8,37.9027,-4.77958,2/17/2020,1,spain
15.1,37.9027,-4.77958,2/18/2020,1,spain
10.8,37.9027,-4.77958,2/22/2020,1,spain
