AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
11.7,56.0473,12.6913,1/24/2020,1,sweden
27.5,56.0473,12.6913,1/10/2020,1,sweden
4.0,56.0473,12.6913,4/3/2020,1,sweden
13.2,56.0473,12.6913,1/15/2020,1,sweden
32.4,56.0473,12.6913,3/9/2020,1,sweden
6.0,56.0473,12.6913,1/1/2020,1,sweden
13.4,56.0473,12.6913,1/2/2020,1,sweden
11.4,56.0473,12.6913,1/3/2020,1,sweden
4.1,56.0473,12.6913,1/4/2020,1,sweden
13.1,56.0473,12.6913,1/5/2020,1,sweden
14.4,56.0473,12.6913,1/11/2020,1,sweden
11.7,56.0473,12.6913,1/12/2020,1,sweden
20.0,56.0473,12.6913,1/13/2020,1,sweden
18.2,56.0473,12.6913,1/14/2020,1,sweden
17.4,56.0473,12.6913,1/16/2020,1,sweden
23.5,56.0473,12.6913,1/17/2020,1,sweden
12.5,56.0473,12.6913,1/18/2020,1,sweden
12.9,56.0473,12.6913,1/19/2020,1,sweden
15.9,56.0473,12.6913,1/20/2020,1,sweden
7.0,56.0473,12.6913,1/21/2020,1,sweden
11.9,56.0473,12.6913,1/25/2020,1,sweden
19.3,56.0473,12.6913,1/26/2020,1,sweden
24.4,56.0473,12.6913,1/27/2020,1,sweden
25.9,56.0473,12.6913,1/28/2020,1,sweden
15.0,56.0473,12.6913,1/29/2020,1,sweden
17.4,56.0473,12.6913,1/30/2020,1,sweden
12.6,56.0473,12.6913,1/31/2020,1,sweden
11.7,56.0473,12.6913,2/1/2020,1,sweden
6.1,56.0473,12.6913,2/2/2020,1,sweden
25.4,56.0473,12.6913,2/3/2020,1,sweden
8.5,56.0473,12.6913,2/4/2020,1,sweden
11.3,56.0473,12.6913,2/5/2020,1,sweden
10.8,56.0473,12.6913,2/6/2020,1,sweden
36.0,56.0473,12.6913,2/7/2020,1,sweden
16.3,56.0473,12.6913,2/8/2020,1,sweden
15.3,56.0473,12.6913,2/9/2020,1,sweden
7.7,56.0473,12.6913,2/10/2020,1,sweden
8.8,56.0473,12.6913,2/11/2020,1,sweden
7.5,56.0473,12.6913,2/12/2020,1,sweden
16.0,56.0473,12.6913,2/13/2020,1,sweden
31.5,56.0473,12.6913,2/14/2020,1,sweden
18.7,56.0473,12.6913,2/15/2020,1,sweden
9.6,56.0473,12.6913,2/16/2020,1,sweden
7.6,56.0473,12.6913,2/17/2020,1,sweden
8.8,56.0473,12.6913,2/18/2020,1,sweden
14.5,56.0473,12.6913,2/19/2020,1,sweden
19.0,56.0473,12.6913,2/20/2020,1,sweden
8.1,56.0473,12.6913,2/21/2020,1,sweden
6.9,56.0473,12.6913,2/22/2020,1,sweden
6.9,56.0473,12.6913,2/23/2020,1,sweden
13.4,56.0473,12.6913,2/24/2020,1,sweden
9.9,56.0473,12.6913,2/25/2020,1,sweden
8.6,56.0473,12.6913,2/26/2020,1,sweden
26.6,56.0473,12.6913,2/27/2020,1,sweden
16.7,56.0473,12.6913,2/28/2020,1,sweden
13.2,56.0473,12.6913,2/29/2020,1,sweden
10.8,56.0473,12.6913,3/1/2020,1,sweden
29.6,56.0473,12.6913,3/2/2020,1,sweden
15.9,56.0473,12.6913,3/3/2020,1,sweden
14.1,56.0473,12.6913,3/4/2020,1,sweden
20.6,56.0473,12.6913,3/5/2020,1,sweden
7.2,56.0473,12.6913,3/6/2020,1,sweden
10.8,56.0473,12.6913,3/7/2020,1,sweden
17.2,56.0473,12.6913,3/8/2020,1,sweden
16.4,56.0473,12.6913,3/10/2020,1,sweden
9.6,56.0473,12.6913,3/11/2020,1,sweden
10.0,56.0473,12.6913,3/12/2020,1,sweden
9.0,56.0473,12.6913,3/13/2020,1,sweden
8.9,56.0473,12.6913,3/14/2020,1,sweden
11.8,56.0473,12.6913,3/15/2020,1,sweden
16.7,56.0473,12.6913,3/16/2020,1,sweden
16.4,56.0473,12.6913,3/17/2020,1,sweden
16.0,56.0473,12.6913,3/18/2020,1,sweden
14.4,56.0473,12.6913,3/19/2020,1,sweden
7.9,56.0473,12.6913,3/20/2020,1,sweden
6.0,56.0473,12.6913,3/21/2020,1,sweden
8.5,56.0473,12.6913,3/22/2020,1,sweden
13.4,56.0473,12.6913,3/23/2020,1,sweden
15.4,56.0473,12.6913,3/24/2020,1,sweden
15.0,56.0473,12.6913,3/25/2020,1,sweden
21.7,56.0473,12.6913,3/26/2020,1,sweden
21.4,56.0473,12.6913,3/27/2020,1,sweden
12.2,56.0473,12.6913,3/28/2020,1,sweden
2.1,56.0473,12.6913,3/29/2020,1,sweden
7.0,56.0473,12.6913,3/30/2020,1,sweden
11.1,56.0473,12.6913,3/31/2020,1,sweden
5.7,56.0473,12.6913,4/1/2020,1,sweden
5.6,56.0473,12.6913,4/2/2020,1,sweden
7.7,55.7008,13.2008,2/11/2020,1,sweden
18.3,59.3172,18.0489,1/2/2020,1,sweden
10.8,59.3172,18.0489,1/4/2020,1,sweden
19.2,59.3172,18.0489,1/5/2020,1,sweden
26.7,59.3172,18.0489,1/6/2020,1,sweden
21.0,59.3172,18.0489,1/7/2020,1,sweden
19.6,59.3172,18.0489,1/8/2020,1,sweden
51.1,59.3172,18.0489,1/9/2020,2,sweden
54.8,59.3172,18.0489,1/10/2020,2,sweden
18.8,59.3172,18.0489,1/11/2020,1,sweden
18.2,59.3172,18.0489,1/12/2020,1,sweden
42.6,59.3172,18.0489,1/13/2020,1,sweden
15.8,59.3172,18.0489,1/14/2020,1,sweden
20.9,59.3172,18.0489,1/15/2020,1,sweden
27.5,59.3172,18.0489,1/16/2020,1,sweden
20.6,59.3172,18.0489,1/17/2020,1,sweden
16.4,59.3172,18.0489,1/18/2020,1,sweden
24.0,59.3172,18.0489,1/19/2020,1,sweden
34.0,59.3172,18.0489,1/20/2020,1,sweden
34.2,59.3172,18.0489,1/21/2020,1,sweden
41.0,59.3172,18.0489,1/23/2020,1,sweden
42.0,59.3172,18.0489,1/24/2020,1,sweden
34.3,59.3172,18.0489,1/25/2020,1,sweden
18.4,59.3172,18.0489,1/26/2020,1,sweden
26.0,59.3172,18.0489,1/27/2020,1,sweden
17.3,59.3172,18.0489,1/28/2020,1,sweden
25.3,59.3172,18.0489,1/29/2020,1,sweden
45.9,59.3172,18.0489,1/30/2020,1,sweden
35.7,59.3172,18.0489,1/31/2020,1,sweden
19.8,59.3172,18.0489,2/1/2020,1,sweden
14.2,59.3172,18.0489,2/2/2020,1,sweden
52.5,59.3172,18.0489,2/3/2020,2,sweden
55.1,59.3172,18.0489,2/4/2020,2,sweden
32.9,59.3172,18.0489,2/5/2020,1,sweden
52.0,59.3172,18.0489,2/6/2020,2,sweden
47.3,59.3172,18.0489,2/7/2020,1,sweden
21.6,59.3172,18.0489,2/8/2020,1,sweden
10.5,59.3172,18.0489,2/9/2020,1,sweden
18.8,59.3172,18.0489,2/10/2020,1,sweden
31.2,59.3172,18.0489,2/11/2020,1,sweden
30.9,59.3172,18.0489,2/12/2020,1,sweden
48.4,59.3172,18.0489,2/13/2020,1,sweden
62.3,59.3172,18.0489,2/14/2020,2,sweden
19.9,59.3172,18.0489,2/15/2020,1,sweden
10.3,59.3172,18.0489,2/16/2020,1,sweden
18.8,59.3172,18.0489,2/17/2020,1,sweden
19.6,59.3172,18.0489,2/18/2020,1,sweden
40.9,59.3172,18.0489,2/19/2020,1,sweden
22.9,59.3172,18.0489,2/21/2020,1,sweden
11.0,59.3172,18.0489,2/22/2020,1,sweden
16.0,59.3172,18.0489,2/23/2020,1,sweden
50.3,59.3172,18.0489,2/24/2020,2,sweden
40.4,59.3172,18.0489,2/25/2020,1,sweden
24.1,59.3172,18.0489,2/26/2020,1,sweden
31.6,59.3172,18.0489,2/27/2020,1,sweden
33.5,59.3172,18.0489,2/29/2020,1,sweden
11.9,59.3172,18.0489,3/1/2020,1,sweden
30.7,59.3172,18.0489,3/2/2020,1,sweden
35.0,59.3172,18.0489,3/3/2020,1,sweden
29.9,59.3172,18.0489,3/4/2020,1,sweden
53.3,59.3172,18.0489,3/6/2020,2,sweden
35.6,59.3172,18.0489,3/7/2020,1,sweden
12.7,59.3172,18.0489,3/8/2020,1,sweden
27.6,59.3172,18.0489,3/9/2020,1,sweden
30.2,59.3172,18.0489,3/10/2020,1,sweden
25.7,59.3172,18.0489,3/11/2020,1,sweden
33.1,59.3172,18.0489,3/12/2020,1,sweden
24.4,59.3172,18.0489,3/13/2020,1,sweden
21.3,59.3172,18.0489,3/14/2020,1,sweden
7.3,59.3172,18.0489,3/15/2020,1,sweden
33.2,59.3172,18.0489,3/16/2020,1,sweden
25.5,59.3172,18.0489,3/17/2020,1,sweden
32.2,59.3172,18.0489,3/18/2020,1,sweden
28.2,59.3172,18.0489,3/19/2020,1,sweden
25.5,59.3172,18.0489,3/20/2020,1,sweden
15.3,59.3172,18.0489,3/21/2020,1,sweden
23.5,59.3172,18.0489,3/22/2020,1,sweden
26.3,59.3172,18.0489,3/23/2020,1,sweden
22.6,59.3172,18.0489,3/25/2020,1,sweden
31.4,59.3172,18.0489,3/26/2020,1,sweden
36.8,59.3172,18.0489,3/27/2020,1,sweden
18.2,59.3172,18.0489,3/28/2020,1,sweden
17.7,59.3172,18.0489,3/30/2020,1,sweden
30.1,59.3172,18.0489,3/31/2020,1,sweden
30.0,59.3172,18.0489,4/1/2020,1,sweden
18.6,59.3172,18.0489,4/2/2020,1,sweden
17.9,55.7008,13.2008,1/27/2020,1,sweden
6.3,55.7008,13.2008,3/13/2020,1,sweden
25.7,55.7008,13.2008,1/10/2020,1,sweden
11.8,55.7008,13.2008,1/15/2020,1,sweden
3.1,55.7008,13.2008,4/3/2020,1,sweden
12.1,55.7008,13.2008,1/2/2020,1,sweden
13.8,55.7008,13.2008,2/28/2020,1,sweden
9.4,55.7008,13.2008,3/3/2020,1,sweden
5.6,55.7008,13.2008,1/1/2020,1,sweden
11.9,55.7008,13.2008,1/3/2020,1,sweden
3.8,55.7008,13.2008,1/4/2020,1,sweden
12.8,55.7008,13.2008,1/5/2020,1,sweden
8.7,55.7008,13.2008,1/11/2020,1,sweden
10.0,55.7008,13.2008,1/12/2020,1,sweden
13.2,55.7008,13.2008,1/13/2020,1,sweden
11.7,55.7008,13.2008,1/14/2020,1,sweden
13.9,55.7008,13.2008,1/16/2020,1,sweden
17.1,55.7008,13.2008,1/17/2020,1,sweden
8.6,55.7008,13.2008,1/18/2020,1,sweden
11.9,55.7008,13.2008,1/19/2020,1,sweden
13.8,55.7008,13.2008,1/20/2020,1,sweden
6.8,55.7008,13.2008,1/21/2020,1,sweden
14.5,55.7008,13.2008,1/25/2020,1,sweden
20.9,55.7008,13.2008,1/26/2020,1,sweden
17.2,55.7008,13.2008,1/28/2020,1,sweden
11.0,55.7008,13.2008,1/29/2020,1,sweden
11.4,55.7008,13.2008,1/30/2020,1,sweden
9.5,55.7008,13.2008,1/31/2020,1,sweden
8.6,55.7008,13.2008,2/1/2020,1,sweden
5.1,55.7008,13.2008,2/2/2020,1,sweden
14.1,55.7008,13.2008,2/3/2020,1,sweden
7.7,55.7008,13.2008,2/4/2020,1,sweden
11.8,55.7008,13.2008,2/5/2020,1,sweden
8.9,55.7008,13.2008,2/6/2020,1,sweden
9.1,55.7008,13.2008,2/8/2020,1,sweden
9.4,55.7008,13.2008,2/9/2020,1,sweden
6.5,55.7008,13.2008,2/12/2020,1,sweden
10.6,55.7008,13.2008,2/13/2020,1,sweden
15.6,55.7008,13.2008,2/14/2020,1,sweden
11.6,55.7008,13.2008,2/15/2020,1,sweden
6.1,55.7008,13.2008,2/16/2020,1,sweden
6.4,55.7008,13.2008,2/17/2020,1,sweden
7.0,55.7008,13.2008,2/18/2020,1,sweden
10.8,55.7008,13.2008,2/19/2020,1,sweden
11.3,55.7008,13.2008,2/20/2020,1,sweden
7.1,55.7008,13.2008,2/21/2020,1,sweden
5.1,55.7008,13.2008,2/22/2020,1,sweden
5.0,55.7008,13.2008,2/23/2020,1,sweden
10.3,55.7008,13.2008,2/24/2020,1,sweden
5.6,55.7008,13.2008,2/25/2020,1,sweden
6.7,55.7008,13.2008,2/26/2020,1,sweden
15.8,55.7008,13.2008,2/27/2020,1,sweden
7.8,55.7008,13.2008,2/29/2020,1,sweden
6.2,55.7008,13.2008,3/1/2020,1,sweden
15.0,55.7008,13.2008,3/2/2020,1,sweden
12.3,55.7008,13.2008,3/4/2020,1,sweden
10.6,55.7008,13.2008,3/5/2020,1,sweden
5.4,55.7008,13.2008,3/6/2020,1,sweden
9.4,55.7008,13.2008,3/7/2020,1,sweden
10.2,55.7008,13.2008,3/8/2020,1,sweden
16.8,55.7008,13.2008,3/9/2020,1,sweden
4.7,55.7008,13.2008,3/14/2020,1,sweden
5.9,55.7008,13.2008,3/15/2020,1,sweden
10.0,55.7008,13.2008,3/16/2020,1,sweden
10.2,55.7008,13.2008,3/17/2020,1,sweden
12.9,55.7008,13.2008,3/18/2020,1,sweden
9.1,55.7008,13.2008,3/19/2020,1,sweden
5.7,55.7008,13.2008,3/20/2020,1,sweden
2.7,55.7008,13.2008,3/21/2020,1,sweden
3.5,55.7008,13.2008,3/22/2020,1,sweden
7.8,55.7008,13.2008,3/23/2020,1,sweden
9.2,55.7008,13.2008,3/24/2020,1,sweden
9.4,55.7008,13.2008,3/25/2020,1,sweden
7.9,55.7008,13.2008,3/26/2020,1,sweden
6.2,55.7008,13.2008,3/27/2020,1,sweden
5.3,55.7008,13.2008,3/28/2020,1,sweden
1.8,55.7008,13.2008,3/29/2020,1,sweden
5.2,55.7008,13.2008,3/30/2020,1,sweden
8.9,55.7008,13.2008,3/31/2020,1,sweden
6.0,55.7008,13.2008,4/1/2020,1,sweden
5.2,55.7008,13.2008,4/2/2020,1,sweden
9.9,55.6064,13.002,2/20/2020,1,sweden
20.5,55.6064,13.002,1/10/2020,1,sweden
12.3,55.6064,13.002,1/16/2020,1,sweden
11.1,55.6064,13.002,1/15/2020,1,sweden
5.7,55.6064,13.002,4/3/2020,1,sweden
21.3,55.6064,13.002,2/14/2020,1,sweden
5.9,55.6064,13.002,3/12/2020,1,sweden
8.0,55.6064,13.002,1/12/2020,1,sweden
11.6,55.6064,13.002,1/14/2020,1,sweden
10.2,55.6064,13.002,1/31/2020,1,sweden
7.0,55.6064,13.002,1/1/2020,1,sweden
10.6,55.6064,13.002,1/2/2020,1,sweden
11.1,55.6064,13.002,1/3/2020,1,sweden
4.6,55.6064,13.002,1/4/2020,1,sweden
10.8,55.6064,13.002,1/5/2020,1,sweden
8.9,55.6064,13.002,1/11/2020,1,sweden
11.8,55.6064,13.002,1/13/2020,1,sweden
21.0,55.6064,13.002,1/17/2020,1,sweden
8.4,55.6064,13.002,1/18/2020,1,sweden
12.6,55.6064,13.002,1/19/2020,1,sweden
10.9,55.6064,13.002,1/20/2020,1,sweden
7.7,55.6064,13.002,1/21/2020,1,sweden
14.0,55.6064,13.002,1/25/2020,1,sweden
17.4,55.6064,13.002,1/26/2020,1,sweden
17.1,55.6064,13.002,1/27/2020,1,sweden
16.8,55.6064,13.002,1/28/2020,1,sweden
9.7,55.6064,13.002,1/29/2020,1,sweden
10.3,55.6064,13.002,1/30/2020,1,sweden
8.1,55.6064,13.002,2/1/2020,1,sweden
6.8,55.6064,13.002,2/2/2020,1,sweden
13.7,55.6064,13.002,2/3/2020,1,sweden
9.8,55.6064,13.002,2/4/2020,1,sweden
14.4,55.6064,13.002,2/5/2020,1,sweden
12.7,55.6064,13.002,2/6/2020,1,sweden
12.2,55.6064,13.002,2/7/2020,1,sweden
11.3,55.6064,13.002,2/8/2020,1,sweden
10.4,55.6064,13.002,2/9/2020,1,sweden
5.1,55.6064,13.002,2/10/2020,1,sweden
5.1,55.6064,13.002,2/11/2020,1,sweden
5.8,55.6064,13.002,2/12/2020,1,sweden
12.0,55.6064,13.002,2/13/2020,1,sweden
11.3,55.6064,13.002,2/15/2020,1,sweden
6.1,55.6064,13.002,2/16/2020,1,sweden
4.8,55.6064,13.002,2/17/2020,1,sweden
5.6,55.6064,13.002,2/18/2020,1,sweden
10.3,55.6064,13.002,2/19/2020,1,sweden
6.3,55.6064,13.002,2/21/2020,1,sweden
4.9,55.6064,13.002,2/22/2020,1,sweden
5.0,55.6064,13.002,2/23/2020,1,sweden
10.6,55.6064,13.002,2/24/2020,1,sweden
5.2,55.6064,13.002,2/25/2020,1,sweden
10.7,55.6064,13.002,2/26/2020,1,sweden
12.5,55.6064,13.002,2/27/2020,1,sweden
10.9,55.6064,13.002,2/28/2020,1,sweden
12.0,55.6064,13.002,2/29/2020,1,sweden
6.5,55.6064,13.002,3/1/2020,1,sweden
22.0,55.6064,13.002,3/2/2020,1,sweden
19.6,55.6064,13.002,3/3/2020,1,sweden
12.7,55.6064,13.002,3/4/2020,1,sweden
10.3,55.6064,13.002,3/5/2020,1,sweden
11.5,55.6064,13.002,3/6/2020,1,sweden
13.9,55.6064,13.002,3/7/2020,1,sweden
10.9,55.6064,13.002,3/8/2020,1,sweden
17.0,55.6064,13.002,3/9/2020,1,sweden
11.9,55.6064,13.002,3/10/2020,1,sweden
6.9,55.6064,13.002,3/11/2020,1,sweden
7.9,55.6064,13.002,3/13/2020,1,sweden
8.3,55.6064,13.002,3/14/2020,1,sweden
7.6,55.6064,13.002,3/15/2020,1,sweden
11.8,55.6064,13.002,3/16/2020,1,sweden
8.9,55.6064,13.002,3/17/2020,1,sweden
11.7,55.6064,13.002,3/18/2020,1,sweden
13.4,55.6064,13.002,3/19/2020,1,sweden
9.2,55.6064,13.002,3/20/2020,1,sweden
6.9,55.6064,13.002,3/21/2020,1,sweden
6.3,55.6064,13.002,3/22/2020,1,sweden
13.2,55.6064,13.002,3/23/2020,1,sweden
11.7,55.6064,13.002,3/24/2020,1,sweden
12.5,55.6064,13.002,3/25/2020,1,sweden
16.6,55.6064,13.002,3/26/2020,1,sweden
20.5,55.6064,13.002,3/27/2020,1,sweden
17.2,55.6064,13.002,3/28/2020,1,sweden
5.7,55.6064,13.002,3/29/2020,1,sweden
10.5,55.6064,13.002,3/30/2020,1,sweden
14.9,55.6064,13.002,3/31/2020,1,sweden
7.6,55.6064,13.002,4/1/2020,1,sweden
6.2,55.6064,13.002,4/2/2020,1,sweden
8.6,59.316,18.0578,1/22/2020,1,sweden
15.7,59.316,18.0578,2/6/2020,1,sweden
6.1,59.316,18.0578,3/11/2020,1,sweden
4.2,59.316,18.0578,4/3/2020,1,sweden
11.8,55.7033,13.1803,1/1/2020,1,sweden
20.8,55.7033,13.1803,1/2/2020,1,sweden
19.8,55.7033,13.1803,1/3/2020,1,sweden
10.1,55.7033,13.1803,1/4/2020,1,sweden
20.7,55.7033,13.1803,1/5/2020,1,sweden
14.7,55.7033,13.1803,1/11/2020,1,sweden
16.6,55.7033,13.1803,1/12/2020,1,sweden
22.1,55.7033,13.1803,1/13/2020,1,sweden
17.6,55.7033,13.1803,1/14/2020,1,sweden
21.7,55.7033,13.1803,1/16/2020,1,sweden
22.6,55.7033,13.1803,1/17/2020,1,sweden
14.6,55.7033,13.1803,1/18/2020,1,sweden
17.3,55.7033,13.1803,1/19/2020,1,sweden
22.7,55.7033,13.1803,1/20/2020,1,sweden
11.7,55.7033,13.1803,1/21/2020,1,sweden
14.4,55.7033,13.1803,1/25/2020,1,sweden
18.3,55.7033,13.1803,1/26/2020,1,sweden
18.1,55.7033,13.1803,1/27/2020,1,sweden
18.0,55.7033,13.1803,1/28/2020,1,sweden
12.7,55.7033,13.1803,1/29/2020,1,sweden
13.4,55.7033,13.1803,1/30/2020,1,sweden
10.8,55.7033,13.1803,1/31/2020,1,sweden
8.5,55.7033,13.1803,2/1/2020,1,sweden
6.3,55.7033,13.1803,2/2/2020,1,sweden
17.9,55.7033,13.1803,2/3/2020,1,sweden
8.8,55.7033,13.1803,2/4/2020,1,sweden
17.6,55.7033,13.1803,2/5/2020,1,sweden
8.8,55.7033,13.1803,2/6/2020,1,sweden
7.4,55.7033,13.1803,2/11/2020,1,sweden
6.3,55.7033,13.1803,2/12/2020,1,sweden
10.1,55.7033,13.1803,2/13/2020,1,sweden
15.6,55.7033,13.1803,2/14/2020,1,sweden
9.4,55.7033,13.1803,2/15/2020,1,sweden
5.2,55.7033,13.1803,2/16/2020,1,sweden
5.5,55.7033,13.1803,2/17/2020,1,sweden
6.5,55.7033,13.1803,2/18/2020,1,sweden
10.8,55.7033,13.1803,2/19/2020,1,sweden
10.5,55.7033,13.1803,2/20/2020,1,sweden
6.6,55.7033,13.1803,2/21/2020,1,sweden
5.3,55.7033,13.1803,2/22/2020,1,sweden
5.8,55.7033,13.1803,2/23/2020,1,sweden
11.4,55.7033,13.1803,2/24/2020,1,sweden
7.0,55.7033,13.1803,2/25/2020,1,sweden
7.1,55.7033,13.1803,2/26/2020,1,sweden
22.8,55.7033,13.1803,2/27/2020,1,sweden
17.2,55.7033,13.1803,2/28/2020,1,sweden
7.8,55.7033,13.1803,2/29/2020,1,sweden
5.0,55.7033,13.1803,3/1/2020,1,sweden
16.1,55.7033,13.1803,3/2/2020,1,sweden
12.2,55.7033,13.1803,3/3/2020,1,sweden
13.4,55.7033,13.1803,3/4/2020,1,sweden
12.1,55.7033,13.1803,3/5/2020,1,sweden
7.1,55.7033,13.1803,3/6/2020,1,sweden
11.8,55.7033,13.1803,3/7/2020,1,sweden
9.1,55.7033,13.1803,3/8/2020,1,sweden
16.4,55.7033,13.1803,3/9/2020,1,sweden
10.1,55.7033,13.1803,3/10/2020,1,sweden
5.4,55.7033,13.1803,3/11/2020,1,sweden
5.4,55.7033,13.1803,3/12/2020,1,sweden
6.8,55.7033,13.1803,3/13/2020,1,sweden
6.8,55.7033,13.1803,3/14/2020,1,sweden
6.7,55.7033,13.1803,3/15/2020,1,sweden
11.2,55.7033,13.1803,3/16/2020,1,sweden
10.2,55.7033,13.1803,3/17/2020,1,sweden
12.0,55.7033,13.1803,3/18/2020,1,sweden
8.6,55.7033,13.1803,3/19/2020,1,sweden
5.6,55.7033,13.1803,3/20/2020,1,sweden
3.6,55.7033,13.1803,3/21/2020,1,sweden
5.1,55.7033,13.1803,3/22/2020,1,sweden
10.4,55.7033,13.1803,3/23/2020,1,sweden
9.8,55.7033,13.1803,3/24/2020,1,sweden
8.6,55.7033,13.1803,3/25/2020,1,sweden
9.9,55.7033,13.1803,3/26/2020,1,sweden
13.4,55.7033,13.1803,3/31/2020,1,sweden
6.8,55.7033,13.1803,4/1/2020,1,sweden
6.4,55.7033,13.1803,4/2/2020,1,sweden
28.3,55.5847,13.0062,3/30/2020,1,sweden
21.5,55.5941,13.008,1/15/2020,1,sweden
16.3,55.5941,13.008,1/17/2020,1,sweden
20.3,55.5941,13.008,1/25/2020,1,sweden
19.2,55.5941,13.008,2/6/2020,1,sweden
18.5,55.5941,13.008,2/12/2020,1,sweden
18.0,55.5941,13.008,2/17/2020,1,sweden
22.0,55.5941,13.008,2/19/2020,1,sweden
20.4,55.5941,13.008,2/26/2020,1,sweden
18.9,56.0472,12.6915,1/6/2020,1,sweden
20.3,56.0472,12.6915,1/24/2020,1,sweden
16.7,56.0431,12.7094,1/6/2020,1,sweden
33.1,56.0472,12.6915,1/10/2020,1,sweden
30.7,56.0431,12.7094,1/10/2020,1,sweden
6.0,56.0472,12.6915,4/3/2020,1,sweden
11.5,56.0431,12.7094,4/3/2020,1,sweden
17.6,56.0472,12.6915,1/15/2020,1,sweden
38.4,56.0472,12.6915,3/9/2020,1,sweden
17.4,56.0431,12.7094,1/15/2020,1,sweden
10.2,56.0472,12.6915,1/1/2020,1,sweden
16.3,56.0472,12.6915,1/2/2020,1,sweden
15.9,56.0472,12.6915,1/3/2020,1,sweden
6.0,56.0472,12.6915,1/4/2020,1,sweden
17.7,56.0472,12.6915,1/5/2020,1,sweden
23.4,56.0472,12.6915,1/11/2020,1,sweden
12.5,56.0472,12.6915,1/12/2020,1,sweden
26.5,56.0472,12.6915,1/13/2020,1,sweden
24.2,56.0472,12.6915,1/14/2020,1,sweden
21.3,56.0472,12.6915,1/16/2020,1,sweden
30.0,56.0472,12.6915,1/17/2020,1,sweden
15.4,56.0472,12.6915,1/18/2020,1,sweden
17.0,56.0472,12.6915,1/19/2020,1,sweden
21.1,56.0472,12.6915,1/20/2020,1,sweden
9.9,56.0472,12.6915,1/21/2020,1,sweden
17.3,56.0472,12.6915,1/25/2020,1,sweden
22.4,56.0472,12.6915,1/26/2020,1,sweden
28.8,56.0472,12.6915,1/27/2020,1,sweden
29.6,56.0472,12.6915,1/28/2020,1,sweden
18.4,56.0472,12.6915,1/29/2020,1,sweden
23.0,56.0472,12.6915,1/30/2020,1,sweden
18.1,56.0472,12.6915,1/31/2020,1,sweden
14.4,56.0472,12.6915,2/1/2020,1,sweden
7.5,56.0472,12.6915,2/2/2020,1,sweden
31.4,56.0472,12.6915,2/3/2020,1,sweden
10.9,56.0472,12.6915,2/4/2020,1,sweden
17.7,56.0472,12.6915,2/5/2020,1,sweden
13.0,56.0472,12.6915,2/6/2020,1,sweden
31.0,56.0472,12.6915,2/7/2020,1,sweden
24.1,56.0472,12.6915,2/8/2020,1,sweden
19.9,56.0472,12.6915,2/9/2020,1,sweden
9.8,56.0472,12.6915,2/10/2020,1,sweden
10.9,56.0472,12.6915,2/11/2020,1,sweden
10.2,56.0472,12.6915,2/12/2020,1,sweden
21.1,56.0472,12.6915,2/13/2020,1,sweden
38.7,56.0472,12.6915,2/14/2020,1,sweden
24.9,56.0472,12.6915,2/15/2020,1,sweden
12.3,56.0472,12.6915,2/16/2020,1,sweden
8.0,56.0472,12.6915,2/17/2020,1,sweden
9.2,56.0472,12.6915,2/18/2020,1,sweden
19.5,56.0472,12.6915,2/19/2020,1,sweden
22.1,56.0472,12.6915,2/20/2020,1,sweden
9.8,56.0472,12.6915,2/21/2020,1,sweden
8.0,56.0472,12.6915,2/22/2020,1,sweden
8.9,56.0472,12.6915,2/23/2020,1,sweden
18.0,56.0472,12.6915,2/24/2020,1,sweden
