AirQualityLevel,LatitudeOfMeasurementStation,LongitudeOfMeasurementStation,datebegin,AirQualityCategory,Country
31.1,47.5411,7.58328,1/8/2020,1,switzerland
13.3,47.5411,7.58328,4/3/2020,1,switzerland
18.8,47.5411,7.58328,2/5/2020,1,switzerland
4.6,47.5411,7.58328,3/3/2020,1,switzerland
17.2,47.5411,7.58328,4/1/2020,1,switzerland
30.2,47.5411,7.58328,1/1/2020,1,switzerland
22.9,47.5411,7.58328,1/3/2020,1,switzerland
6.2,47.5411,7.58328,1/4/2020,1,switzerland
26.1,47.5411,7.58328,1/5/2020,1,switzerland
32.2,47.5411,7.58328,1/6/2020,1,switzerland
35.2,47.5411,7.58328,1/7/2020,1,switzerland
40.3,47.5411,7.58328,1/9/2020,1,switzerland
19.7,47.5411,7.58328,1/10/2020,1,switzerland
17.7,47.5411,7.58328,1/11/2020,1,switzerland
19.1,47.5411,7.58328,1/12/2020,1,switzerland
36.0,47.5411,7.58328,1/13/2020,1,switzerland
43.5,47.5411,7.58328,1/14/2020,1,switzerland
45.5,47.5411,7.58328,1/15/2020,1,switzerland
41.0,47.5411,7.58328,1/16/2020,1,switzerland
37.1,47.5411,7.58328,1/17/2020,1,switzerland
7.6,47.5411,7.58328,1/18/2020,1,switzerland
24.5,47.5411,7.58328,1/19/2020,1,switzerland
26.4,47.5411,7.58328,1/20/2020,1,switzerland
36.8,47.5411,7.58328,1/21/2020,1,switzerland
39.1,47.5411,7.58328,1/22/2020,1,switzerland
38.7,47.5411,7.58328,1/23/2020,1,switzerland
42.2,47.5411,7.58328,1/24/2020,1,switzerland
37.1,47.5411,7.58328,1/25/2020,1,switzerland
32.9,47.5411,7.58328,1/26/2020,1,switzerland
36.3,47.5411,7.58328,1/27/2020,1,switzerland
3.6,47.5411,7.58328,1/28/2020,1,switzerland
6.6,47.5411,7.58328,1/29/2020,1,switzerland
32.2,47.5411,7.58328,1/30/2020,1,switzerland
7.9,47.5411,7.58328,1/31/2020,1,switzerland
13.3,47.5411,7.58328,2/1/2020,1,switzerland
4.2,47.5411,7.58328,2/2/2020,1,switzerland
8.5,47.5411,7.58328,2/3/2020,1,switzerland
2.7,47.5411,7.58328,2/4/2020,1,switzerland
37.4,47.5411,7.58328,2/6/2020,1,switzerland
37.7,47.5411,7.58328,2/7/2020,1,switzerland
39.6,47.5411,7.58328,2/8/2020,1,switzerland
17.7,47.5411,7.58328,2/9/2020,1,switzerland
1.8,47.5411,7.58328,2/10/2020,1,switzerland
2.5,47.5411,7.58328,2/11/2020,1,switzerland
3.5,47.5411,7.58328,2/12/2020,1,switzerland
18.1,47.5411,7.58328,2/13/2020,1,switzerland
9.1,47.5411,7.58328,2/14/2020,1,switzerland
23.1,47.5411,7.58328,2/15/2020,1,switzerland
27.5,47.5411,7.58328,2/16/2020,1,switzerland
7.5,47.5411,7.58328,2/17/2020,1,switzerland
4.4,47.5411,7.58328,2/18/2020,1,switzerland
3.6,47.5411,7.58328,2/19/2020,1,switzerland
28.4,47.5411,7.58328,2/20/2020,1,switzerland
7.7,47.5411,7.58328,2/21/2020,1,switzerland
26.0,47.5411,7.58328,2/22/2020,1,switzerland
7.1,47.5411,7.58328,2/23/2020,1,switzerland
5.3,47.5411,7.58328,2/24/2020,1,switzerland
4.2,47.5411,7.58328,2/25/2020,1,switzerland
2.3,47.5411,7.58328,2/26/2020,1,switzerland
5.0,47.5411,7.58328,2/27/2020,1,switzerland
8.3,47.5411,7.58328,2/28/2020,1,switzerland
10.6,47.5411,7.58328,2/29/2020,1,switzerland
3.3,47.5411,7.58328,3/1/2020,1,switzerland
14.5,47.5411,7.58328,3/2/2020,1,switzerland
13.2,47.5411,7.58328,3/4/2020,1,switzerland
19.6,47.5411,7.58328,3/5/2020,1,switzerland
2.6,47.5411,7.58328,3/6/2020,1,switzerland
6.1,47.5411,7.58328,3/7/2020,1,switzerland
19.1,47.5411,7.58328,3/8/2020,1,switzerland
6.5,47.5411,7.58328,3/9/2020,1,switzerland
30.8,47.5411,7.58328,3/10/2020,1,switzerland
5.2,47.5411,7.58328,3/11/2020,1,switzerland
7.6,47.5411,7.58328,3/12/2020,1,switzerland
4.3,47.5411,7.58328,3/13/2020,1,switzerland
16.8,47.5411,7.58328,3/14/2020,1,switzerland
14.4,47.5411,7.58328,3/15/2020,1,switzerland
17.3,47.5411,7.58328,3/16/2020,1,switzerland
22.8,47.5411,7.58328,3/17/2020,1,switzerland
